audit,checked,failures,status,return_code,runtime_seconds,log
official_rows_present,72,0,passed,,,
engineering_blockers,72,0,passed,,,
scheduler_invariants,72,0,passed,,,
scheduler_fairness,78,0,passed,,,
scheduler_trace_integrity,24,0,passed,,,
global_lb_monotonicity,24,0,passed,,,
frontier_ledger_integrity,24,0,passed,,,
deterministic_scheduler_tests,external,0,passed,0,0.015,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__deterministic_scheduler_tests.log
certificate_basis_test,external,0,passed,0,0.023,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__certificate_basis_test.log
adaptive_frontier_split_test,external,0,passed,0,0.021,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__adaptive_frontier_split_test.log
option_consistency_total,external,0,passed,0,0.021,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__option_consistency_total.log
callback_smoke,external,0,passed,0,0.021,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__callback_smoke.log
bpc_certificate_self_test,external,0,passed,0,0.086,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__bpc_certificate_self_test.log
bpc_certificate_results,external,0,passed,0,0.974,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__bpc_certificate_results.log
paper_strict_algorithm,external,0,passed,0,0.233,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__paper_strict_algorithm.log
certificate_sources,external,0,passed,0,0.061,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__certificate_sources.log
summary_cleanup,external,0,passed,0,0.205,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__summary_cleanup.log
thread_fairness,external,0,passed,0,0.194,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__thread_fairness.log
hardware_fairness,external,0,passed,0,0.093,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__hardware_fairness.log
objective_convention,external,0,passed,0,0.164,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__objective_convention.log
timeprofile_finalization,external,0,passed,0,0.162,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__timeprofile_finalization.log
no_instance_special_cases,external,0,passed,0,0.161,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__no_instance_special_cases.log
no_cross_round_mixing,external,0,passed,0,4.173,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__no_cross_round_mixing.log
callback_audit,external,0,passed,0,0.165,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__callback_audit.log
model_identity,external,0,passed,0,0.061,results/gf_tailored_bc_controlling_leaf_scheduler_round/logs/audit__model_identity.log
