run_id,instance,budget_seconds,diagnostic_only,scheduler_mode,checkpoint_merge_enabled,callback_calls_total,accepted_checkpoint_bounds,lower_bound,gap,official_controlling_lower_bound,official_controlling_gap,lower_bound_delta_official_minus_ablation,checkpoint_preservation_attribution,actual_process_wall_seconds,engineering_blocker,comparable_diagnostic,json_path,command_path
diagnostic__moderate_seed3301__tailored_controlling_checkpoint_merge_disabled_static__300s,moderate_seed3301,300,True,controlling-leaf,False,0,0,0.04573,0.0696312292891,0.045742,0.0693870914092,1.1999999999998123e-05,zero_observed_in_static_arms,294.18958820030093,,True,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/diagnostic__moderate_seed3301__tailored_controlling_checkpoint_merge_disabled_static__300s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/diagnostic__moderate_seed3301__tailored_controlling_checkpoint_merge_disabled_static__300s.json
diagnostic__high_imbalance_seed3201__tailored_controlling_checkpoint_merge_disabled_static__300s,high_imbalance_seed3201,300,True,controlling-leaf,False,0,0,2.294618,0.0608926076686,2.294618,0.0608926076686,0.0,zero_observed_in_static_arms,294.3336621997878,,True,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/diagnostic__high_imbalance_seed3201__tailored_controlling_checkpoint_merge_disabled_static__300s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/diagnostic__high_imbalance_seed3201__tailored_controlling_checkpoint_merge_disabled_static__300s.json
diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__300s,tight_T_seed3102,300,True,controlling-leaf,False,0,0,0.450528327514,0.25,0.450528327514,0.25,0.0,zero_observed_in_static_arms,294.1846981998533,,True,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__300s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__300s.json
diagnostic__moderate_seed3301__tailored_controlling_checkpoint_merge_disabled_static__900s,moderate_seed3301,900,True,controlling-leaf,False,0,0,0.047662,0.0303250306228,0.047668,0.0302029616828,5.999999999999062e-06,zero_observed_in_static_arms,882.2899838001467,,True,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/diagnostic__moderate_seed3301__tailored_controlling_checkpoint_merge_disabled_static__900s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/diagnostic__moderate_seed3301__tailored_controlling_checkpoint_merge_disabled_static__900s.json
diagnostic__high_imbalance_seed3201__tailored_controlling_checkpoint_merge_disabled_static__900s,high_imbalance_seed3201,900,True,controlling-leaf,False,0,0,2.300041,0.0586731622582,2.299943,0.058713270252,-9.799999999993148e-05,zero_observed_in_static_arms,882.2736517000012,,True,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/diagnostic__high_imbalance_seed3201__tailored_controlling_checkpoint_merge_disabled_static__900s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/diagnostic__high_imbalance_seed3201__tailored_controlling_checkpoint_merge_disabled_static__900s.json
diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__900s,tight_T_seed3102,900,True,controlling-leaf,False,0,0,0.450528327514,0.25,0.450528327514,0.25,0.0,zero_observed_in_static_arms,882.082454000134,,True,results/gf_tailored_bc_controlling_leaf_scheduler_round/raw/diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__900s.json,results/gf_tailored_bc_controlling_leaf_scheduler_round/commands/diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__900s.json
