run_id,leaf_id,attempt_count,time_while_controlling,time_while_noncontrolling,status,reason
official__V12_M1__tailored_controlling_scheduler_static__300s,1,1,0.297117,0,passed,controller_selected_only_controlling_leaves
official__V12_M1__tailored_controlling_scheduler_static__300s,2,2,72.217,0,passed,controller_selected_only_controlling_leaves
official__V12_M1__tailored_controlling_scheduler_static__300s,3,1,0.494488,0,passed,controller_selected_only_controlling_leaves
official__V12_M2__tailored_controlling_scheduler_static__300s,2,4,259.248,0,passed,controller_selected_only_controlling_leaves
official__V12_M2__tailored_controlling_scheduler_static__300s,3,1,0.560616,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,1,4,262.325,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,2,0,0,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,3,0,0,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,1,1,8.68179,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,2,4,245.886,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,3,1,0.490942,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,0,1,1.93218,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,1,4,211.895,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,2,1,30.1003,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,3,1,0.500219,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,0,3,181.947,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,1,1,30.2356,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,2,1,30.2432,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,3,0,0,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,1,1,30.1987,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,2,4,213.468,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,3,1,0.694235,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,0,1,30.2847,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,1,1,30.1832,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,2,0,0,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,3,1086,160.19,0,passed,controller_selected_only_controlling_leaves
