comparison_id,instance,tailored_arm,plain_budget_seconds,tailored_budget_seconds,plain_cplex_threads,tailored_cplex_threads,same_hardware,plain_gap,tailored_gap
V12_M1__tailored_legacy_scheduler_static__300s,V12_M1,tailored_legacy_scheduler_static,300,300,1,1,True,0,0
V12_M1__tailored_controlling_scheduler_static__300s,V12_M1,tailored_controlling_scheduler_static,300,300,1,1,True,0,0
V12_M2__tailored_legacy_scheduler_static__300s,V12_M2,tailored_legacy_scheduler_static,300,300,1,1,True,0.139094183263,0
V12_M2__tailored_controlling_scheduler_static__300s,V12_M2,tailored_controlling_scheduler_static,300,300,1,1,True,0.139094183263,0.0375767818916
tight_T_seed3101__tailored_legacy_scheduler_static__300s,tight_T_seed3101,tailored_legacy_scheduler_static,300,300,1,1,True,0.882065425137,0
tight_T_seed3101__tailored_controlling_scheduler_static__300s,tight_T_seed3101,tailored_controlling_scheduler_static,300,300,1,1,True,0.882065425137,0.709974759607
high_imbalance_seed3202__tailored_legacy_scheduler_static__300s,high_imbalance_seed3202,tailored_legacy_scheduler_static,300,300,1,1,True,0.624889606668,0.0426615664352
high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,high_imbalance_seed3202,tailored_controlling_scheduler_static,300,300,1,1,True,0.624889606668,0.0380043107613
moderate_seed3301__tailored_legacy_scheduler_static__300s,moderate_seed3301,tailored_legacy_scheduler_static,300,300,1,1,True,0.479376638002,0.875
moderate_seed3301__tailored_controlling_scheduler_static__300s,moderate_seed3301,tailored_controlling_scheduler_static,300,300,1,1,True,0.479376638002,0.0693870914092
moderate_seed3302__tailored_legacy_scheduler_static__300s,moderate_seed3302,tailored_legacy_scheduler_static,300,300,1,1,True,0.463439315391,1
moderate_seed3302__tailored_controlling_scheduler_static__300s,moderate_seed3302,tailored_controlling_scheduler_static,300,300,1,1,True,0.463439315391,0.372912600566
high_imbalance_seed3201__tailored_legacy_scheduler_static__300s,high_imbalance_seed3201,tailored_legacy_scheduler_static,300,300,1,1,True,0.225923879082,0.0608926076686
high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,high_imbalance_seed3201,tailored_controlling_scheduler_static,300,300,1,1,True,0.225923879082,0.0608926076686
tight_T_seed3102__tailored_legacy_scheduler_static__300s,tight_T_seed3102,tailored_legacy_scheduler_static,300,300,1,1,True,0.232451001758,0.147602433527
tight_T_seed3102__tailored_controlling_scheduler_static__300s,tight_T_seed3102,tailored_controlling_scheduler_static,300,300,1,1,True,0.232451001758,0.25
V12_M1__tailored_legacy_scheduler_static__900s,V12_M1,tailored_legacy_scheduler_static,900,900,1,1,True,0,0
V12_M1__tailored_controlling_scheduler_static__900s,V12_M1,tailored_controlling_scheduler_static,900,900,1,1,True,0,0
V12_M2__tailored_legacy_scheduler_static__900s,V12_M2,tailored_legacy_scheduler_static,900,900,1,1,True,0.1016975713,0
V12_M2__tailored_controlling_scheduler_static__900s,V12_M2,tailored_controlling_scheduler_static,900,900,1,1,True,0.1016975713,0
tight_T_seed3101__tailored_legacy_scheduler_static__900s,tight_T_seed3101,tailored_legacy_scheduler_static,900,900,1,1,True,0.865931502256,0
tight_T_seed3101__tailored_controlling_scheduler_static__900s,tight_T_seed3101,tailored_controlling_scheduler_static,900,900,1,1,True,0.865931502256,0.707317484692
high_imbalance_seed3202__tailored_legacy_scheduler_static__900s,high_imbalance_seed3202,tailored_legacy_scheduler_static,900,900,1,1,True,0.358358101193,0
high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,high_imbalance_seed3202,tailored_controlling_scheduler_static,900,900,1,1,True,0.358358101193,0.0298919853325
moderate_seed3301__tailored_legacy_scheduler_static__900s,moderate_seed3301,tailored_legacy_scheduler_static,900,900,1,1,True,0.182084120451,0.75
moderate_seed3301__tailored_controlling_scheduler_static__900s,moderate_seed3301,tailored_controlling_scheduler_static,900,900,1,1,True,0.182084120451,0.0302029616828
moderate_seed3302__tailored_legacy_scheduler_static__900s,moderate_seed3302,tailored_legacy_scheduler_static,900,900,1,1,True,0.44167835333,0.84375
moderate_seed3302__tailored_controlling_scheduler_static__900s,moderate_seed3302,tailored_controlling_scheduler_static,900,900,1,1,True,0.44167835333,0.357128201274
high_imbalance_seed3201__tailored_legacy_scheduler_static__900s,high_imbalance_seed3201,tailored_legacy_scheduler_static,900,900,1,1,True,0.176667239453,0.0627887335373
high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,high_imbalance_seed3201,tailored_controlling_scheduler_static,900,900,1,1,True,0.176667239453,0.058713270252
tight_T_seed3102__tailored_legacy_scheduler_static__900s,tight_T_seed3102,tailored_legacy_scheduler_static,900,900,1,1,True,0.218946381132,0.474370843117
tight_T_seed3102__tailored_controlling_scheduler_static__900s,tight_T_seed3102,tailored_controlling_scheduler_static,900,900,1,1,True,0.218946381132,0.25
V12_M1__tailored_legacy_scheduler_static__1800s,V12_M1,tailored_legacy_scheduler_static,1800,1800,1,1,True,0,0
V12_M1__tailored_controlling_scheduler_static__1800s,V12_M1,tailored_controlling_scheduler_static,1800,1800,1,1,True,0,0
V12_M2__tailored_legacy_scheduler_static__1800s,V12_M2,tailored_legacy_scheduler_static,1800,1800,1,1,True,0.0843365610877,0
V12_M2__tailored_controlling_scheduler_static__1800s,V12_M2,tailored_controlling_scheduler_static,1800,1800,1,1,True,0.0843365610877,0
tight_T_seed3101__tailored_legacy_scheduler_static__1800s,tight_T_seed3101,tailored_legacy_scheduler_static,1800,1800,1,1,True,0.850814866349,0
tight_T_seed3101__tailored_controlling_scheduler_static__1800s,tight_T_seed3101,tailored_controlling_scheduler_static,1800,1800,1,1,True,0.850814866349,0.692268917277
high_imbalance_seed3202__tailored_legacy_scheduler_static__1800s,high_imbalance_seed3202,tailored_legacy_scheduler_static,1800,1800,1,1,True,0.324797342352,0
high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,high_imbalance_seed3202,tailored_controlling_scheduler_static,1800,1800,1,1,True,0.324797342352,0.0112223752854
moderate_seed3301__tailored_legacy_scheduler_static__1800s,moderate_seed3301,tailored_legacy_scheduler_static,1800,1800,1,1,True,0.18080171743,0.0244453766815
moderate_seed3301__tailored_controlling_scheduler_static__1800s,moderate_seed3301,tailored_controlling_scheduler_static,1800,1800,1,1,True,0.18080171743,0.0174671022805
moderate_seed3302__tailored_legacy_scheduler_static__1800s,moderate_seed3302,tailored_legacy_scheduler_static,1800,1800,1,1,True,0.442915191607,0.84375
moderate_seed3302__tailored_controlling_scheduler_static__1800s,moderate_seed3302,tailored_controlling_scheduler_static,1800,1800,1,1,True,0.442915191607,0.351868438687
high_imbalance_seed3201__tailored_legacy_scheduler_static__1800s,high_imbalance_seed3201,tailored_legacy_scheduler_static,1800,1800,1,1,True,0.157619037351,0.0573078534091
high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,high_imbalance_seed3201,tailored_controlling_scheduler_static,1800,1800,1,1,True,0.157619037351,0.0532070156787
tight_T_seed3102__tailored_legacy_scheduler_static__1800s,tight_T_seed3102,tailored_legacy_scheduler_static,1800,1800,1,1,True,0.216664163419,0.115441858675
tight_T_seed3102__tailored_controlling_scheduler_static__1800s,tight_T_seed3102,tailored_controlling_scheduler_static,1800,1800,1,1,True,0.216664163419,0.25
