run_id,budget_seconds,actual_process_wall_seconds,tolerance_seconds,status,engineering_blocker
official__V12_M1__plain_cplex__300s,300,181.79931580019183,3.0,passed,
official__V12_M1__tailored_legacy_scheduler_static__300s,300,173.7408507000655,3.0,passed,
official__V12_M1__tailored_controlling_scheduler_static__300s,300,99.97144200000912,3.0,passed,
official__V12_M2__plain_cplex__300s,300,300.14657200011425,3.0,passed,
official__V12_M2__tailored_legacy_scheduler_static__300s,300,233.37642939994112,3.0,passed,
official__V12_M2__tailored_controlling_scheduler_static__300s,300,294.2968297000043,3.0,passed,
official__tight_T_seed3101__plain_cplex__300s,300,300.16040510009043,3.0,passed,
official__tight_T_seed3101__tailored_legacy_scheduler_static__300s,300,76.2095492000226,3.0,passed,
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,300,294.1840833998285,3.0,passed,
official__high_imbalance_seed3202__plain_cplex__300s,300,300.16661190008745,3.0,passed,
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s,300,249.69154999987222,3.0,passed,
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__300s,300,294.3221645001322,3.0,passed,
official__moderate_seed3301__plain_cplex__300s,300,300.26201050006784,3.0,passed,
official__moderate_seed3301__tailored_legacy_scheduler_static__300s,300,294.2701214000117,3.0,passed,
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,300,294.29251769999973,3.0,passed,
official__moderate_seed3302__plain_cplex__300s,300,300.1493770999368,3.0,passed,
official__moderate_seed3302__tailored_legacy_scheduler_static__300s,300,294.3111919001676,3.0,passed,
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,300,294.2428367000539,3.0,passed,
official__high_imbalance_seed3201__plain_cplex__300s,300,300.1453682000283,3.0,passed,
official__high_imbalance_seed3201__tailored_legacy_scheduler_static__300s,300,294.31251299986616,3.0,passed,
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,300,294.32100729993545,3.0,passed,
official__tight_T_seed3102__plain_cplex__300s,300,300.1620398000814,3.0,passed,
official__tight_T_seed3102__tailored_legacy_scheduler_static__300s,300,294.2323145000264,3.0,passed,
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,300,294.11986700003035,3.0,passed,
official__V12_M1__plain_cplex__900s,900,183.07485620002262,9.0,passed,
official__V12_M1__tailored_legacy_scheduler_static__900s,900,493.29619179992005,9.0,passed,
official__V12_M1__tailored_controlling_scheduler_static__900s,900,101.1558265001513,9.0,passed,
official__V12_M2__plain_cplex__900s,900,900.1956207000185,9.0,passed,
official__V12_M2__tailored_legacy_scheduler_static__900s,900,290.5714823999442,9.0,passed,
official__V12_M2__tailored_controlling_scheduler_static__900s,900,476.8021013997495,9.0,passed,
official__tight_T_seed3101__plain_cplex__900s,900,900.161751100095,9.0,passed,
official__tight_T_seed3101__tailored_legacy_scheduler_static__900s,900,76.2585634002462,9.0,passed,
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,900,882.1500009000301,9.0,passed,
official__high_imbalance_seed3202__plain_cplex__900s,900,900.1513706999831,9.0,passed,
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__900s,900,294.10749879991636,9.0,passed,
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,900,882.3346591000445,9.0,passed,
official__moderate_seed3301__plain_cplex__900s,900,902.2649296999443,9.0,passed,
official__moderate_seed3301__tailored_legacy_scheduler_static__900s,900,882.2099827998318,9.0,passed,
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,900,882.2538776998408,9.0,passed,
official__moderate_seed3302__plain_cplex__900s,900,900.8491565999575,9.0,passed,
official__moderate_seed3302__tailored_legacy_scheduler_static__900s,900,882.3428643997759,9.0,passed,
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,900,882.1421805997379,9.0,passed,
official__high_imbalance_seed3201__plain_cplex__900s,900,900.1706272000447,9.0,passed,
official__high_imbalance_seed3201__tailored_legacy_scheduler_static__900s,900,882.312833499629,9.0,passed,
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,900,882.2621877999045,9.0,passed,
official__tight_T_seed3102__plain_cplex__900s,900,900.179523400031,9.0,passed,
official__tight_T_seed3102__tailored_legacy_scheduler_static__900s,900,882.2940998999402,9.0,passed,
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,900,882.141876200214,9.0,passed,
official__V12_M1__plain_cplex__1800s,1800,185.09758159983903,18.0,passed,
official__V12_M1__tailored_legacy_scheduler_static__1800s,1800,543.6169994999655,18.0,passed,
official__V12_M1__tailored_controlling_scheduler_static__1800s,1800,99.84880150016397,18.0,passed,
official__V12_M2__plain_cplex__1800s,1800,1770.2856332999654,18.0,passed,
official__V12_M2__tailored_legacy_scheduler_static__1800s,1800,289.62283989973366,18.0,passed,
official__V12_M2__tailored_controlling_scheduler_static__1800s,1800,476.46089209988713,18.0,passed,
official__tight_T_seed3101__plain_cplex__1800s,1800,1770.1781539004296,18.0,passed,
official__tight_T_seed3101__tailored_legacy_scheduler_static__1800s,1800,76.33571309968829,18.0,passed,
official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s,1800,1770.2109930003062,18.0,passed,
official__high_imbalance_seed3202__plain_cplex__1800s,1800,1770.234851299785,18.0,passed,
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__1800s,1800,293.9924396998249,18.0,passed,
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,1800,1770.1672175000422,18.0,passed,
official__moderate_seed3301__plain_cplex__1800s,1800,1789.5799531000666,18.0,passed,
official__moderate_seed3301__tailored_legacy_scheduler_static__1800s,1800,1541.262866999954,18.0,passed,
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,1800,1770.4124189000577,18.0,passed,
official__moderate_seed3302__plain_cplex__1800s,1800,1788.5526877003722,18.0,passed,
official__moderate_seed3302__tailored_legacy_scheduler_static__1800s,1800,1770.2304920000024,18.0,passed,
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,1800,1770.184758800082,18.0,passed,
official__high_imbalance_seed3201__plain_cplex__1800s,1800,1770.1870275996625,18.0,passed,
official__high_imbalance_seed3201__tailored_legacy_scheduler_static__1800s,1800,1521.3591833002865,18.0,passed,
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,1800,1770.3974616997875,18.0,passed,
official__tight_T_seed3102__plain_cplex__1800s,1800,1770.227325499989,18.0,passed,
official__tight_T_seed3102__tailored_legacy_scheduler_static__1800s,1800,1704.4243413996883,18.0,passed,
official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,1800,1770.0950213000178,18.0,passed,
