parent_id,parent_lp_bound,left_id,left_lp_bound,left_infeasible,right_id,right_lp_bound,right_infeasible,post_split_bound,tolerance,decision
L0,0.4023570437590257,L0.0,0.21777386189468928,0,L0.1,0.26702398333474464,0,0.21777386189468928,9.9999999999999995e-08,"current_child_gain_not_strict"
L1,0.48213424056836995,L1.0,0.35150292123882809,0,L1.1,0.43978455855496251,0,0.35150292123882809,9.9999999999999995e-08,"current_child_gain_not_strict"
L2,0.66083645632564658,L2.0,0.52806619587109693,0,L2.1,0.61634783318723141,0,0.52806619587109693,9.9999999999999995e-08,"current_child_gain_not_strict"
L3,0.70462947050336566,L3.0,0.70462947050336566,0,L3.1,0,1,0.70462947050336566,9.9999999999999995e-08,"current_complete_child_infeasibility"
L3.0,0.70462947050336566,L3.0.0,0.70462947050336566,0,L3.0.1,0,1,0.70462947050336566,9.9999999999999995e-08,"current_complete_child_infeasibility"
L3.0.0,0.70462947050336566,L3.0.0.0,0.70462947050336566,0,L3.0.0.1,0,1,0.70462947050336566,9.9999999999999995e-08,"current_complete_child_infeasibility"
L3.0.0.0,0.70462947050336566,L3.0.0.0.0,0.70462947050336566,0,L3.0.0.0.1,0,1,0.70462947050336566,9.9999999999999995e-08,"current_complete_child_infeasibility"
L3.0.0.0.0,0.70462947050336566,L3.0.0.0.0.0,0.70462947050336555,0,L3.0.0.0.0.1,0,1,0.70462947050336555,9.9999999999999995e-08,"current_complete_child_infeasibility"
L3.0.0.0.0.0,0.70462947050336566,L3.0.0.0.0.0.0,0.70462947050336544,0,L3.0.0.0.0.0.1,0,1,0.70462947050336544,9.9999999999999995e-08,"current_complete_child_infeasibility"
L3.0.0.0.0.0.0,0.70462947050336566,L3.0.0.0.0.0.0.0,0.70462947050336566,0,L3.0.0.0.0.0.0.1,0.70600887108643029,0,0.70462947050336566,9.9999999999999995e-08,"current_child_gain_not_strict"
