generation,elapsed_seconds,best_fitness,strict_improvement
0,0.0015409,-0.87226321866555001,true
1,0.0027282000000000001,-0.74152298066647893,true
2,0.0047907000000000002,-0.53213400540782096,true
3,0.0071612999999999998,-0.53213400540782096,false
4,0.0081905999999999993,-0.53213400540782096,false
5,0.0095457000000000007,-0.53213400540782096,false
6,0.0112088,-0.52208312671218371,true
7,0.014023000000000001,-0.52208312671218371,false
8,0.0158733,-0.52208312671218371,false
9,0.018119799999999998,-0.52208312671218371,false
10,0.018897500000000001,-0.52208312671218371,false
11,0.0201047,-0.50642278922416306,true
12,0.022667199999999998,-0.50642278922416306,false
13,0.023888900000000001,-0.50642278922416306,false
14,0.025354700000000001,-0.50642278922416306,false
15,0.027083699999999999,-0.50642278922416306,false
16,0.028660399999999999,-0.50642278922416306,false
17,0.029918500000000001,-0.50642278922416306,false
18,0.0316023,-0.50642278922416306,false
19,0.032767999999999999,-0.50642278922416306,false
20,0.034516900000000003,-0.50642278922416306,false
21,0.036056499999999998,-0.50642278922416306,false
22,0.037341600000000003,-0.50642278922416306,false
23,0.0391296,-0.50642278922416306,false
24,0.041055899999999999,-0.50642278922416306,false
25,0.042618200000000002,-0.50642278922416306,false
26,0.0439557,-0.50642278922416306,false
27,0.0453017,-0.50642278922416306,false
28,0.0468622,-0.50642278922416306,false
29,0.048158399999999997,-0.50642278922416306,false
30,0.0495448,-0.50642278922416306,false
31,0.051187299999999998,-0.50642278922416306,false
32,0.052904899999999998,-0.50642278922416306,false
33,0.054084699999999999,-0.50642278922416306,false
34,0.055329299999999998,-0.50642278922416306,false
35,0.056902700000000001,-0.50642278922416306,false
36,0.057943799999999997,-0.50642278922416306,false
37,0.058894799999999997,-0.50642278922416306,false
38,0.0606171,-0.50642278922416306,false
39,0.061904000000000001,-0.50642278922416306,false
40,0.062501600000000004,-0.50642278922416306,false
41,0.063675800000000005,-0.50642278922416306,false
42,0.0651674,-0.50642278922416306,false
43,0.066800899999999996,-0.50642278922416306,false
44,0.067671499999999996,-0.50642278922416306,false
45,0.068720799999999999,-0.50642278922416306,false
46,0.069987900000000006,-0.50642278922416306,false
47,0.071283799999999994,-0.50642278922416306,false
48,0.072677199999999997,-0.50642278922416306,false
49,0.074406200000000006,-0.50642278922416306,false
50,0.075773900000000005,-0.50642278922416306,false
51,0.076438599999999995,-0.50642278922416306,false
52,0.078001100000000004,-0.50642278922416306,false
53,0.0797818,-0.50642278922416306,false
54,0.080672499999999994,-0.50642278922416306,false
55,0.081678200000000006,-0.50642278922416306,false
56,0.083313600000000002,-0.50642278922416306,false
57,0.085076700000000005,-0.50642278922416306,false
58,0.086200899999999997,-0.50642278922416306,false
59,0.087567900000000004,-0.50642278922416306,false
60,0.089278700000000003,-0.50642278922416306,false
61,0.090829499999999994,-0.50642278922416306,false
62,0.0926487,-0.50642278922416306,false
63,0.0943325,-0.50642278922416306,false
64,0.095427899999999996,-0.50642278922416306,false
65,0.096674200000000002,-0.50642278922416306,false
66,0.097532900000000006,-0.50642278922416306,false
67,0.099067000000000002,-0.50642278922416306,false
68,0.1006114,-0.50642278922416306,false
69,0.1017286,-0.50642278922416306,false
70,0.103239,-0.50642278922416306,false
71,0.10466689999999999,-0.50642278922416306,false
72,0.10591150000000001,-0.50642278922416306,false
73,0.1078626,-0.50642278922416306,false
74,0.109378,-0.50642278922416306,false
75,0.11103440000000001,-0.50642278922416306,false
76,0.1121896,-0.50642278922416306,false
77,0.1138144,-0.50642278922416306,false
78,0.1152777,-0.50642278922416306,false
79,0.1171021,-0.50642278922416306,false
80,0.1183362,-0.50642278922416306,false
81,0.1198105,-0.50642278922416306,false
82,0.12143130000000001,-0.50642278922416306,false
83,0.1231826,-0.50642278922416306,false
84,0.12609580000000001,-0.50642278922416306,false
85,0.12811410000000001,-0.50642278922416306,false
86,0.12989700000000001,-0.50642278922416306,false
87,0.13135820000000001,-0.50642278922416306,false
88,0.13278870000000001,-0.50642278922416306,false
89,0.13405810000000001,-0.50642278922416306,false
90,0.1357024,-0.50642278922416306,false
91,0.1373356,-0.50642278922416306,false
92,0.13837749999999999,-0.50642278922416306,false
93,0.139568,-0.50642278922416306,false
94,0.14081299999999999,-0.50642278922416306,false
95,0.1419591,-0.50642278922416306,false
96,0.14345669999999999,-0.50642278922416306,false
97,0.14515600000000001,-0.50642278922416306,false
98,0.14623159999999999,-0.50642278922416306,false
99,0.14715349999999999,-0.50642278922416306,false
100,0.1485612,-0.50642278922416306,false
101,0.1506381,-0.50642278922416306,false
102,0.15250130000000001,-0.50642278922416306,false
103,0.1541352,-0.50642278922416306,false
104,0.15531110000000001,-0.50642278922416306,false
105,0.15668940000000001,-0.50642278922416306,false
106,0.15821479999999999,-0.50642278922416306,false
107,0.15979270000000001,-0.50642278922416306,false
108,0.16122729999999999,-0.50642278922416306,false
109,0.1625431,-0.50642278922416306,false
110,0.16365969999999999,-0.50642278922416306,false
