decision_sequence,K0,rho,rho_source,interval_id,parent_id,depth,gamma_L,gamma_U,parent_bound,left_child_id,left_child_bound,left_child_infeasible,right_child_id,right_child_bound,right_child_infeasible,verified_incumbent,normalized_c6_gain,child_infeasibility_trigger,threshold_comparison,selected_action,target_value,deterministic_reason,coverage_update
1,1,0.01,"implicit-default","L0","",0,0,0.60070443668510809,0.39445294772720085,"L0.0",0.407329005858862,0,"L0.1",,1,0.60070443668510809,,1,"original_infeasibility_split_preserved","split",,"adaptive_mass_preserve_child_infeasibility_split","atomic_parent_replaced_by_two_children"
2,1,0.01,"implicit-default","L0.0","L0",1,0,0.30035221834255404,0.407329005858862,"L0.0.0",0.43699011491207468,0,"L0.0.1",0.50832936531373507,0,0.60070443668510809,0.15338613042245328,0,"gain_below_rho","native-target",0.43699011491207468,"round48_counterfactual_forced_retain_native_target","parent_coverage_retained"
3,1,0.01,"implicit-default","L0.0","L0",1,0,0.30035221834255404,0.44328714618436826,"L0.0.0",0.43699011491207468,0,"L0.0.1",0.50832936531373507,0,0.60070443668510809,0,0,"no_strict_gain","exact-close",,"adaptive_mass_no_strict_child_improvement","parent_coverage_retained"
