run_id,event_sequence,elapsed_wall_seconds,global_LB,verified_UB,gap,controlling_set,event_source
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,0,82.053,0.0489091,0.195636,0.75,1,solver_final_merge
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,1,112.173,0.0978181,0.195636,0.5,2,solver_final_merge
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,2,142.324,0.122681,0.195636,0.372911,0,solver_final_merge
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,3,202.442,0.122681,0.195636,0.372911,0,solver_final_merge
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,4,322.614,0.122962,0.195636,0.371478,0,solver_final_merge
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,5,562.878,0.125113,0.195636,0.360482,0,solver_final_merge
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,6,882.106,0.125769,0.195636,0.357131,0,solver_final_merge
