run_id,event_sequence,elapsed_wall_seconds,remaining_wall_seconds,cutoff,global_lb_before,global_lb_after,controlling_set,selected_leaf_id,gamma_L,gamma_U,leaf_bound_before,leaf_bound_after,competing_minimum_bound,action_type,tie_round,selection_position,attempt_number,requested_quantum,effective_native_time_limit,actual_solver_time,solver_status,solver_final_best_bound,checkpoint_best_bound,checkpoint_acceptance_status,checkpoint_rejection_reason,leaf_status_after,model_fingerprint,parent_id,child_ids,finalization_source,native_time_limit_param_id,native_time_limit_set_rc
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,0,80.1173,1719.88,2.4434,1.50461,1.74211,1,1,0.2375,0.475,1.50461,2.29994,1.50461,exact_solve,0,0,0,30,30,30.2753,"time limit exceeded, no integer solution",2.29994,0,not_seen,not_seen,open,4f1b65851e64c47d,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,1,110.396,1689.6,2.4434,1.74211,1.97961,2,2,0.475,0.7125,1.74211,2.29462,1.74211,exact_solve,0,0,0,30,30,30.2686,"time limit exceeded, no integer solution",2.29462,0,not_seen,not_seen,open,f43b33590b826bb8,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,2,111.093,1688.91,2.4434,1.97961,2.29462,3,3,0.7125,0.95,1.97961,2.4434,1.97961,exact_solve,0,0,0,30,30,0.687385,integer infeasible,1e+75,0,not_seen,not_seen,fathomed,565f17d732a604f7,root,none,cplex_solver_final,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,3,171.37,1628.63,2.4434,2.29462,2.29462,2,2,0.475,0.7125,2.29462,2.29462,2.29462,exact_solve,0,0,1,60,60,60.2676,"time limit exceeded, no integer solution",2.29462,0,not_seen,not_seen,open,f43b33590b826bb8,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,4,291.515,1508.49,2.4434,2.29462,2.29462,2,2,0.475,0.7125,2.29462,2.29462,2.29462,exact_solve,0,0,2,120,120,120.136,"time limit exceeded, no integer solution",2.29462,0,not_seen,not_seen,open,f43b33590b826bb8,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,5,531.727,1268.27,2.4434,2.29462,2.29462,2,2,0.475,0.7125,2.29462,2.29462,2.29462,exact_solve,1,0,3,240,240,240.203,"time limit exceeded, no integer solution",2.29462,0,not_seen,not_seen,open,f43b33590b826bb8,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,6,1011.94,788.064,2.4434,2.29462,2.29994,2,2,0.475,0.7125,2.29462,2.33208,2.29462,exact_solve,2,0,4,480,480,480.2,"time limit exceeded, no integer solution",2.33208,0,not_seen,not_seen,open,f43b33590b826bb8,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,7,1072.14,727.855,2.4434,2.29994,2.30022,1,1,0.2375,0.475,2.29994,2.30022,2.29994,exact_solve,0,0,1,60,60,60.2004,"time limit exceeded, no integer solution",2.30022,0,not_seen,not_seen,open,4f1b65851e64c47d,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,8,1192.31,607.693,2.4434,2.30022,2.30356,1,1,0.2375,0.475,2.30022,2.30356,2.30022,exact_solve,0,0,2,120,120,120.157,"time limit exceeded, no integer solution",2.30356,0,not_seen,not_seen,open,4f1b65851e64c47d,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,9,1432.56,367.44,2.4434,2.30356,2.30509,1,1,0.2375,0.475,2.30356,2.30509,2.30356,exact_solve,0,0,3,240,240,240.248,"time limit exceeded, no integer solution",2.30509,0,not_seen,not_seen,open,4f1b65851e64c47d,root,none,cplex_time_limit_with_valid_best_bound,1039,0
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,10,1770.27,29.7295,2.4434,2.30509,2.3134,1,1,0.2375,0.475,2.30509,2.3134,2.30509,exact_solve,0,0,4,480,337.44,337.705,"time limit exceeded, no integer solution",2.3134,0,not_seen,not_seen,open,4f1b65851e64c47d,root,none,cplex_time_limit_with_valid_best_bound,1039,0
