run_id,event_sequence,elapsed_wall_seconds,global_LB,verified_UB,gap,controlling_set,event_source
official__V12_M2__tailored_controlling_scheduler_static__1800s,0,64.9998,0.569949,0.718504,0.206756,3,solver_final_merge
official__V12_M2__tailored_controlling_scheduler_static__1800s,1,65.5781,0.656361,0.718504,0.0864892,2,solver_final_merge
official__V12_M2__tailored_controlling_scheduler_static__1800s,2,125.882,0.667062,0.718504,0.0715966,2,solver_final_merge
official__V12_M2__tailored_controlling_scheduler_static__1800s,3,246.095,0.691711,0.718504,0.0372904,2,solver_final_merge
official__V12_M2__tailored_controlling_scheduler_static__1800s,4,476.423,0.718504,0.718504,0,,solver_final_merge
