event,source,generation,source_elapsed_seconds,content_sha256,duplicate,verifier_passed,published,objective,verification_seconds,reason
0,hga_initial_population_best,0,0.0116674,c430a2c79b8fd128b585a5641dc3df87a7e1e034893cb8a2eb6ca5ea71b20581,0,1,1,0.42214303526894498,2.7e-06,published_monotone_verified_upper_bound
1,hga_initial_population_best,0,0.0116919,ba1bfb69a2b00a90828af211816e569defcf551961c436644741130b359c3d47,0,1,1,0.41773808073463303,9.9999999999999995e-07,published_monotone_verified_upper_bound
2,hga_initial_population_best,0,0.011697900000000001,99073b10132e821e842aa77c32bfa06ccee98c49672cba644855a90ae837231f,0,1,1,0.18981252505060286,1.5999999999999999e-06,published_monotone_verified_upper_bound
3,hga_initial_population_best,0,0.011706299999999999,78184b2fa1284e04cb5f3ff70a2a7cdbeb714898c8fabf6d773e8741b6754a54,0,1,1,0.17303072940092351,1.3e-06,published_monotone_verified_upper_bound
4,hga_initial_population_best,0,0.0117135,f1d0527cfcf6537d702c3401effc7e4a78ccc3f24e5e66cab1f467c8b6989de0,0,1,1,0.17129702186043272,1.5999999999999999e-06,published_monotone_verified_upper_bound
5,hga_strict_improvement,1,0.12237530000000001,ec44ea18e68822856d0363276af40c2d449500f03b366e3aaf8e4db0ba2ea3da,0,1,1,0.069971015763983846,4.7999999999999998e-06,published_monotone_verified_upper_bound
6,hga_strict_improvement,3,0.20857200000000001,c0b3d1a02903b9fb5e4c5891818274d5e3d66e47e6be34fb7fe25524b66acb49,0,1,1,0.056937752474469597,3.8999999999999999e-06,published_monotone_verified_upper_bound
7,hga_strict_improvement,4,0.25458730000000002,1071d8fe619dc37591d425912e3dd4a7b9be7d3cb777120b4311a9e73814c46b,0,1,1,0.053302129746189184,3.1999999999999999e-06,published_monotone_verified_upper_bound
8,hga_strict_improvement,5,0.30366939999999998,9f8ba68f07ae380832efea055dc47b74171046c3f059572c23ce7b2682cb0d23,0,1,1,0.010160413416815731,6.0000000000000002e-06,published_monotone_verified_upper_bound
9,hga_strict_improvement,13,0.62267910000000004,8cabb5c7a7401187dc7fb59e85b993909aeb287e0f00011839d2166ea90cf86e,0,1,1,0.0094887026105116637,3.9999999999999998e-06,published_monotone_verified_upper_bound
10,hga_strict_improvement,23,1.0987074999999999,838ac343563d21a0a88e2d76e98e99b0eb47a0d443202a389f997b9b6b59c44a,0,1,1,0.0048839892937706068,4.1999999999999996e-06,published_monotone_verified_upper_bound
11,hga_strict_improvement,57,2.1348880000000001,ced3675fa86c30d6dacf54ac085114c2837890ae67f70a82a5360ab9a26e0c3e,0,1,1,0,3.9999999999999998e-06,published_monotone_verified_upper_bound
