query,vehicle,model_reused,work_limit,time_limit,columns,rows
0,0,0,25.338836781506902,14.9973106,5000,7600
1,1,0,25.277526651890032,14.9972618,5000,7600
2,2,0,25.23909063251276,14.9973089,5000,7600
3,3,0,25.197148210452934,14.997140099999999,5000,7600
4,0,1,14.088023478193314,14.998908999999999,5000,7600
5,1,1,14.078002062128494,14.999047600000001,5000,7600
6,2,1,14.073082423981488,14.999003699999999,5000,7600
7,3,1,14.060048364620654,14.998989099999999,5000,7600
8,0,1,2.4813186274692036,14.998966100000001,5000,7600
9,1,1,2.4792291367342294,14.9989715,5000,7600
10,2,1,2.4577885184576473,14.9988758,5000,7600
11,3,1,2.4503512143677462,14.9989659,5000,7600
