leaf,model_sha256,cutoff,signature,support,raw_violation,target
"L0","86da372fff5e16b338d442829f865c098079524f408ea8f0e3e7fb3836fcb2ba",1.9325586689145928,9f84dd01c40732aad3cc47bc02bb2eb1560ff26128d9b4d192ebf1025bf81b67,150,69.384393486883553,proof
"L0","86da372fff5e16b338d442829f865c098079524f408ea8f0e3e7fb3836fcb2ba",1.9325586689145928,d2c3e9b7250e62f71c7068c046f3c983eb6b21894082af1d94b644a588d6437d,147,11.902701186816406,proof
"L0","86da372fff5e16b338d442829f865c098079524f408ea8f0e3e7fb3836fcb2ba",1.9325586689145928,d67e1af5f771e5caa337850f12018bb58ebcb01a600b514606433da1695008b8,315,20.639521808116722,proof
"L0","86da372fff5e16b338d442829f865c098079524f408ea8f0e3e7fb3836fcb2ba",1.9325586689145928,33732a837339463911e824af003483f32d41f6ce5223ba7c4ff9697bddd18896,102,12.724576655438627,proof
"L0.0","4c3bb8a59d28d366d77ca75240971539b6a74bb7ebde010b8a9682de64e04e74",1.9325586689145928,9f84dd01c40732aad3cc47bc02bb2eb1560ff26128d9b4d192ebf1025bf81b67,150,15.118188062461126,proof
"L0.0","4c3bb8a59d28d366d77ca75240971539b6a74bb7ebde010b8a9682de64e04e74",1.9325586689145928,4947f8bcb0bafd45c53471037ba79c94b088539b5096560c68e8d8b82c8a9f51,102,15.739909999085294,proof
"L0.0","4c3bb8a59d28d366d77ca75240971539b6a74bb7ebde010b8a9682de64e04e74",1.9325586689145928,006aab802c3de23adc09fccc28cbcde0645173d75ff0384f6af35484172a2e4f,102,13.32808062197658,proof
"L0.0","4c3bb8a59d28d366d77ca75240971539b6a74bb7ebde010b8a9682de64e04e74",1.9325586689145928,fcdc6fd2408f30ab27c798c78cfa26ca390207abdf6cd0c09ad915f54c82a72d,235,7.7254110180080628,proof
"L0.1","ca1b73a4e0a141344da6eb9cc3676dba26facc666991c91ee33f5ae6d2844d77",1.9325586689145928,9f84dd01c40732aad3cc47bc02bb2eb1560ff26128d9b4d192ebf1025bf81b67,150,68.887723609854618,proof
"L0.1","ca1b73a4e0a141344da6eb9cc3676dba26facc666991c91ee33f5ae6d2844d77",1.9325586689145928,fcdc6fd2408f30ab27c798c78cfa26ca390207abdf6cd0c09ad915f54c82a72d,235,7.5952480068692303,proof
"L0.1","ca1b73a4e0a141344da6eb9cc3676dba26facc666991c91ee33f5ae6d2844d77",1.9325586689145928,4b75da9ca3ce1532f2671629b702d6755b8345b93388125f757baf2e8022ead1,192,13.836310167195901,proof
"L0.1","ca1b73a4e0a141344da6eb9cc3676dba26facc666991c91ee33f5ae6d2844d77",1.9325586689145928,1b535e32df71786db00ffc491c611cb75c894bcbd49f39723a539163723c3df0,192,10.605967950714911,proof
