configuration,git_commit,row_git_commit_policy,observed_row_git_commits,algorithm_preset,route_cutset_callback_enabled,route_cutset_candidate_source,route_cutset_max_cuts,route_cutset_max_subset_size,route_cutset_min_violation,GS_coupling,SP_disaggregation,S_bucket_ledger_mode,callback_cut_profile,thread_count,time_limit,incumbent_source_policy,benchmark_formulation,benchmark_exactness_label,paper_certificate_role
paper_route_profile_full_frontier,b229f949977360b2ca14b213a10131c262a86579,per_row_exact_in_raw_json,b229f949977360b2ca14b213a10131c262a86579,paper-gf-tailored-bc,True,callback_relaxation_vector,50,4,1e-06,off,off,off_in_tested_profile,route-cutset-only,1,controlled_wall_budget_with_generic_68_28_split,native_hga_tgbc_same_run_verifier_gated_ub_only,current_binary_expansion_compact_milp_cplex,tolerance_exact,paper_core
official_plain_cplex_benchmark,b229f949977360b2ca14b213a10131c262a86579,per_row_exact_in_raw_json,605b8aa769ddf4e9a475eb8b4141db2390c66f5f|b229f949977360b2ca14b213a10131c262a86579,custom_plain_baseline,False,not_applicable,0,0,not_applicable,off,off,off,off,1,matched_controlled_wall_budget,plain_cplex_internal_only,current_binary_expansion_compact_milp_cplex,tolerance_exact,benchmark_only
