result_package,fresh_run,source_round,instance,budget_seconds,candidate_count,cuts_added,max_violation,average_violation,size_2,size_3,size_4,size_5
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,14400,886,100,1.42857142857,0.61217144396,20,80,0,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,3600,0,0,0.0,0.0,0,0,0,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,1200,0,0,0.0,0.0,0,0,0,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,300,454,50,0.971255628038,0.512757878776,8,38,4,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3301,14400,0,0,0.0,0.0,0,0,0,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3301,3600,0,0,0.0,0.0,0,0,0,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,569,50,1.05041526262,0.37302038139,10,30,10,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,3600,0,0,0.0,0.0,0,0,0,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,tight_T_seed3101,1200,0,0,0.0,0.0,0,0,0,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,tight_T_seed3101,300,0,0,0.0,0.0,0,0,0,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,tight_T_seed3102,14400,0,0,0.0,0.0,0,0,0,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,tight_T_seed3102,3600,0,0,0.0,0.0,0,0,0,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M1,1200,1839,200,1.2864640424,0.434446866276,36,149,15,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M1,300,908,100,1.31333194761,0.41151200856000003,18,75,7,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M1,60,467,50,0.747088335229,0.248711139664,10,35,5,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M2,1200,0,0,0.0,0.0,0,0,0,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M2,300,0,0,0.0,0.0,0,0,0,0
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M2,3600,0,0,0.0,0.0,0,0,0,0
