file,support_enabled,cutset_enabled,candidate_source,support_candidates,support_cuts,cutset_candidates,cutset_cuts,proof_status,audit_passed,failures
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\V12_M1_tailored_1200s_auto_oracle\interval_13.json,False,True,callback,0,0,453,50,paper_safe_universal_rows_vector_selected_candidates,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\V12_M1_tailored_1200s_auto_oracle\interval_15.json,False,True,callback,0,0,467,50,paper_safe_universal_rows_vector_selected_candidates,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\V12_M1_tailored_1200s_auto_oracle\interval_18.json,False,True,callback,0,0,452,50,paper_safe_universal_rows_vector_selected_candidates,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\V12_M1_tailored_1200s_auto_oracle\interval_21.json,False,True,callback,0,0,467,50,paper_safe_universal_rows_vector_selected_candidates,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\V12_M1_tailored_300s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\V12_M1_tailored_300s_auto_oracle\interval_8.json,False,True,callback,0,0,452,50,paper_safe_universal_rows_vector_selected_candidates,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\V12_M1_tailored_300s_auto_oracle\interval_9.json,False,True,callback,0,0,456,50,paper_safe_universal_rows_vector_selected_candidates,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\V12_M1_tailored_60s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\V12_M1_tailored_60s_auto_oracle\interval_2.json,False,True,callback,0,0,467,50,paper_safe_universal_rows_vector_selected_candidates,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\V12_M2_plain_1200s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\V12_M2_plain_300s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\V12_M2_tailored_1200s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\V12_M2_tailored_300s.json,False,False,,0,0,0,0,,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\V12_M2_tailored_3600s.json,False,False,root,0,0,0,0,not_enabled,True,
