result_package,fresh_run,source_round,audit,return_code,passed,runtime_seconds,log_path
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,bpc_self_test,0,True,0.086,results/gf_tailored_bc_route_profile_full_frontier_round/logs/audit_bpc_self_test.log.txt
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,certificate,0,True,0.118,results/gf_tailored_bc_route_profile_full_frontier_round/logs/audit_certificate.log.txt
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,callback,0,True,0.084,results/gf_tailored_bc_route_profile_full_frontier_round/logs/audit_callback.log.txt
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,summary,0,True,0.083,results/gf_tailored_bc_route_profile_full_frontier_round/logs/audit_summary.log.txt
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,threads,0,True,0.082,results/gf_tailored_bc_route_profile_full_frontier_round/logs/audit_threads.log.txt
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,objective,0,True,0.085,results/gf_tailored_bc_route_profile_full_frontier_round/logs/audit_objective.log.txt
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,finalization,0,True,0.081,results/gf_tailored_bc_route_profile_full_frontier_round/logs/audit_finalization.log.txt
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,sources,0,True,0.064,results/gf_tailored_bc_route_profile_full_frontier_round/logs/audit_sources.log.txt
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,instance_special,0,True,0.161,results/gf_tailored_bc_route_profile_full_frontier_round/logs/audit_instance_special.log.txt
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,paper_strict,0,True,0.214,results/gf_tailored_bc_route_profile_full_frontier_round/logs/audit_paper_strict.log.txt
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,cross_round,0,True,0.458,results/gf_tailored_bc_route_profile_full_frontier_round/logs/audit_cross_round.log.txt
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,vector_route,0,True,0.085,results/gf_tailored_bc_route_profile_full_frontier_round/logs/audit_vector_route.log.txt
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,callback_parser,0,True,0.132,results/gf_tailored_bc_route_profile_full_frontier_round/logs/audit_callback_parser.log.txt
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,vector_summary,0,True,0.063,results/gf_tailored_bc_route_profile_full_frontier_round/logs/audit_vector_summary.log.txt
