result_package,fresh_run,source_round,instance,budget_seconds,tailored_status,tailored_certified,tailored_LB,tailored_UB,tailored_gap,tailored_runtime,tailored_certificate_source,tailored_open_leaf_count,tailored_route_cutset_candidates,tailored_route_cutset_cuts_added,tailored_json_path,plain_status,plain_certified,plain_LB,plain_UB,plain_gap,plain_runtime,plain_benchmark_role,plain_json_path,comparison_result,reason
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M1,60,gcap_frontier_not_closed,False,0.272338830263,0.357200583208,0.237574508371,40.9472595,not_certified,2,467,50,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M1_tailored_60s.json,not_certified,False,0.34148284304,0.357200583208,0.0440025602065,60.0924451,official_plain_cplex_benchmark,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M1_plain_60s.json,plain_better,both_open_plain_valid_gap_clearly_smaller
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M1,300,gcap_frontier_not_closed,False,0.33352498689,0.357200583208,0.0662809565028,209.5602478,not_certified,1,908,100,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M1_tailored_300s.json,optimal,True,0.357200583208,0.357200583208,0,190.8578497,official_plain_cplex_benchmark,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M1_plain_300s.json,plain_better,plain_certified_tailored_open
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M1,1200,optimal,True,0.357200583208,0.357200583208,0,816.1806134,frontier_all_intervals_closed_or_fathomed_with_interval_exact_cutoff_oracle,0,1839,200,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M1_tailored_1200s.json,optimal,True,0.357200583208,0.357200583208,0,189.7582906,official_plain_cplex_benchmark,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M1_plain_1200s.json,plain_better,both_certified_runtime_comparison
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M2,300,wrapper_error_noncertified,False,0.0,0.718504070755,1.0,75.30103826522827,No certificate: an apparent zero-gap parent checkpoint was rejected because no complete final frontier ledger was written.,0,0,0,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M2_tailored_300s.json,not_certified,False,0.62328098093,0.72439493548,0.139584016394,300.1082102,official_plain_cplex_benchmark,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M2_plain_300s.json,plain_better,both_open_plain_valid_gap_clearly_smaller
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M2,1200,optimal,True,0.718504070755,0.718504070755,0,299.2965831,frontier_all_intervals_closed_or_fathomed,0,0,0,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M2_tailored_1200s.json,not_certified,False,0.6512646956,0.718504070755,0.0935824553984,1200.1949748,official_plain_cplex_benchmark,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M2_plain_1200s.json,tailored_better,tailored_certified_plain_open
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,tight_T_seed3101,300,optimal,True,0.107252734134,0.107252734134,0,190.7650572,frontier_all_intervals_closed_or_fathomed,0,0,0,results/gf_tailored_bc_route_profile_full_frontier_round/raw/tight_T_seed3101_tailored_300s.json,not_certified,False,0.015928254757,0.139922466262,0.886163707784,300.0699762,official_plain_cplex_benchmark,results/gf_tailored_bc_route_profile_full_frontier_round/raw/tight_T_seed3101_plain_300s.json,tailored_better,tailored_certified_plain_open
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,tight_T_seed3101,1200,optimal,True,0.107252734134,0.107252734134,0,191.7373888,frontier_all_intervals_closed_or_fathomed,0,0,0,results/gf_tailored_bc_route_profile_full_frontier_round/raw/tight_T_seed3101_tailored_1200s.json,not_certified,False,0.019181243868,0.134541531987,0.857432544548,1200.087299,official_plain_cplex_benchmark,results/gf_tailored_bc_route_profile_full_frontier_round/raw/tight_T_seed3101_plain_1200s.json,tailored_better,tailored_certified_plain_open
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,300,gcap_frontier_not_closed,False,1.06421478404,1.74931345205,0.391638598107,208.8569763,not_certified,2,454,50,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_300s.json,not_certified,False,1.065564977,3.03088519537,0.648431099063,300.0718052,official_plain_cplex_benchmark,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_plain_300s.json,tailored_better,both_open_tailored_valid_gap_clearly_smaller
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,1200,optimal,True,1.74931345205,1.74931345205,0,304.4794146,frontier_all_intervals_closed_or_fathomed,0,0,0,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_1200s.json,not_certified,False,1.1723045726,1.78995822424,0.345065959237,1200.127102,official_plain_cplex_benchmark,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_plain_1200s.json,tailored_better,tailored_certified_plain_open
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3301,3600,wrapper_timeout_noncertified,False,0.0122881381662,0.0491525526647,0.7499999999994913,3783.419439315796,No certificate: solver did not write a final JSON; wrapper preserved only a valid package-local parent checkpoint when available.,0,0,0,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3301_tailored_3600s.json,not_certified,False,0.040996444816,0.049647278371,0.17424587689,3638.8099577,official_plain_cplex_benchmark,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3301_plain_3600s.json,plain_better,both_open_plain_valid_gap_clearly_smaller
