result_package,fresh_run,source_round,instance,budget_seconds,interval_id,gamma_L,gamma_U,status,lower_bound,closure_source,paper_core_valid,source_csv_path
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,14400,17,0.51953125,0.534375,unresolved,1.74210803,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3201_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,14400,18,0.534375,0.54921875,unresolved,1.74210803,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3201_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,14400,19,0.54921875,0.5640625,bound_fathomed,2.44340319194,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3201_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,14400,20,0.5640625,0.57890625,unresolved,1.74210803,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3201_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,14400,21,0.57890625,0.59375,unresolved,1.74210803,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3201_tailored_14400s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,1200,0,0,0.2375,bound_fathomed,1.74931345205,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_1200s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,1200,1,0.2375,0.475,bound_fathomed,1.74931345205,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_1200s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,1200,2,0.475,0.7125,replaced_by_children,1.06421478404,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_1200s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,1200,3,0.7125,0.95,bound_fathomed,1.74931345205,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_1200s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,1200,4,0.475,0.59375,replaced_by_children,1.06421478404,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_1200s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,1200,5,0.59375,0.7125,bound_fathomed,1.74931345205,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_1200s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,1200,6,0.475,0.534375,replaced_by_children,1.06421478404,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_1200s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,1200,7,0.534375,0.59375,bound_fathomed,1.74931345205,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_1200s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,1200,8,0.475,0.5046875,bound_fathomed,1.74931345205,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_1200s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,1200,9,0.5046875,0.534375,bound_fathomed,1.74931345205,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_1200s.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,300,0,0,0.2375,bound_fathomed,1.74931345205,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_300s.merged.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,300,1,0.2375,0.475,bound_fathomed,1.74931345205,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_300s.merged.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,300,2,0.475,0.7125,replaced_by_children,1.06421478404,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_300s.merged.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,300,3,0.7125,0.95,bound_fathomed,1.74931345205,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_300s.merged.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,300,4,0.475,0.59375,replaced_by_children,1.06421478404,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_300s.merged.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,300,5,0.59375,0.7125,bound_fathomed,1.74931345205,relaxation_bound,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_300s.merged.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,300,6,0.475,0.534375,unresolved,1.598599,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_300s.merged.intervals.csv
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,300,7,0.534375,0.59375,unresolved,1.06421478404,unresolved,True,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_300s.merged.intervals.csv
