audit,passed,reason
summary_rows_present,True,rows=11
g_gap_reconstruction,True,snapshot=interval_13:first_relaxation_callback expected=-0.10999775111904554 reported=-0.10999775111904554
structural_values_available,True,structural_summary_rows=1
unknown_fraction_at_most_five_percent,True,bad_snapshots=0
