result_package,fresh_run,source_round,instance,budget_seconds,snapshot_id,snapshot_source,route_fractionality_score_initial,z_fractionality_score_initial,x_fractionality_score_initial,fractional_z_count_initial,fractional_x_count_initial,route_fractionality_score_later,child_json_path
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M1,1200,interval_13:first_relaxation_callback,first_relaxation_callback,4.560368434355229,2.067771466481997,2.4925969678732316,10,14,not_available_no_post_cut_vector_export,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M1_tailored_1200s_auto_oracle/interval_13.json
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3201,14400,interval_14:first_relaxation_callback,first_relaxation_callback,16.012174015654907,8.006087007827107,8.006087007827794,30,30,not_available_no_post_cut_vector_export,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3201_tailored_14400s_auto_oracle/interval_14.json
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M1,1200,interval_15:first_relaxation_callback,first_relaxation_callback,20.143990449590053,9.765418063000617,10.37857238658943,33,42,not_available_no_post_cut_vector_export,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M1_tailored_1200s_auto_oracle/interval_15.json
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M1,1200,interval_18:first_relaxation_callback,first_relaxation_callback,4.47573719063977,2.1304312224734145,2.345305968166356,10,16,not_available_no_post_cut_vector_export,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M1_tailored_1200s_auto_oracle/interval_18.json
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,moderate_seed3302,14400,interval_1:first_relaxation_callback,first_relaxation_callback,18.042944880825505,8.963178836586234,9.079766044239275,33,39,not_available_no_post_cut_vector_export,results/gf_tailored_bc_route_profile_full_frontier_round/raw/moderate_seed3302_tailored_14400s_auto_oracle/interval_1.json
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M1,1200,interval_21:first_candidate_callback,first_candidate_callback,0.0,0.0,0.0,0,0,not_available_no_post_cut_vector_export,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M1_tailored_1200s_auto_oracle/interval_21.json
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M1,1200,interval_21:first_relaxation_callback,first_relaxation_callback,4.80667265521402,2.3309994901827324,2.4756731650312878,10,16,not_available_no_post_cut_vector_export,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M1_tailored_1200s_auto_oracle/interval_21.json
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M1,60,interval_2:first_relaxation_callback,first_relaxation_callback,4.387182151349678,2.159892174282641,2.227289977067036,10,16,not_available_no_post_cut_vector_export,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M1_tailored_60s_auto_oracle/interval_2.json
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,high_imbalance_seed3202,300,interval_6:first_relaxation_callback,first_relaxation_callback,16.614726026766018,8.307363013383014,8.307363013383014,32,34,not_available_no_post_cut_vector_export,results/gf_tailored_bc_route_profile_full_frontier_round/raw/high_imbalance_seed3202_tailored_300s_auto_oracle/interval_6.json
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M1,300,interval_8:first_relaxation_callback,first_relaxation_callback,4.475737190639782,2.1304312224734168,2.345305968166367,10,16,not_available_no_post_cut_vector_export,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M1_tailored_300s_auto_oracle/interval_8.json
results/gf_tailored_bc_route_profile_full_frontier_round,True,gf_tailored_bc_route_profile_full_frontier_round,V12_M1,300,interval_9:first_relaxation_callback,first_relaxation_callback,4.355568831728576,1.9439297698145426,2.411639061914032,10,15,not_available_no_post_cut_vector_export,results/gf_tailored_bc_route_profile_full_frontier_round/raw/V12_M1_tailored_300s_auto_oracle/interval_9.json
