interval_id,gamma_L,gamma_U,previous_interval_lower_bound,incumbent_upper_bound,oracle_status,oracle_certificate_basis,oracle_solver_status,oracle_proven_infeasible,oracle_feasible_improving,oracle_timeout,oracle_best_bound,oracle_objective,oracle_gap,runtime_seconds,nodes,lp_path,solution_path,log_path,raw_result,command
1,0.0163841842216,0.0327683684432,0.0163841842216,0.0491525526647,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,False,False,True,0.047419734917,0,0.0352538709336,600.0879642,8419,results\v20_replication_round\oracle\cplex\interval_oracle_1_0p0163841842216_0p0327683684432.lp,results\v20_replication_round\oracle\cplex\interval_oracle_1_0p0163841842216_0p0327683684432.sol,results\v20_replication_round\oracle\logs\interval_oracle_1_0p0163841842216_0p0327683684432.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_1_0p0163841842216_0p0327683684432.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 600.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.0163841842216 --interval-exact-cutoff-gamma-U 0.0327683684432 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 600.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_1_0p0163841842216_0p0327683684432.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_1_0p0163841842216_0p0327683684432.sol --log results\v20_replication_round\oracle\logs\interval_oracle_1_0p0163841842216_0p0327683684432.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_1_0p0163841842216_0p0327683684432.json
2,0.0327683684432,0.0491525526647,0.0327683684432,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,True,False,False,0,0,0,0.4018849,0,results\v20_replication_round\oracle\cplex\interval_oracle_2_0p0327683684432_0p0491525526647.lp,results\v20_replication_round\oracle\cplex\interval_oracle_2_0p0327683684432_0p0491525526647.sol,results\v20_replication_round\oracle\logs\interval_oracle_2_0p0327683684432_0p0491525526647.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_2_0p0327683684432_0p0491525526647.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.0327683684432 --interval-exact-cutoff-gamma-U 0.0491525526647 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_2_0p0327683684432_0p0491525526647.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_2_0p0327683684432_0p0491525526647.sol --log results\v20_replication_round\oracle\logs\interval_oracle_2_0p0327683684432_0p0491525526647.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_2_0p0327683684432_0p0491525526647.json
6,0.0122881381662,0.0163841842216,0.0122881381662,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,True,False,False,0,0,0,1.9993956,117,results\v20_replication_round\oracle\cplex\interval_oracle_6_0p0122881381662_0p0163841842216.lp,results\v20_replication_round\oracle\cplex\interval_oracle_6_0p0122881381662_0p0163841842216.sol,results\v20_replication_round\oracle\logs\interval_oracle_6_0p0122881381662_0p0163841842216.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_6_0p0122881381662_0p0163841842216.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.0122881381662 --interval-exact-cutoff-gamma-U 0.0163841842216 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_6_0p0122881381662_0p0163841842216.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_6_0p0122881381662_0p0163841842216.sol --log results\v20_replication_round\oracle\logs\interval_oracle_6_0p0122881381662_0p0163841842216.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_6_0p0122881381662_0p0163841842216.json
8,0.0102401151385,0.0122881381662,0.0102401151385,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,True,False,False,0,0,0,0.9842292,11,results\v20_replication_round\oracle\cplex\interval_oracle_8_0p0102401151385_0p0122881381662.lp,results\v20_replication_round\oracle\cplex\interval_oracle_8_0p0102401151385_0p0122881381662.sol,results\v20_replication_round\oracle\logs\interval_oracle_8_0p0102401151385_0p0122881381662.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_8_0p0102401151385_0p0122881381662.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.0102401151385 --interval-exact-cutoff-gamma-U 0.0122881381662 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_8_0p0102401151385_0p0122881381662.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_8_0p0102401151385_0p0122881381662.sol --log results\v20_replication_round\oracle\logs\interval_oracle_8_0p0102401151385_0p0122881381662.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_8_0p0102401151385_0p0122881381662.json
10,0.00921610362464,0.0102401151385,0.00921610362464,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,True,False,False,0,0,0,0.729478,7,results\v20_replication_round\oracle\cplex\interval_oracle_10_0p00921610362464_0p0102401151385.lp,results\v20_replication_round\oracle\cplex\interval_oracle_10_0p00921610362464_0p0102401151385.sol,results\v20_replication_round\oracle\logs\interval_oracle_10_0p00921610362464_0p0102401151385.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_10_0p00921610362464_0p0102401151385.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.00921610362464 --interval-exact-cutoff-gamma-U 0.0102401151385 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_10_0p00921610362464_0p0102401151385.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_10_0p00921610362464_0p0102401151385.sol --log results\v20_replication_round\oracle\logs\interval_oracle_10_0p00921610362464_0p0102401151385.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_10_0p00921610362464_0p0102401151385.json
12,0.00870409786772,0.00921610362464,0.00870409786772,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,True,False,False,0,0,0,0.6092651,3,results\v20_replication_round\oracle\cplex\interval_oracle_12_0p00870409786772_0p00921610362464.lp,results\v20_replication_round\oracle\cplex\interval_oracle_12_0p00870409786772_0p00921610362464.sol,results\v20_replication_round\oracle\logs\interval_oracle_12_0p00870409786772_0p00921610362464.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_12_0p00870409786772_0p00921610362464.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.00870409786772 --interval-exact-cutoff-gamma-U 0.00921610362464 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_12_0p00870409786772_0p00921610362464.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_12_0p00870409786772_0p00921610362464.sol --log results\v20_replication_round\oracle\logs\interval_oracle_12_0p00870409786772_0p00921610362464.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_12_0p00870409786772_0p00921610362464.json
14,0.00844809498925,0.00870409786772,0.00844809498925,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,True,False,False,0,0,0,1.2401795,3,results\v20_replication_round\oracle\cplex\interval_oracle_14_0p00844809498925_0p00870409786772.lp,results\v20_replication_round\oracle\cplex\interval_oracle_14_0p00844809498925_0p00870409786772.sol,results\v20_replication_round\oracle\logs\interval_oracle_14_0p00844809498925_0p00870409786772.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_14_0p00844809498925_0p00870409786772.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.00844809498925 --interval-exact-cutoff-gamma-U 0.00870409786772 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_14_0p00844809498925_0p00870409786772.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_14_0p00844809498925_0p00870409786772.sol --log results\v20_replication_round\oracle\logs\interval_oracle_14_0p00844809498925_0p00870409786772.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_14_0p00844809498925_0p00870409786772.json
16,0.00832009355002,0.00844809498925,0.00832009355002,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,True,False,False,0,0,0,1.1916727,3,results\v20_replication_round\oracle\cplex\interval_oracle_16_0p00832009355002_0p00844809498925.lp,results\v20_replication_round\oracle\cplex\interval_oracle_16_0p00832009355002_0p00844809498925.sol,results\v20_replication_round\oracle\logs\interval_oracle_16_0p00832009355002_0p00844809498925.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_16_0p00832009355002_0p00844809498925.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.00832009355002 --interval-exact-cutoff-gamma-U 0.00844809498925 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_16_0p00832009355002_0p00844809498925.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_16_0p00832009355002_0p00844809498925.sol --log results\v20_replication_round\oracle\logs\interval_oracle_16_0p00832009355002_0p00844809498925.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_16_0p00832009355002_0p00844809498925.json
17,0.00819209211079,0.00825609283041,0.00869,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,True,False,False,0,0,0,0.9748107,3,results\v20_replication_round\oracle\cplex\interval_oracle_17_0p00819209211079_0p00825609283041.lp,results\v20_replication_round\oracle\cplex\interval_oracle_17_0p00819209211079_0p00825609283041.sol,results\v20_replication_round\oracle\logs\interval_oracle_17_0p00819209211079_0p00825609283041.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_17_0p00819209211079_0p00825609283041.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.00819209211079 --interval-exact-cutoff-gamma-U 0.00825609283041 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_17_0p00819209211079_0p00825609283041.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_17_0p00819209211079_0p00825609283041.sol --log results\v20_replication_round\oracle\logs\interval_oracle_17_0p00819209211079_0p00825609283041.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_17_0p00819209211079_0p00825609283041.json
18,0.00825609283041,0.00832009355002,0.00869,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,True,False,False,0,0,0,0.6343076,3,results\v20_replication_round\oracle\cplex\interval_oracle_18_0p00825609283041_0p00832009355002.lp,results\v20_replication_round\oracle\cplex\interval_oracle_18_0p00825609283041_0p00832009355002.sol,results\v20_replication_round\oracle\logs\interval_oracle_18_0p00825609283041_0p00832009355002.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_18_0p00825609283041_0p00832009355002.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.00825609283041 --interval-exact-cutoff-gamma-U 0.00832009355002 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_18_0p00825609283041_0p00832009355002.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_18_0p00825609283041_0p00832009355002.sol --log results\v20_replication_round\oracle\logs\interval_oracle_18_0p00825609283041_0p00832009355002.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_18_0p00825609283041_0p00832009355002.json
