vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,5,7,6,0,0,6,380.6394021017149,360.0,7
0,2,5,7,19,0,5,6,1,767.442261298998,300.0,9
0,3,7,19,14,13,0,1,14,2446.003856193755,780.0,27
0,4,19,14,39,10,0,14,24,958.9543987325919,600.0,13
0,5,14,39,27,0,7,24,17,1304.8543625301431,420.0,11
0,6,39,27,2,7,0,17,24,520.0672291383909,420.0,10
0,7,27,2,44,0,6,24,18,839.7749507339032,360.0,8
0,8,2,44,25,0,9,18,9,2275.1633139034684,540.0,15
0,9,44,25,49,0,7,9,2,233.6276031960224,420.0,9
0,10,25,49,23,6,0,2,8,1516.9661867307486,360.0,8
0,11,49,23,0,0,8,8,0,190.02551118212827,480.0,14
1,1,0,31,36,6,0,0,6,679.2360647514153,360.0,8
1,2,31,36,34,12,0,6,18,283.4546056927391,720.0,15
1,3,36,34,9,0,7,18,11,807.739063246302,420.0,8
1,4,34,9,10,8,0,11,19,653.8571156377958,480.0,11
1,5,9,10,22,7,0,19,26,1115.6745520049133,420.0,9
1,6,10,22,42,0,17,26,9,1270.153566581207,1020.0,28
1,7,22,42,13,7,0,9,16,1517.847097768565,420.0,9
1,8,42,13,43,7,0,16,23,507.32659351148914,420.0,9
1,9,13,43,46,0,20,23,3,597.5622306204331,1200.0,33
1,10,43,46,18,13,0,3,16,1033.153305717962,780.0,25
1,11,46,18,17,0,9,16,7,916.7632511792539,540.0,15
1,12,18,17,0,0,7,7,0,727.3495817146717,420.0,10
2,1,0,16,30,7,0,0,7,917.6018490700691,420.0,11
2,2,16,30,6,7,0,7,14,284.99618499811146,420.0,10
2,3,30,6,20,9,0,14,23,586.8496943836319,540.0,13
2,4,6,20,4,0,5,23,18,381.69864669518046,300.0,7
2,5,20,4,37,0,9,18,9,515.3834227671553,540.0,12
2,6,4,37,35,0,5,9,4,1239.4313522271734,300.0,9
2,7,37,35,41,15,0,4,19,1597.2186094868593,900.0,27
2,8,35,41,32,0,7,19,12,534.4662201672936,420.0,9
2,9,41,32,48,0,6,12,6,848.7091572409769,360.0,6
2,10,32,48,21,15,0,6,21,190.1117871380308,900.0,30
2,11,48,21,12,0,21,21,0,348.8969941315147,1260.0,33
2,12,21,12,33,6,0,0,6,1061.0744793026872,360.0,9
2,13,12,33,0,0,6,6,0,758.2961835794182,360.0,7
3,1,0,24,29,7,0,0,7,905.5471816950898,420.0,9
3,2,24,29,38,6,0,7,13,600.1589852064853,360.0,8
3,3,29,38,50,12,0,13,25,345.63352237224984,720.0,14
3,4,38,50,47,0,17,25,8,534.0557948585608,1020.0,26
3,5,50,47,28,0,6,8,2,852.8128200840615,360.0,7
3,6,47,28,1,8,0,2,10,477.0474152334841,480.0,11
3,7,28,1,40,12,0,10,22,358.52229217165774,720.0,17
3,8,1,40,11,8,0,22,30,432.89481208864964,480.0,10
3,9,40,11,3,0,11,30,19,1144.1562918623033,660.0,16
3,10,11,3,26,0,10,19,9,587.1388764316222,600.0,13
3,11,3,26,15,0,8,9,1,1194.1296763871292,480.0,14
3,12,26,15,45,14,0,1,15,285.726824661476,840.0,16
3,13,15,45,8,0,5,15,10,228.87162820648072,300.0,8
3,14,45,8,0,0,10,10,0,699.2874766192132,600.0,14
