variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned
baseline_v12_m1_1200,1200,12,0,aggregate,1,4,0
baseline_v12_m1_1200,1200,12,0,aggregate,2,855,0
baseline_v12_m1_1200,1200,12,0,aggregate,3,59714,26033
baseline_v12_m1_1200,1200,12,0,aggregate,4,1063422,300050
baseline_v12_m1_1200,1200,12,0,aggregate,5,11404257,2196961
baseline_v12_m1_1200,1200,12,0,aggregate,6,87323657,12498172
baseline_v12_m1_1200,1200,12,0,aggregate,7,498004273,57081891
baseline_v12_m1_1200,1200,12,0,aggregate,8,2080918267,203986674
baseline_v12_m1_1200,1200,12,0,aggregate,9,5969855910,535889393
baseline_v12_m1_1200,1200,12,0,aggregate,10,10358523388,927243312
baseline_v12_m1_1200,1200,12,0,aggregate,11,9024532454,862293858
baseline_v12_m1_1200,1200,12,0,aggregate,12,2810571237,285448546
