"variant","instance","lower_bound","upper_bound","gap","runtime_seconds","large_compact_flow_relaxation","v20_cover_cuts_added","station_residual_cover_cuts_added","large_compact_flow_arc_variables"
"high_imbalance_seed3201_miplight_300s",,"2.2767395659","2.44340319194","0.0682096293371","354.6246039","mip-light","0","4","5040"
"high_imbalance_seed3201_relax300",,"2.14348953154","2.44340319194","0.122744236967","343.6556948","lp","0","4","5040"
"high_imbalance_seed3202_miplight_1200s",,"1.69375051373","1.74931345205","0.0317627113992","1257.6784118","mip-light","0","21","26460"
"high_imbalance_seed3202_miplight_300s",,"1.65415045452","1.74931345205","0.0544001976401","341.4037256","mip-light","0","6","7560"
"high_imbalance_seed3202_miplight_fallback_300s",,"1.65415045452","1.74931345205","0.0544001976401","344.7530013","mip-light","0","7","8820"
"high_imbalance_seed3202_relax300",,"1.57429649291","1.74931345205","0.100048941449","319.8895549","lp","0","5","6300"
"moderate_seed3301_miplight_300s",,"0.00819209211079","0.0491525526647","0.833333333333","320.4425802","mip-light","0","0","7560"
"moderate_seed3301_relax300",,"0.0427477151184","0.0491525526647","0.130305288314","306.0706355","lp","0","0","10080"
"moderate_seed3302_lp_fallback_300s",,"0.131033733249","0.195636206549","0.33021736845","311.5579534","lp","0","0","8820"
"moderate_seed3302_miplight_300s",,"0.0326060344248","0.195636206549","0.833333333333","314.2910008","mip-light","0","0","8820"
"moderate_seed3302_relax300",,"0.131033733249","0.195636206549","0.33021736845","311.7986439","lp","0","0","8820"
"smoke_v20_new_relax_10s",,"0.638995585916","1.74931345205","0.634716359628","10.0098096","off","0","0","0"
"smoke_v20_new_relax_30s",,"0.905881450707","1.74931345205","0.48215029751","30.4103274","lp","0","1","1260"
"tight_T_seed3101_miplight_300s",,"0.071501822756","0.107252734134","0.333333333333","309.2686376","mip-light","0","0","8820"
"tight_T_seed3101_relax300",,"0.00336907581205","0.107252734134","0.968587506517","310.5820726","lp","0","0","8820"
"tight_T_seed3102_cover6_300s",,"0.469176890001","0.600704436685","0.21895551065","328.7092643","lp","0","5","6300"
"tight_T_seed3102_lp_1200s",,"0.49959505959","0.600704436685","0.168318012854","1220.5059292","lp","0","18","22680"
"tight_T_seed3102_lp_fallback_300s",,"0.469176890001","0.600704436685","0.21895551065","328.3207672","lp","0","6","7560"
"tight_T_seed3102_miplight_300s",,"0.31574776659","0.600704436685","0.474370843117","309.3712465","mip-light","0","4","5040"
"tight_T_seed3102_relax300",,"0.469176890001","0.600704436685","0.21895551065","327.5112385","lp","0","5","6300"
"v12_m1_bpc_fallback_300s",,"0.331296710948","0.357200583208","0.0725191208467","303.8420796","off","0","0","0"
"v12_m1_current_300s",,"0.332675660948","0.357200583208","0.0686586848205","300.8282635","off","0","0","0"
"v12_m1_default_600s",,"0.357200583208","0.357200583208","0","481.1060138","off","0","19","0"
"v12_m1_parallel2_300s",,"0.332675660948","0.357200583208","0.0686586848205","304.2787825","off","0","0","0"
"v12_m1_presplit_300s",,"0.32954935947","0.357200583208","0.0774109143105","301.4090471","off","0","10","0"
"v12_m2_core_300s",,"0.718504070755","0.718504070755","0","205.6275276","off","0","0","0"
"v4_smoke_30s",,"0","0","0","0.8718497","off","0","0","0"
