parent_id,parent_lp_bound,left_id,left_lp_bound,left_infeasible,right_id,right_lp_bound,right_infeasible,post_split_bound,tolerance,decision
L1,0.863893,L1.0,0,1,L1.1,0.767241,0,0.767241,1e-07,"current_complete_child_infeasibility"
L2,0.886698,L2.0,0.861325,0,L2.1,0.961376,0,0.861325,1e-07,"current_child_gain_not_strict"
