bucket_name,variant,budget_seconds,bucket_integer_inventory_domain_candidates,required_movement_candidates,station_visit_lower_bound_candidates,subset_required_movement_candidates,SPH_coupled_estimator_rows,H_exactness_candidate
dominant_k4,plain_fixed_interval_mip,300,0,0,0,0,0,H_lower_rows_remain_diagnostic
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,0,0,0,0,0,H_lower_rows_remain_diagnostic
dominant_k4,static_tailored_compact_bc,300,0,0,0,0,1,H_lower_rows_remain_diagnostic
dominant_k4,current_best_new_combined_paper_safe,300,0,0,0,0,1,H_lower_rows_remain_diagnostic
dominant_k4,bucket_integer_inventory_domain,300,22,0,0,0,1,H_lower_rows_remain_diagnostic
dominant_k4,bucket_required_movement,300,22,5,5,80,1,H_lower_rows_remain_diagnostic
dominant_k4,sp_h_coupled_estimator,300,0,0,0,0,1,H_lower_rows_remain_diagnostic
dominant_k4,all_new_paper_safe_cuts,300,22,5,5,80,1,H_lower_rows_remain_diagnostic
dominant_k4,plain_fixed_interval_mip,1200,0,0,0,0,0,H_lower_rows_remain_diagnostic
dominant_k4,plain_fixed_interval_mip_telemetry_only,1200,0,0,0,0,0,H_lower_rows_remain_diagnostic
dominant_k4,static_tailored_compact_bc,1200,0,0,0,0,1,H_lower_rows_remain_diagnostic
dominant_k4,current_best_new_combined_paper_safe,1200,0,0,0,0,1,H_lower_rows_remain_diagnostic
dominant_k4,bucket_integer_inventory_domain,1200,22,0,0,0,1,H_lower_rows_remain_diagnostic
dominant_k4,bucket_required_movement,1200,22,5,5,80,1,H_lower_rows_remain_diagnostic
dominant_k4,sp_h_coupled_estimator,1200,0,0,0,0,1,H_lower_rows_remain_diagnostic
dominant_k4,all_new_paper_safe_cuts,1200,22,5,5,80,1,H_lower_rows_remain_diagnostic
dominant_k4,plain_fixed_interval_mip,3600,0,0,0,0,0,H_lower_rows_remain_diagnostic
dominant_k4,plain_fixed_interval_mip_telemetry_only,3600,0,0,0,0,0,H_lower_rows_remain_diagnostic
dominant_k4,static_tailored_compact_bc,3600,0,0,0,0,1,H_lower_rows_remain_diagnostic
dominant_k4,current_best_new_combined_paper_safe,3600,0,0,0,0,1,H_lower_rows_remain_diagnostic
dominant_k4,bucket_integer_inventory_domain,3600,22,0,0,0,1,H_lower_rows_remain_diagnostic
dominant_k4,bucket_required_movement,3600,22,5,5,80,1,H_lower_rows_remain_diagnostic
dominant_k4,sp_h_coupled_estimator,3600,0,0,0,0,1,H_lower_rows_remain_diagnostic
dominant_k4,all_new_paper_safe_cuts,3600,22,5,5,80,1,H_lower_rows_remain_diagnostic
adaptive_child,plain_fixed_interval_mip,300,0,0,0,0,0,H_lower_rows_remain_diagnostic
adaptive_child,current_best_new_combined_paper_safe,300,0,0,0,0,1,H_lower_rows_remain_diagnostic
adaptive_child,all_new_paper_safe_cuts,300,26,6,6,125,1,H_lower_rows_remain_diagnostic
adaptive_child,plain_fixed_interval_mip,1200,0,0,0,0,0,H_lower_rows_remain_diagnostic
adaptive_child,current_best_new_combined_paper_safe,1200,0,0,0,0,1,H_lower_rows_remain_diagnostic
adaptive_child,all_new_paper_safe_cuts,1200,26,6,6,125,1,H_lower_rows_remain_diagnostic
adaptive_child,plain_fixed_interval_mip,3600,0,0,0,0,0,H_lower_rows_remain_diagnostic
adaptive_child,current_best_new_combined_paper_safe,3600,0,0,0,0,1,H_lower_rows_remain_diagnostic
adaptive_child,all_new_paper_safe_cuts,3600,26,6,6,125,1,H_lower_rows_remain_diagnostic
dominant_k4,plain_fixed_interval_mip,10800,0,0,0,0,0,H_lower_rows_remain_diagnostic
dominant_k4,plain_fixed_interval_mip_telemetry_only,10800,0,0,0,0,0,H_lower_rows_remain_diagnostic
dominant_k4,static_tailored_compact_bc,10800,0,0,0,0,1,H_lower_rows_remain_diagnostic
dominant_k4,current_best_new_combined_paper_safe,10800,0,0,0,0,1,H_lower_rows_remain_diagnostic
dominant_k4,all_new_paper_safe_cuts,10800,22,5,5,80,1,H_lower_rows_remain_diagnostic
