source_json,parent_leaf,gamma_L,gamma_U,ledger_mode,bucket_count,bucket_policy_effective,budget_seconds,parent_S_L,parent_S_U,s_bucket_L,s_bucket_U,s_range_certificate_valid,coverage_used_for_paper_certificate,coverage_tolerance,group_exact_cover,uncovered_s_gap,bucket_outside_parent_domain,bucket_overlap_beyond_boundary,audit_passed,failures
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_all_new_paper_safe_cuts_1200s.json,adaptive_child,0.0122881381662,0.0245762763324,paper-safe,1,uniform,1200,18.2648010723,19.9341411092,18.2648010723,19.9341411092,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_1200s.json,adaptive_child,0.0122881381662,0.0245762763324,paper-safe,1,uniform,1200,18.2648010723,19.9341411092,18.2648010723,19.9341411092,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_plain_fixed_interval_mip_1200s.json,adaptive_child,0.0122881381662,0.0245762763324,paper-safe,1,uniform,1200,18.2648010723,19.9341411092,18.2648010723,19.9341411092,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_all_new_paper_safe_cuts_300s.json,adaptive_child,0.0122881381662,0.0245762763324,paper-safe,1,uniform,300,18.2648010723,19.9341411092,18.2648010723,19.9341411092,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_300s.json,adaptive_child,0.0122881381662,0.0245762763324,paper-safe,1,uniform,300,18.2648010723,19.9341411092,18.2648010723,19.9341411092,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_plain_fixed_interval_mip_300s.json,adaptive_child,0.0122881381662,0.0245762763324,paper-safe,1,uniform,300,18.2648010723,19.9341411092,18.2648010723,19.9341411092,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_all_new_paper_safe_cuts_3600s.json,adaptive_child,0.0122881381662,0.0245762763324,paper-safe,1,uniform,3600,18.2648010723,19.9341411092,18.2648010723,19.9341411092,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_3600s.json,adaptive_child,0.0122881381662,0.0245762763324,paper-safe,1,uniform,3600,18.2648010723,19.9341411092,18.2648010723,19.9341411092,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_plain_fixed_interval_mip_3600s.json,adaptive_child,0.0122881381662,0.0245762763324,paper-safe,1,uniform,3600,18.2648010723,19.9341411092,18.2648010723,19.9341411092,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_10800s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,10800,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
