formula,proof_status,variant,budget_seconds,rows_added,mccormick_rows,LB impact,runtime impact,reason if rejected
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,plain_fixed_interval_mip,300,0,0,0.045204487708,300.1176299,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,plain_fixed_interval_mip_telemetry_only,300,0,0,0.0478387892144,300.1588443,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,static_tailored_compact_bc,300,1,4,0.048388162834,300.6286885,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,current_best_new_combined_paper_safe,300,1,4,0.047307918946,301.2684962,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,bucket_integer_inventory_domain,300,1,4,0.0476199227709,300.9562549,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,bucket_required_movement,300,1,4,0.0475991072949,331.0965898,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,sp_h_coupled_estimator,300,1,4,0.0472875950403,330.9620608,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,all_new_paper_safe_cuts,300,1,4,0.0476195147306,301.0677103,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,plain_fixed_interval_mip,1200,0,0,0.048035857993,1200.1269062,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,plain_fixed_interval_mip_telemetry_only,1200,0,0,0.0483429120506,1200.5088529,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,static_tailored_compact_bc,1200,1,4,0.0487233640003,1200.856718,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,current_best_new_combined_paper_safe,1200,1,4,0.0487233640003,1201.1826022,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,bucket_integer_inventory_domain,1200,1,4,0.0486688844887,1201.1872748,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,bucket_required_movement,1200,1,4,0.0487233640003,1201.3125378,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,sp_h_coupled_estimator,1200,1,4,0.0487233640003,1201.2276535,
