bucket_name,leaf,variant,budget_seconds,top_fractional_z,top_fractional_p,top_fractional_d,snapshot_source
dominant_k4,low_gini_1,plain_fixed_interval_mip,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,plain_fixed_interval_mip_telemetry_only,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,static_tailored_compact_bc,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,current_best_new_combined_paper_safe,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,bucket_integer_inventory_domain,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,bucket_required_movement,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,sp_h_coupled_estimator,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,all_new_paper_safe_cuts,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,plain_fixed_interval_mip,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,plain_fixed_interval_mip_telemetry_only,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,static_tailored_compact_bc,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,current_best_new_combined_paper_safe,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,bucket_integer_inventory_domain,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,bucket_required_movement,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,sp_h_coupled_estimator,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,all_new_paper_safe_cuts,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,plain_fixed_interval_mip,3600,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
dominant_k4,low_gini_1,plain_fixed_interval_mip_telemetry_only,3600,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,diagnostic_bound_checkpoint_only
