source,instance_name,method,status,method_scope,solves_original_objective,is_bpc,certified_original_problem,verifier_passed,gap,unresolved_intervals,invalid_bound_intervals,open_nodes,sealed_run,no_archive_scanning,no_external_known_ub,no_focus_only_certificate,sealed_run_forbidden_source_used,finalization_source,audit_passed,failure_count,failures,warnings
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_required_movement_1200s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.00873176755136,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_required_movement_300s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0316045715959,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_required_movement_3600s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0079076348678,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_10800s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.00530332778268,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_1200s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.00873176755137,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_300s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0375287471091,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_3600s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.00790763486764,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_10800s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0171319231871,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_10s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.124511483411,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_1200s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0227189558052,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_300s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0803226840248,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
