source_json,ledger_mode,parent_closed_by_s_bucket_ledger,coverage_valid,all_buckets_closed,diagnostic_evidence_used,checkpoint_only_used,plain_cplex_used,timeout_bucket_count,audit_passed,failures
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_all_new_paper_safe_cuts_1200s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_all_new_paper_safe_cuts_300s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_all_new_paper_safe_cuts_3600s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_1200s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_300s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_3600s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_plain_fixed_interval_mip_1200s.json,paper-safe,False,True,False,False,False,True,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_plain_fixed_interval_mip_300s.json,paper-safe,False,True,False,False,False,True,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_plain_fixed_interval_mip_3600s.json,paper-safe,False,True,False,False,False,True,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_10800s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_10s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_1200s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_300s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_3600s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_integer_inventory_domain_1200s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_integer_inventory_domain_300s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_integer_inventory_domain_3600s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_required_movement_1200s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_required_movement_300s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_required_movement_3600s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_10800s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_1200s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_300s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_3600s.json,paper-safe,False,True,False,False,False,False,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_10800s.json,paper-safe,False,True,False,False,False,True,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_10s.json,paper-safe,False,True,False,False,False,True,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_1200s.json,paper-safe,False,True,False,False,False,True,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_300s.json,paper-safe,False,True,False,False,False,True,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_3600s.json,paper-safe,False,True,False,False,False,True,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_10800s.json,paper-safe,False,True,False,False,False,True,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_1200s.json,paper-safe,False,True,False,False,False,True,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_300s.json,paper-safe,False,True,False,False,False,True,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_3600s.json,paper-safe,False,True,False,False,False,True,1,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_sp_h_coupled_estimator_1200s.json,paper-safe,False,True,False,False,False,False,1,True,
