bucket_name,variant,budget_seconds,runtime_seconds,valid_bound_available,best_bound,gap_to_cutoff,node_count,last_bound_improvement_time,number_of_improvements,worker_responsiveness,memory,progress_source
dominant_k4,plain_fixed_interval_mip,300,300.1176299,True,0.045204487708,0.003948064956699998,3926,,0,no_progress_trace,1.41638183594,final_json_or_cplex_log_only
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,300.1588443,True,0.0478387892144,0.0013137634503000012,11873,300.0699628,11,progress_trace_present,1.41638183594,cplex_native_callback_info
dominant_k4,static_tailored_compact_bc,300,300.6286885,True,0.048388162834,0.0007643898306999991,13492,270.0964446,10,progress_trace_present,5.23291015625,cplex_native_callback_info
dominant_k4,current_best_new_combined_paper_safe,300,301.2684962,True,0.047307918946,0.0018446337187000006,11053,300.073296,11,progress_trace_present,10.3255310059,cplex_native_callback_info
dominant_k4,bucket_integer_inventory_domain,300,300.9562549,True,0.0476199227709,0.0015326298938,8305,300.067038,11,progress_trace_present,10.3298797607,cplex_native_callback_info
dominant_k4,bucket_required_movement,300,331.0965898,True,0.0475991072949,0.0015534453697999967,10947,300.1053013,11,progress_trace_present,10.3718338013,cplex_native_callback_info
dominant_k4,sp_h_coupled_estimator,300,330.9620608,True,0.0472875950403,0.0018649576243999974,10948,300.0707556,11,progress_trace_present,10.3255310059,cplex_native_callback_info
dominant_k4,all_new_paper_safe_cuts,300,301.0677103,True,0.0476195147306,0.0015330379340999997,11125,300.0879159,11,progress_trace_present,10.3718338013,cplex_native_callback_info
dominant_k4,plain_fixed_interval_mip,1200,1200.1269062,True,0.048035857993,0.0011166946716999956,28417,,0,no_progress_trace,1.41638183594,final_json_or_cplex_log_only
dominant_k4,plain_fixed_interval_mip_telemetry_only,1200,1200.5088529,True,0.0483429120506,0.0008096406141000004,68514,450.1259174,16,progress_trace_present,1.41638183594,cplex_native_callback_info
dominant_k4,static_tailored_compact_bc,1200,1200.856718,True,0.0487233640003,0.0004291886643999973,37765,570.1475643,16,progress_trace_present,5.23291015625,cplex_native_callback_info
dominant_k4,current_best_new_combined_paper_safe,1200,1201.1826022,True,0.0487233640003,0.0004291886643999973,38172,1140.2525943,29,progress_trace_present,10.3255310059,cplex_native_callback_info
dominant_k4,bucket_integer_inventory_domain,1200,1201.1872748,True,0.0486688844887,0.0004836681759999989,25600,1200.2873281,25,progress_trace_present,10.3298797607,cplex_native_callback_info
dominant_k4,bucket_required_movement,1200,1201.3125378,True,0.0487233640003,0.0004291886643999973,39452,1080.2875256,27,progress_trace_present,10.3718338013,cplex_native_callback_info
dominant_k4,sp_h_coupled_estimator,1200,1201.2276535,True,0.0487233640003,0.0004291886643999973,38336,1110.2938741,28,progress_trace_present,10.3255310059,cplex_native_callback_info
dominant_k4,all_new_paper_safe_cuts,1200,1201.3350074,True,0.0487233640003,0.0004291886643999973,38539,1080.325503,27,progress_trace_present,10.3718338013,cplex_native_callback_info
dominant_k4,plain_fixed_interval_mip,3600,3600.1510223,True,0.048035857993,0.0011166946716999956,141660,,0,no_progress_trace,1.41638183594,final_json_or_cplex_log_only
dominant_k4,plain_fixed_interval_mip_telemetry_only,3600,3601.8028948,True,0.0483429120506,0.0008096406141000004,207526,450.0937425,16,progress_trace_present,1.41638183594,cplex_native_callback_info
dominant_k4,static_tailored_compact_bc,3600,3601.5771018,True,0.0487638722254,0.0003886804393000015,123622,3210.9206593,17,progress_trace_present,5.23291015625,cplex_native_callback_info
dominant_k4,current_best_new_combined_paper_safe,3600,3601.896151,True,0.0487638722254,0.0003886804393000015,158669,2910.7793136,31,progress_trace_present,10.3255310059,cplex_native_callback_info
dominant_k4,bucket_integer_inventory_domain,3600,3601.7677443,True,0.0487233640003,0.0004291886643999973,92740,1230.3097242,26,progress_trace_present,10.3298797607,cplex_native_callback_info
dominant_k4,bucket_required_movement,3600,3601.9996302,True,0.0487638722254,0.0003886804393000015,122385,2970.8279809,28,progress_trace_present,10.3718338013,cplex_native_callback_info
dominant_k4,sp_h_coupled_estimator,3600,3601.9858283,True,0.0487638722254,0.0003886804393000015,160143,2850.7634424,30,progress_trace_present,10.3255310059,cplex_native_callback_info
dominant_k4,all_new_paper_safe_cuts,3600,3602.0235172,True,0.0487638722254,0.0003886804393000015,122106,3000.8463206,30,progress_trace_present,10.3718338013,cplex_native_callback_info
adaptive_child,plain_fixed_interval_mip,300,300.1273499,True,0.044971943372,0.004180609292699998,3071,,0,no_progress_trace,1.41638183594,final_json_or_cplex_log_only
adaptive_child,current_best_new_combined_paper_safe,300,331.099088,True,0.048388162834,0.0007643898306999991,14668,240.087371,9,progress_trace_present,10.3312225342,cplex_native_callback_info
adaptive_child,all_new_paper_safe_cuts,300,331.0896445,True,0.048388162834,0.0007643898306999991,12333,300.0566218,11,progress_trace_present,10.4012069702,cplex_native_callback_info
adaptive_child,plain_fixed_interval_mip,1200,1200.117706,True,0.04719744437,0.0019551082946999976,9776,,0,no_progress_trace,1.41638183594,final_json_or_cplex_log_only
adaptive_child,current_best_new_combined_paper_safe,1200,1201.2086535,True,0.048388162834,0.0007643898306999991,33379,240.0530857,9,progress_trace_present,10.3312225342,cplex_native_callback_info
adaptive_child,all_new_paper_safe_cuts,1200,1201.326337,True,0.0487233640003,0.0004291886643999973,46316,930.2367821,15,progress_trace_present,10.4012069702,cplex_native_callback_info
adaptive_child,plain_fixed_interval_mip,3600,3600.259872,True,0.048147514854,0.0010050378107000005,96878,,0,no_progress_trace,1.41638183594,final_json_or_cplex_log_only
adaptive_child,current_best_new_combined_paper_safe,3600,3601.8842342,True,0.0487233640003,0.0004291886643999973,88848,1320.3525347,13,progress_trace_present,10.3312225342,cplex_native_callback_info
adaptive_child,all_new_paper_safe_cuts,3600,3602.0799859,True,0.0487233640003,0.0004291886643999973,167767,930.2360362,15,progress_trace_present,10.4012069702,cplex_native_callback_info
dominant_k4,plain_fixed_interval_mip,10800,10801.4454149,True,0.048310474908,0.0008420777566999979,459291,,0,no_progress_trace,1.41638183594,final_json_or_cplex_log_only
dominant_k4,plain_fixed_interval_mip_telemetry_only,10800,10813.5080741,True,0.0484679856754,0.0006845669893000006,571329,9512.5160461,36,progress_trace_present,1.41638183594,cplex_native_callback_info
dominant_k4,static_tailored_compact_bc,10800,10803.3972069,True,0.049002141816,0.00015041084869999582,607618,10772.795982,43,progress_trace_present,5.23291015625,cplex_native_callback_info
dominant_k4,current_best_new_combined_paper_safe,10800,10803.9928675,True,0.0488918805666,0.00026067209809999686,477661,10802.9350946,42,progress_trace_present,10.3255310059,cplex_native_callback_info
dominant_k4,all_new_paper_safe_cuts,10800,10803.8715473,True,0.0487820084447,0.0003705442199999978,242085,4441.1314815,31,progress_trace_present,10.3718338013,cplex_native_callback_info
