check,hits,source_hits,classification,forbidden_hits,audit_passed
moderate_seed3301,104,0,allowed_runner_or_diagnostic_metadata,0,True
low_gini_1,102,0,allowed_runner_or_diagnostic_metadata,0,True
seed3201,51,0,allowed_runner_or_diagnostic_metadata,0,True
seed3102,50,0,allowed_runner_or_diagnostic_metadata,0,True
known_ub,31,9,allowed_cli_option_or_safety_metadata,0,True
archive,128,87,allowed_cli_option_or_safety_metadata,0,True
external_incumbent,72,71,allowed_cli_option_or_safety_metadata,0,True
focus,649,595,allowed_cli_option_or_safety_metadata,0,True
route_mask,430,398,allowed_cli_option_or_safety_metadata,0,True
bpc,891,735,allowed_cli_option_or_safety_metadata,0,True
