elapsed_seconds,event,incumbent_UB,global_LB,gap,unresolved_intervals,global_min_lb_interval_id,global_min_lb_interval_range,global_min_lb_source,open_nodes,route_pool_columns_after_dominance,route_pool_best_incumbent,focused_intensification_passes,last_LB_improvement_time,last_UB_improvement_time,bound_time_seconds,master_time_seconds,pricing_time_seconds,columns,nodes
0.0002143,initial_empty_incumbent,1.00822320985,0,1,0,-1,"","seed_initial",0,0,0,0,0.0002143,0.0002143,0,0,0,0,0
30.197467,initial_after_seed,0.745474506024,0.0655870045173,0.912019788756,2,0,"[0,0.372737]",cheap_projection_bound,0,9,0.745474506024,0,30.197467,30.197467,0,0,0,2410623,91128868
52.3392799,interval_relaxation_0,0.745474506024,0.403808527679,0.458320137824,1,1,"[0.372737,0.745475]",cheap_projection_bound,0,9,0.745474506024,0,52.3392799,30.197467,22.1415446,0,0,2410623,91128868
77.0406687,interval_relaxation_1,0.745474506024,0.585987841514,0.213939797031,1,1,"[0.372737,0.745475]",inventory_route_gini_relaxation,0,9,0.745474506024,0,77.0406687,30.197467,46.8428943,0,0,2410623,91128868
202.8281555,interval_tree_1,0.719065249476,0.585987841514,0.185070003118,1,1,"[0.372737,0.745475]",inventory_route_gini_relaxation,0,1020,0.719065249476,0,77.0406687,202.8281555,46.8428943,37.404037,88.1699792,2413363,91128871
202.9842945,route_pool_after_candidate_1,0.719065249476,0.585987841514,0.185070003118,1,1,"[0.372737,0.745475]",inventory_route_gini_relaxation,4,1020,0.719065249476,0,77.0406687,202.8281555,46.8428943,37.404037,88.1699792,2413363,91128871
227.1153855,adaptive_split_child_2,0.719065249476,0.590327263168,0.179035193819,1,2,"[0.372737,0.559106]",inventory_route_gini_relaxation,1,1020,0.719065249476,0,227.1153855,202.8281555,70.9608239,37.404037,88.1699792,2413363,91128871
234.2498608,adaptive_split_child_3,0.719065249476,0.590327263168,0.179035193819,1,2,"[0.372737,0.559106]",inventory_route_gini_relaxation,1,1020,0.719065249476,0,227.1153855,202.8281555,78.095257,37.404037,88.1699792,2413363,91128871
262.6424332,adaptive_split_child_4,0.719065249476,0.719065249476,0,0,3,"[0.559106,0.745475]",inventory_route_gini_relaxation,0,1020,0.719065249476,0,262.6424332,202.8281555,106.4877798,37.404037,88.1699792,2413363,91128871
282.3070813,adaptive_split_child_5,0.719065249476,0.683511576421,0.0494442932426,1,5,"[0.465922,0.559106]",inventory_route_gini_relaxation,1,1020,0.719065249476,0,262.6424332,202.8281555,126.1523825,37.404037,88.1699792,2413363,91128871
302.8501934,adaptive_split_child_6,0.719065249476,0.689651961258,0.0409048945689,1,6,"[0.465922,0.512514]",inventory_route_gini_relaxation,1,1020,0.719065249476,0,262.6424332,202.8281555,146.6954452,37.404037,88.1699792,2413363,91128871
313.6906885,adaptive_split_child_7,0.719065249476,0.689651961258,0.0409048945689,1,6,"[0.465922,0.512514]",inventory_route_gini_relaxation,1,1020,0.719065249476,0,262.6424332,202.8281555,157.5358937,37.404037,88.1699792,2413363,91128871
1119.6917996,focused_retry_interval_6,0.719065249476,0.689651961258,0.0409048945689,1,6,"[0.465922,0.512514]",inventory_route_gini_relaxation,10,1341,0.719065249476,1,262.6424332,202.8281555,178.1981771,402.2875408,507.7271629,2421941,91128881
1119.937649,route_pool_before_final_summary,0.719065249476,0.689651961258,0.0409048945689,1,6,"[0.465922,0.512514]",inventory_route_gini_relaxation,10,1341,0.719065249476,1,262.6424332,202.8281555,178.1981771,402.2875408,507.7271629,2421941,91128881
1119.937716,final_summary,0.719065249476,0.689651961258,0.0409048945689,1,6,"[0.465922,0.512514]",inventory_route_gini_relaxation,10,1341,0.719065249476,1,262.6424332,202.8281555,178.1981771,402.2875408,507.7271629,2421941,91128881
