"instance","variant","status","objective","lower_bound","upper_bound","gap","runtime_seconds","progress_log","frontier_min_interval_lower_bound","unresolved_intervals","open_nodes","bound_time_seconds","master_time_seconds","pricing_time_seconds","certified_original_problem"
"ablation_v12_m1_average_improved_full","ablation_v12_m1_average_improved_full","gcap_frontier_not_closed","0.368581603155","0.276436202366","0.368581603155","0.25","70.2110535","results\optimization_update_round8\raw\progress_v12_m1_average_improved_full.csv","0.276436202366","2","2","50.0752701","0","0","False"
"ablation_v12_m1_average_improved_full_300s","ablation_v12_m1_average_improved_full_300s","gcap_frontier_not_closed","0.368581603155","0.284563809518","0.368581603155","0.227948961416","305.5334976","results\optimization_update_round8\raw\progress_v12_m1_average_improved_full_300s.csv","0.284563809518","2","2","105.6311529","62.7109711","116.9929949","False"
"ablation_v12_m1_average_round7_baseline","ablation_v12_m1_average_round7_baseline","gcap_frontier_not_closed","0.368581603155","0.276436202366","0.368581603155","0.25","70.3012218","results\optimization_update_round8\raw\progress_v12_m1_average_round7_baseline.csv","0.276436202366","2","2","50.1652055","0","0","False"
"ablation_v12_m2_average_improved_full","ablation_v12_m2_average_improved_full","gcap_frontier_not_closed","0.745474506024","0.58507401067","0.745474506024","0.215165634851","63.4162282","results\optimization_update_round8\raw\progress_v12_m2_average_improved_full.csv","0.58507401067","1","0","43.2228536","0","0","False"
"ablation_v12_m2_average_improved_full_1200s","ablation_v12_m2_average_improved_full_1200s","gcap_frontier_not_closed","0.719065249476","0.689651961258","0.719065249476","0.0409048945689","1119.9377119","results\optimization_update_round8\raw\progress_v12_m2_average_improved_full_1200s.csv","0.689651961258","1","10","178.1981771","402.2875408","507.7271629","False"
"ablation_v12_m2_average_improved_full_300s","ablation_v12_m2_average_improved_full_300s","gcap_frontier_not_closed","0.719065249476","0.689651961258","0.719065249476","0.0409048945689","295.7118626","results\optimization_update_round8\raw\progress_v12_m2_average_improved_full_300s.csv","0.689651961258","1","1","172.3809449","42.2055188","79.7025746","False"
"ablation_v12_m2_average_round7_baseline","ablation_v12_m2_average_round7_baseline","gcap_frontier_not_closed","0.745474506024","0.585987841514","0.745474506024","0.213939797031","62.6261875","results\optimization_update_round8\raw\progress_v12_m2_average_round7_baseline.csv","0.585987841514","1","0","42.4507907","0","0","False"
"generated_regen_V10_M1_average_improved_full_60s","generated_regen_V10_M1_average_improved_full_60s","gcap_frontier_not_closed","0.718440682126","0.689582781094","0.718440682126","0.0401674094327","56.8673996","results\optimization_update_round8\raw\progress_generated_regen_V10_M1_average_improved_full_60s.csv","0.689582781094","2","4","8.574557","2.7346157","33.4288824","False"
"generated_regen_V10_M2_average_improved_full_60s","generated_regen_V10_M2_average_improved_full_60s","optimal","0.0601270957314","0.0601270957314","0.0601270957314","0","23.211454","results\optimization_update_round8\raw\progress_generated_regen_V10_M2_average_improved_full_60s.csv","0.0601270957314","0","0","3.1011863","0","0","True"
"generated_regen_V10_M2_low_improved_full_60s","generated_regen_V10_M2_low_improved_full_60s","optimal","0.163171713361","0.163171713361","0.163171713361","0","23.5421313","results\optimization_update_round8\raw\progress_generated_regen_V10_M2_low_improved_full_60s.csv","0.163171713361","0","0","3.4387348","0","0","True"
"generated_regen_V8_M2_average_improved_full_60s","generated_regen_V8_M2_average_improved_full_60s","gcap_frontier_not_closed","0.0838928997927","0.08319861214","0.0838928997927","0.00827588096832","58.0971271","results\optimization_update_round8\raw\progress_generated_regen_V8_M2_average_improved_full_60s.csv","0.08319861214","1","26","5.3026678","13.108354","32.6929316","False"
