"variant","interval_id","range","status","interval_lb","lb_source","open_nodes","pricing_closed","result_file"
"ablation_v12_m1_average_focus_interval_only","0","0,0.184291","bound_fathomed","0.368582","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_focus_interval_only.json"
"ablation_v12_m1_average_focus_interval_only","1","0.184291,0.368582","unprocessed_relevant","0.188729","cheap_projection_bound","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_focus_interval_only.json"
"ablation_v12_m1_average_improved_full","0","0,0.184291","bound_fathomed","0.368582","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_improved_full.json"
"ablation_v12_m1_average_improved_full","2","0.184291,0.276436","unresolved","0.279651","inventory_route_gini_relaxation","1","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_improved_full.json"
"ablation_v12_m1_average_improved_full","3","0.276436,0.368582","unresolved","0.276436","gamma_floor","1","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_improved_full.json"
"ablation_v12_m1_average_improved_full_300s","0","0,0.184291","bound_fathomed","0.368582","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_improved_full_300s.json"
"ablation_v12_m1_average_improved_full_300s","3","0.276436,0.368582","bound_fathomed","0.368582","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_improved_full_300s.json"
"ablation_v12_m1_average_improved_full_300s","4","0.184291,0.230364","unresolved","0.300336","inventory_route_gini_relaxation","1","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_improved_full_300s.json"
"ablation_v12_m1_average_improved_full_300s","5","0.230364,0.276436","unresolved","0.284564","gamma_floor","1","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_improved_full_300s.json"
"ablation_v12_m1_average_round7_baseline","0","0,0.184291","bound_fathomed","0.368582","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_round7_baseline.json"
"ablation_v12_m1_average_round7_baseline","2","0.184291,0.276436","unresolved","0.279715","inventory_route_gini_relaxation","1","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_round7_baseline.json"
"ablation_v12_m1_average_round7_baseline","3","0.276436,0.368582","unresolved","0.276436","gamma_floor","1","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_round7_baseline.json"
"ablation_v12_m1_average_vehicle_indexed_ops_only","0","0,0.184291","bound_fathomed","0.368582","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_vehicle_indexed_ops_only.json"
"ablation_v12_m1_average_vehicle_indexed_ops_only","2","0.184291,0.276436","unresolved","0.279625","inventory_route_gini_relaxation","1","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_vehicle_indexed_ops_only.json"
"ablation_v12_m1_average_vehicle_indexed_ops_only","3","0.276436,0.368582","unresolved","0.276436","gamma_floor","1","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_vehicle_indexed_ops_only.json"
"ablation_v12_m1_average_vehicle_transfer_flow_only","0","0,0.184291","bound_fathomed","0.368582","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_vehicle_transfer_flow_only.json"
"ablation_v12_m1_average_vehicle_transfer_flow_only","2","0.184291,0.276436","unresolved","0.279651","inventory_route_gini_relaxation","1","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_vehicle_transfer_flow_only.json"
"ablation_v12_m1_average_vehicle_transfer_flow_only","3","0.276436,0.368582","unresolved","0.276436","gamma_floor","1","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m1_average_vehicle_transfer_flow_only.json"
"ablation_v12_m2_average_focus_interval_only","0","0,0.372737","bound_fathomed","0.745475","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_focus_interval_only.json"
"ablation_v12_m2_average_focus_interval_only","1","0.372737,0.745475","unprocessed_relevant","0.403809","cheap_projection_bound","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_focus_interval_only.json"
"ablation_v12_m2_average_improved_full","0","0,0.372737","bound_fathomed","0.745475","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_improved_full.json"
"ablation_v12_m2_average_improved_full","1","0.372737,0.745475","unresolved","0.585074","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_improved_full.json"
"ablation_v12_m2_average_improved_full_1200s","0","0,0.372737","bound_fathomed","0.745475","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_improved_full_1200s.json"
"ablation_v12_m2_average_improved_full_1200s","3","0.559106,0.745475","bound_fathomed","0.719065","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_improved_full_1200s.json"
"ablation_v12_m2_average_improved_full_1200s","4","0.372737,0.465922","bound_fathomed","0.719065","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_improved_full_1200s.json"
"ablation_v12_m2_average_improved_full_1200s","6","0.465922,0.512514","unresolved","0.689652","inventory_route_gini_relaxation","10","true","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_improved_full_1200s.json"
