parent_id,eligible,decision_valid,split,child_infeasibility_trigger,strict_bound_trigger,reason
L1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2,true,1,0,0,0,"no_certified_one_level_lp_benefit"
