artifact_role,requested_path,retained_path,exists,gzip_appended,multipart,part_index,part_count,size_bytes,sha256,complete_retained_sha256,reconstruction
root_model,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/global_root.lp,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/global_root.lp.gz,True,True,False,1,1,113566,5992ca3fcb1c4d21701d9d13ad8629dc0c69b55403bbc25c7cdeeb48541152e9,5992ca3fcb1c4d21701d9d13ad8629dc0c69b55403bbc25c7cdeeb48541152e9,none
node_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/global_node_trace.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/global_node_trace.csv.gz,True,True,False,1,1,3795672,5adb798980324e67f9474788661149247453028db7e67ddaa8e4f58190c74e12,5adb798980324e67f9474788661149247453028db7e67ddaa8e4f58190c74e12,none
bound_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/global_bound_trajectory.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/global_bound_trajectory.csv,True,False,False,1,1,1031,6ba2cf99d8245ff2d1f56079b0802b7ceecf7d0700407fd4a8016c1bba365a98,6ba2cf99d8245ff2d1f56079b0802b7ceecf7d0700407fd4a8016c1bba365a98,none
row_delta_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/row_delta.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/row_delta.csv,True,False,False,1,1,436516,2a43aa4a6da29851a2197612f56b1e4cb19b75db710fd5ba8e8c3e751b5e3a60,2a43aa4a6da29851a2197612f56b1e4cb19b75db710fd5ba8e8c3e751b5e3a60,none
post_row_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/post_local_row_trace.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/post_local_row_trace.csv,True,False,False,1,1,152376,6f24b6cd71777b592614cd5d6babbf20ec4b021d8df5ea318c734140b654aa37,6f24b6cd71777b592614cd5d6babbf20ec4b021d8df5ea318c734140b654aa37,none
topology_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/gini_topology.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/gini_topology.csv,True,False,False,1,1,122785,23fe3fac475605713abe591e89a85138ea62a1d88ee69d119390944464567f11,23fe3fac475605713abe591e89a85138ea62a1d88ee69d119390944464567f11,none
sibling_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/sibling_delay.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/sibling_delay.csv,True,False,False,1,1,69736,fcb04c2fa75e8280c0048542cf2cb45a474dde0249526bfdaa55cb4d0d448a95,fcb04c2fa75e8280c0048542cf2cb45a474dde0249526bfdaa55cb4d0d448a95,none
tree_memory_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/tree_memory.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/tree_memory.csv,True,False,False,1,1,669,fe59a22b8d14ed92cca5aa6b4be7f2f1dd40ad5d7e285dc9594c93234b0ba8bf,fe59a22b8d14ed92cca5aa6b4be7f2f1dd40ad5d7e285dc9594c93234b0ba8bf,none
mip_start_audit,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/mip_start_audit.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/mip_start_audit.csv,True,False,False,1,1,151,c4007211d79a59277c4c164c5dd88a005268cdcfd4ca92a911d00304e1bfb426,c4007211d79a59277c4c164c5dd88a005268cdcfd4ca92a911d00304e1bfb426,none
progress_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/progress.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/progress.csv,True,False,False,1,1,692,79bbefa7b2083b573c0f8fc5e0876be583e6f4d6aab4e20ee5cd903aa06fa121,79bbefa7b2083b573c0f8fc5e0876be583e6f4d6aab4e20ee5cd903aa06fa121,none
lifecycle_manifest,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/model_lifecycle_manifest.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/model_lifecycle_manifest.csv,True,False,False,1,1,3923,c209f1c33a1d66e91f1c85722c27cb3f71e2e2e46fe445c9574c6fede3a6dea7,33c040e36b908e376443427329c157502998359863dcd0d946c41e7d1388bfb5,none
solver_result_pristine,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/solver_result_pristine.json,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/solver_result_pristine.json,True,False,False,1,1,70915,8eb32d1b14563d97520cf3b7b2c820d488af3a47a000b92526f53d378b9df094,8eb32d1b14563d97520cf3b7b2c820d488af3a47a000b92526f53d378b9df094,none
solver_log,results/gf_global_gini_tree_strict_flow_round/logs/stage2__V12_M1__f3__900s.log,results/gf_global_gini_tree_strict_flow_round/logs/stage2__V12_M1__f3__900s.log,True,False,False,1,1,44038,9d85fd11d0908619f5355185054ea84016ca8c28d194a27316541b345d0b76a1,9d85fd11d0908619f5355185054ea84016ca8c28d194a27316541b345d0b76a1,none
checkpoint_metrics,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/checkpoint_metrics.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/checkpoint_metrics.csv,True,False,False,1,1,1387,669182a0a1a4944991c348445106a107a63ed3947578fe4380a68a9301acb48e,669182a0a1a4944991c348445106a107a63ed3947578fe4380a68a9301acb48e,none
stamped_result_json,results/gf_global_gini_tree_strict_flow_round/raw/stage2__V12_M1__f3__900s.json,results/gf_global_gini_tree_strict_flow_round/raw/stage2__V12_M1__f3__900s.json,True,False,False,1,1,70917,a5bba9e0135d6bfeaa767a1b3fe659f05d2fdee193a228b3dfa48b46cdcec4d2,a5bba9e0135d6bfeaa767a1b3fe659f05d2fdee193a228b3dfa48b46cdcec4d2,none
