parent_stem,interval_id,gamma_L,gamma_U,compact_bc_called,compact_bc_runtime,compact_bc_nodes,compact_bc_solver_status,root_bound_before_cuts,root_bound_after_static_cuts,root_bound_after_dynamic_cuts,final_MIP_bound,bound_improvement_over_time,gap_to_cutoff_after,leaf_closed_by_compact_bc,leaf_timeout_reason,longer_budget_improved_bound,closure_source_class
exact_high_imbalance_seed3201_300s,6,0.475,0.59375,True,120.3872302,,time limit exceeded,,,,2.3155068261,,0.127896355843,False,time limit exceeded,,unresolved
exact_high_imbalance_seed3201_300s,7,0.59375,0.7125,True,6.1499252,,infeasible,,,,0,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_1200s_static300,1,0.0122881381662,0.0245762763324,True,300.2502963,,time limit exceeded,,,,0.044542850351,,0.00460969231375,False,time limit exceeded,,unresolved
exact_moderate_seed3301_1200s_static300,2,0.0245762763324,0.0368644144986,True,300.2344469,,time limit exceeded,,,,0.048809709088,,0.000342833576745,False,time limit exceeded,,unresolved
exact_moderate_seed3301_1200s_static300,3,0.0368644144986,0.0491525526647,True,0.7599519,,infeasible,,,,0,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_1200s_static300,7,0.00921610362464,0.0122881381662,True,2.2465653,,infeasible,,,,0,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_1200s_static300,11,0.00844809498925,0.00921610362464,True,0.7368804,,infeasible,,,,0,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_1200s_static300,16,0.00787208851271,0.00796808959214,True,0.7815075,,infeasible,,,,0,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_1200s_static300,17,0.00796808959214,0.00806409067156,True,0.8274015,,infeasible,,,,0,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_1200s_static300,18,0.00806409067156,0.00825609283041,True,0.8050664,,infeasible,,,,0,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_1200s_static300,19,0.00825609283041,0.00844809498925,True,0.8454532,,infeasible,,,,0,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_300s,2,0.0245762763324,0.0368644144986,True,120.403667,,time limit exceeded,,,,0.048809709088,,0.000342833576745,False,time limit exceeded,,unresolved
exact_moderate_seed3301_300s,3,0.0368644144986,0.0491525526647,True,1.5962942,,infeasible,,,,0,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_300s_static30,1,0.0122881381662,0.0245762763324,True,30.1870503,,time limit exceeded,,,,0.044390657922,,0.00476188474275,False,time limit exceeded,,unresolved
exact_moderate_seed3301_300s_static30,2,0.0245762763324,0.0368644144986,True,30.1795924,,time limit exceeded,,,,0.048432362662,,0.000720180002745,False,time limit exceeded,,unresolved
exact_moderate_seed3301_300s_static30,3,0.0368644144986,0.0491525526647,True,0.7095767,,infeasible,,,,0,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_300s_static30,7,0.00921610362464,0.0122881381662,True,2.2713789,,infeasible,,,,0,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_300s_static30,10,0.00768008635387,0.00844809498925,True,0.7942523,,infeasible,,,,0,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_300s_static30,11,0.00844809498925,0.00921610362464,True,0.7135893,,infeasible,,,,0,,0,True,,,compact_bc_infeasible
exact_moderate_seed3302_300s,1,0.0489090516373,0.0978181032745,True,120.4799038,,time limit exceeded,,,,0.14468086865,,0.050955327899,False,time limit exceeded,,unresolved
exact_tight_T_seed3102_300s,1,0.150176109171,0.300352218343,True,120.3857343,,time limit exceeded,,,,0.5284969862,,0.0722074404851,False,time limit exceeded,,unresolved
exact_high_imbalance_seed3201_300s,6,0.475,0.59375,True,120.3872302,4144,time limit exceeded,,,,2.3155068261,,0.127896355843,False,time limit exceeded,,unresolved
exact_high_imbalance_seed3201_300s,7,0.59375,0.7125,True,6.1499252,295,infeasible,,,,2.44340319194,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_1200s_static300,1,0.0122881381662,0.0245762763324,True,300.2502963,2440,time limit exceeded,,,,0.044542850351,,0.00460969231375,False,time limit exceeded,,unresolved
exact_moderate_seed3301_1200s_static300,11,0.00844809498925,0.00921610362464,True,0.7368804,0,infeasible,,,,0.0491525526647,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_1200s_static300,16,0.00787208851271,0.00796808959214,True,0.7815075,0,infeasible,,,,0.0491525526647,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_1200s_static300,17,0.00796808959214,0.00806409067156,True,0.8274015,0,infeasible,,,,0.0491525526647,,0,True,,,compact_bc_infeasible
exact_moderate_seed3301_1200s_static300,18,0.00806409067156,0.00825609283041,True,0.8050664,0,infeasible,,,,0.0491525526647,,0,True,,,compact_bc_infeasible
