file,instance_name,status,certified_original_problem,selected_for_summary,row_certificate_source_class,leaf_solver_row,compact_bc_called_this_row,compact_bc_called_any_child,parent_row_compact_bc_called_any_leaf,compact_bc_child_rows_found,compact_bc_child_rows_aggregated,compact_bc_diagnostic_only,paper_certificate_contamination,relaxation_only_intervals,compact_bc_infeasible_intervals,compact_bc_valid_best_bound_intervals,compact_bc_cutoff_bound_intervals,compact_bc_called_any_leaf,compact_bc_contributed_to_certificate,compact_bc_contributed_leaf_count,compact_bc_closed_leaf_count,compact_bc_timed_out_leaf_count,compact_bc_leaf_runtime_total,compact_bc_leaf_nodes_total,unresolved_leaf_count_after_compact_bc,inconsistent_source_label_detected,lower_bound,upper_bound,gap
results\gf_compact_bc_effectiveness_round3\raw\cplex_high_imbalance_seed3201_1200s.json,high_imbalance_seed3201.txt,not_certified,False,,benchmark_only,False,False,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,2.0475894187,2.44369311412,0.162092241915
results\gf_compact_bc_effectiveness_round3\raw\cplex_high_imbalance_seed3201_300s.json,high_imbalance_seed3201.txt,not_certified,False,,benchmark_only,False,False,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,1.9775993942,2.55478672027,0.225923879082
results\gf_compact_bc_effectiveness_round3\raw\cplex_high_imbalance_seed3202_300s.json,high_imbalance_seed3202.txt,not_certified,False,,benchmark_only,False,False,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,1.0653727442,3.03088519537,0.648494523703
results\gf_compact_bc_effectiveness_round3\raw\cplex_moderate_seed3301_1200s.json,moderate_seed3301.txt,not_certified,False,,benchmark_only,False,False,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.040849762435,0.0496566123632,0.17735502905
results\gf_compact_bc_effectiveness_round3\raw\cplex_moderate_seed3301_300s.json,moderate_seed3301.txt,not_certified,False,,benchmark_only,False,False,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.037866383531,0.0727327782328,0.479376638002
results\gf_compact_bc_effectiveness_round3\raw\cplex_moderate_seed3302_300s.json,moderate_seed3302.txt,not_certified,False,,benchmark_only,False,False,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.1144912295,0.213397988698,0.463484964416
results\gf_compact_bc_effectiveness_round3\raw\cplex_tight_T_seed3101_300s.json,tight_T_seed3101.txt,not_certified,False,,benchmark_only,False,False,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.015915009814,0.134365820425,0.881554626291
results\gf_compact_bc_effectiveness_round3\raw\cplex_tight_T_seed3102_300s.json,tight_T_seed3102.txt,not_certified,False,,benchmark_only,False,False,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.46597690239,0.615378628222,0.242780166519
results\gf_compact_bc_effectiveness_round3\raw\cplex_V100_M5_high_imbalance_300s.json,V100_M5_high_imbalance_seed6201.txt,not_certified,False,,benchmark_only,False,False,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,4.8324940135,10.2142649697,0.526887737115
results\gf_compact_bc_effectiveness_round3\raw\cplex_V100_M5_moderate_300s.json,V100_M5_moderate_seed6101.txt,not_certified,False,,benchmark_only,False,False,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.26390305929,1.56618529324,0.831499465338
results\gf_compact_bc_effectiveness_round3\raw\cplex_V12_M1_300s.json,regen_candidate_V12_M1_average.txt,optimal,True,,benchmark_only,False,False,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.357200583208,0.357200583208,0
results\gf_compact_bc_effectiveness_round3\raw\cplex_V12_M2_300s.json,regen_candidate_V12_M2_average.txt,not_certified,False,,benchmark_only,False,False,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.6235216628,0.718504070755,0.132194669204
results\gf_compact_bc_effectiveness_round3\raw\cplex_V50_M3_high_imbalance_300s.json,V50_M3_high_imbalance_seed5201.txt,not_certified,False,,benchmark_only,False,False,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,2.1860327089,4.68211852373,0.533110343572
results\gf_compact_bc_effectiveness_round3\raw\cplex_V50_M3_moderate_300s.json,V50_M3_moderate_seed5101.txt,not_certified,False,,benchmark_only,False,False,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.23958431171,1.37151140999,0.825313657644
results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\high_imbalance_seed3201_hard_plain_60s.json,high_imbalance_seed3201.txt,interval_unresolved_timeout,False,,compact_bc_leaf_diagnostic,True,True,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,2.1372240288,2.44340319194,0.125308489467
results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\high_imbalance_seed3201_hard_tailored_60s.json,high_imbalance_seed3201.txt,interval_unresolved_timeout,False,,compact_bc_leaf_diagnostic,True,True,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,2.3155068261,2.44340319194,0.0523435371869
results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\moderate_seed3301_hard_low_gini_plain_20s.json,moderate_seed3301.txt,interval_unresolved_timeout,False,,compact_bc_leaf_diagnostic,True,True,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.043497604232,0.0491525526647,0.115048926783
results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\moderate_seed3301_hard_low_gini_tailored_20s.json,moderate_seed3301.txt,interval_unresolved_timeout,False,,compact_bc_leaf_diagnostic,True,True,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.044390657922,0.0491525526647,0.0968799072387
results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\moderate_seed3301_low_gini_1_plain_300s.json,moderate_seed3301.txt,interval_unresolved_timeout,False,,compact_bc_leaf_diagnostic,True,True,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.045576864488,0.0491525526647,0.0727467442249
results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\moderate_seed3301_low_gini_1_plain_60s.json,moderate_seed3301.txt,interval_unresolved_timeout,False,,compact_bc_leaf_diagnostic,True,True,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.044912876975,0.0491525526647,0.0862554528678
results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\moderate_seed3301_low_gini_1_tailored_300s.json,moderate_seed3301.txt,interval_unresolved_timeout,False,,compact_bc_leaf_diagnostic,True,True,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.045328040302,0.0491525526647,0.0778090283284
results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\moderate_seed3301_low_gini_1_tailored_60s.json,moderate_seed3301.txt,interval_unresolved_timeout,False,,compact_bc_leaf_diagnostic,True,True,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.044542850351,0.0491525526647,0.0937835791591
results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\moderate_seed3301_low_gini_2_plain_60s.json,moderate_seed3301.txt,interval_unresolved_timeout,False,,compact_bc_leaf_diagnostic,True,True,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.048865350278,0.0491525526647,0.0058430818163
results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\moderate_seed3301_low_gini_2_tailored_60s.json,moderate_seed3301.txt,interval_unresolved_timeout,False,,compact_bc_leaf_diagnostic,True,True,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.048809709088,0.0491525526647,0.00697509199652
results\gf_compact_bc_effectiveness_round3\raw\diagnostic_interval_comparisons\tight_T_seed3102_hard_plain_300s.json,tight_T_seed3102.txt,interval_unresolved_timeout,False,,compact_bc_leaf_diagnostic,True,True,False,False,0,0,True,False,0,0,0,0,False,False,0,0,0,0.0,0,0,False,0.31218971032,0.600704436685,0.480293982773
