leaf_label,activation_scope,variant,time_budget_seconds,status,closed,runtime_seconds,nodes,low_gini,diagnostic_only,paper_certificate_contamination
high_imbalance_seed3201_hard,forced_fixed_interval_probe,plain,60,interval_unresolved_timeout,False,60.1085647,2899,False,True,False
high_imbalance_seed3201_hard,forced_fixed_interval_probe,tailored,60,interval_unresolved_timeout,False,60.4133612,3335,False,True,False
moderate_seed3301_hard_low_gini,forced_fixed_interval_probe,plain,20,interval_unresolved_timeout,False,20.1120006,1062,True,True,False
moderate_seed3301_hard_low_gini,forced_fixed_interval_probe,tailored,20,interval_unresolved_timeout,False,20.4247497,1154,True,True,False
moderate_seed3301_low_gini_1,forced_fixed_interval_probe,plain,300,interval_unresolved_timeout,False,300.1132815,4597,True,True,False
moderate_seed3301_low_gini_1,forced_fixed_interval_probe,plain,60,interval_unresolved_timeout,False,60.1152608,1968,True,True,False
moderate_seed3301_low_gini_1,forced_fixed_interval_probe,tailored,300,interval_unresolved_timeout,False,300.4396869,3545,True,True,False
moderate_seed3301_low_gini_1,forced_fixed_interval_probe,tailored,60,interval_unresolved_timeout,False,60.4220287,1947,True,True,False
moderate_seed3301_low_gini_2,forced_fixed_interval_probe,plain,60,interval_unresolved_timeout,False,60.1160061,3467,True,True,False
moderate_seed3301_low_gini_2,forced_fixed_interval_probe,tailored,60,interval_unresolved_timeout,False,60.423904,2460,True,True,False
tight_T_seed3102_hard,forced_fixed_interval_probe,plain,300,interval_unresolved_timeout,False,300.1178548,19653,False,True,False
tight_T_seed3102_hard,forced_fixed_interval_probe,plain,60,interval_unresolved_timeout,False,60.1143855,3342,False,True,False
tight_T_seed3102_hard,forced_fixed_interval_probe,tailored,300,interval_unresolved_timeout,False,300.4082714,5995,False,True,False
tight_T_seed3102_hard,forced_fixed_interval_probe,tailored,60,interval_unresolved_timeout,False,60.4250809,1850,False,True,False
v12_m1_easy,forced_fixed_interval_probe,plain,20,interval_unresolved_timeout,False,20.1507694,3514,False,True,False
v12_m1_easy,forced_fixed_interval_probe,plain,60,interval_closed,True,25.6184987,5382,False,True,False
v12_m1_easy,forced_fixed_interval_probe,tailored,20,interval_closed,True,4.6388127,2045,False,True,False
v12_m1_easy,forced_fixed_interval_probe,tailored,60,interval_closed,True,4.6405132,2045,False,True,False
