phase_index,leaf_id,target_kind,current_bound,target_bound,other_open_min_bound,verified_cutoff,status,native_status,native_bound,target_reached,exact_closure,requeued,solver_runtime,work,nodes,event_source
1,L1,next_leaf,0.168484,0.210929,0.210929,0.421858,target_reached_requeue,"INTERRUPTED",0.242907,1,0,1,0.853,1.27215,1,"c6_next_strict_frontier_bound_reached_requeue"
1,L2,next_leaf,0.27004,0.316393,0.316393,0.421858,target_reached_requeue,"INTERRUPTED",0.316424,1,0,1,3.44,4.74976,1,"c6_next_strict_frontier_bound_reached_requeue"
