run_id,instance_id,arm,provenance,status,strict_certificate,right_censored,independent_verifier_passed,false_certificate,parameter_roundtrip_valid,valid_lower_bound,verified_upper_bound,relative_gap,failure_reason
reference__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6,round43_contemporaneous,optimal,True,False,True,False,True,0.0,0.0,0.0,none
k1__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6_k1_adaptive,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,K1-old,frozen_round40,optimal,True,False,True,False,True,0.0,0.0,0.0,none
k1__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6_k1_single,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,K1-single,frozen_round40,optimal,True,False,True,False,True,0.0,0.0,0.0,none
k1_iterative__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6_k1_adaptive_decisive,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,K1-adaptive-decisive,frozen_round40,optimal,True,False,True,False,True,0.0,0.0,0.0,none
reference__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__pgrb,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,P-GRB,round43_contemporaneous,optimal,True,False,True,False,True,0.0,0.0,0.0,
k1__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__c6_hga_full_k4,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6,frozen_round40,optimal,True,False,True,False,True,0.021337006039780566,0.021337006039780566,0.0,none
k1__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__c6_k1_adaptive,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,K1-old,frozen_round40,optimal,True,False,True,False,True,0.021337006039780566,0.021337006039780566,0.0,none
k1__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__c6_k1_single,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,K1-single,frozen_round40,optimal,True,False,True,False,True,0.021337006039780566,0.021337006039780566,0.0,none
k1_iterative__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__c6_k1_adaptive_decisive,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,K1-adaptive-decisive,frozen_round40,optimal,True,False,True,False,True,0.021337006039780566,0.021337006039780566,0.0,none
reference__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__pgrb,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,P-GRB,round43_contemporaneous,optimal,True,False,True,False,True,0.02133700603978057,0.021337006039780566,0.0,
reference__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6,round43_contemporaneous,optimal,True,False,True,False,True,0.04500155005562773,0.04500155005562836,0.0,none
k1__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_k1_adaptive,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K1-old,frozen_round40,optimal,True,False,True,False,True,0.04500155005562815,0.04500155005562836,0.0,none
k1__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_k1_single,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K1-single,frozen_round40,optimal,True,False,True,False,True,0.04500155005562837,0.04500155005562836,0.0,none
k1_iterative__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_k1_adaptive_decisive,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K1-adaptive-decisive,frozen_round40,optimal,True,False,True,False,True,0.04500155005562837,0.04500155005562836,0.0,none
reference__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__pgrb,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,P-GRB,round43_contemporaneous,optimal,True,False,True,False,True,0.045001550055628364,0.04500155005562836,0.0,
k1__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__c6_hga_full_k4,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6,frozen_round40,optimal,True,False,True,False,True,0.023397909764811306,0.023397909764811306,0.0,none
k1__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__c6_k1_adaptive,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,K1-old,frozen_round40,optimal,True,False,True,False,True,0.023397909764811445,0.023397909764811306,0.0,none
k1__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__c6_k1_single,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,K1-single,frozen_round40,optimal,True,False,True,False,True,0.02339790976481131,0.023397909764811306,0.0,none
k1_iterative__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__c6_k1_adaptive_decisive,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,K1-adaptive-decisive,frozen_round40,optimal,True,False,True,False,True,0.02339790976481131,0.023397909764811306,0.0,none
reference__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__pgrb,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,P-GRB,round43_contemporaneous,optimal,True,False,True,False,True,0.023397909764811306,0.023397909764811306,0.0,
k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_hga_full_k4,round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6,frozen_round40,optimal,True,False,True,False,True,0.12152565367470176,0.1215256536747018,0.0,none
k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_k1_adaptive,round39_small_medium_V10_M2_Q20_slot05_seed968549317,K1-old,frozen_round40,optimal,True,False,True,False,True,0.12152565367470092,0.1215256536747018,0.0,none
k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_k1_single,round39_small_medium_V10_M2_Q20_slot05_seed968549317,K1-single,frozen_round40,optimal,True,False,True,False,True,0.12152565318255358,0.1215256536747018,0.0,none
k1_iterative__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_k1_adaptive_decisive,round39_small_medium_V10_M2_Q20_slot05_seed968549317,K1-adaptive-decisive,frozen_round40,optimal,True,False,True,False,True,0.12152565318255358,0.1215256536747018,0.0,none
reference__round39_small_medium_V10_M2_Q20_slot05_seed968549317__pgrb,round39_small_medium_V10_M2_Q20_slot05_seed968549317,P-GRB,round43_contemporaneous,optimal,True,False,True,False,True,0.12152565367470183,0.1215256536747018,0.0,
k1__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__c6_hga_full_k4,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6,frozen_round40,optimal,True,False,True,False,True,0.921663128891689,0.921663128891689,0.0,none
k1__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__c6_k1_adaptive,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,K1-old,frozen_round40,optimal,True,False,True,False,True,0.9216631288916932,0.921663128891689,0.0,none
k1__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__c6_k1_single,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,K1-single,frozen_round40,optimal,True,False,True,False,True,0.9216631288916932,0.921663128891689,0.0,none
k1_iterative__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__c6_k1_adaptive_decisive,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,K1-adaptive-decisive,frozen_round40,optimal,True,False,True,False,True,0.9216631288916932,0.921663128891689,0.0,none
reference__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__pgrb,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,P-GRB,round43_contemporaneous,optimal,True,False,True,False,True,0.921663128891689,0.921663128891689,0.0,
k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_hga_full_k4,round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6,frozen_round40,optimal,True,False,True,False,True,0.8585174613256055,0.8585174613256055,0.0,none
k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_k1_adaptive,round39_small_hard_V10_M1_Q20_slot01_seed561355351,K1-old,frozen_round40,optimal,True,False,True,False,True,0.8585174613256055,0.8585174613256055,0.0,none
k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_k1_single,round39_small_hard_V10_M1_Q20_slot01_seed561355351,K1-single,frozen_round40,optimal,True,False,True,False,True,0.8585174613256094,0.8585174613256055,0.0,none
k1_iterative__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_k1_adaptive_decisive,round39_small_hard_V10_M1_Q20_slot01_seed561355351,K1-adaptive-decisive,frozen_round40,optimal,True,False,True,False,True,0.8585174613256094,0.8585174613256055,0.0,none
reference__round39_small_hard_V10_M1_Q20_slot01_seed561355351__pgrb,round39_small_hard_V10_M1_Q20_slot01_seed561355351,P-GRB,round43_contemporaneous,optimal,True,False,True,False,True,0.8585174613256055,0.8585174613256055,0.0,
k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_hga_full_k4,round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6,frozen_round40,round31_c6_external_gini_tree_not_certified,False,True,True,False,True,0.6471162753807069,0.6471164334555021,2.442756619520684e-07,none
k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_k1_adaptive,round39_small_hard_V12_M3_Q20_slot07_seed621538683,K1-old,frozen_round40,round31_c6_external_gini_tree_not_certified,False,True,True,False,True,0.6471163029866588,0.6471164334555021,2.0161571633704306e-07,none
k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_k1_single,round39_small_hard_V12_M3_Q20_slot07_seed621538683,K1-single,frozen_round40,round31_c6_external_gini_tree_not_certified,False,True,True,False,True,0.6471163029866588,0.6471164334555021,2.0161571633704306e-07,none
k1_iterative__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_k1_adaptive_decisive,round39_small_hard_V12_M3_Q20_slot07_seed621538683,K1-adaptive-decisive,frozen_round40,round31_c6_external_gini_tree_not_certified,False,True,True,False,True,0.6471163029866588,0.6471164334555021,2.0161571633704306e-07,none
reference__round39_small_hard_V12_M3_Q20_slot07_seed621538683__pgrb,round39_small_hard_V12_M3_Q20_slot07_seed621538683,P-GRB,round43_contemporaneous,optimal,True,False,True,False,True,0.6471164293460857,0.6471164334555021,0.0,
reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6,round43_contemporaneous,optimal,True,False,True,False,True,0.5063433075652044,0.506343307565206,0.0,none
k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_k1_adaptive,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K1-old,frozen_round40,optimal,True,False,True,False,True,0.5063432868918758,0.506343307565206,0.0,none
k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_k1_single,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K1-single,frozen_round40,optimal,True,False,True,False,True,0.5063432868918758,0.506343307565206,0.0,none
k1_iterative__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_k1_adaptive_decisive,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K1-adaptive-decisive,frozen_round40,optimal,True,False,True,False,True,0.5063432868918758,0.506343307565206,0.0,none
reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__pgrb,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,P-GRB,round43_contemporaneous,optimal,True,False,True,False,True,0.5063433046784893,0.506343307565206,0.0,
k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_hga_full_k4,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,C6,frozen_round40,optimal,True,False,True,False,True,0.5045438521642074,0.5045438521642074,0.0,none
k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_k1_adaptive,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K1-old,frozen_round40,optimal,True,False,True,False,True,0.5045438521642072,0.5045438521642074,0.0,none
k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_k1_single,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K1-single,frozen_round40,optimal,True,False,True,False,True,0.5045438521642072,0.5045438521642074,0.0,none
k1_iterative__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_k1_adaptive_decisive,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K1-adaptive-decisive,frozen_round40,optimal,True,False,True,False,True,0.5045438521642072,0.5045438521642074,0.0,none
reference__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__pgrb,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,P-GRB,round43_contemporaneous,optimal,True,False,True,False,True,0.5045438474568696,0.5045438521642074,0.0,
stage3-development__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__algorithm__K1__d2__rho0.1__d__single,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,"A(1,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.0,0.0,0.0,none
stage3-development__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__algorithm__K1__d2__rho0.1__d__single,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,"A(1,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.021337006039780688,0.021337006039780566,0.0,none
stage3-candidate__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__algorithm__K1__d2__rho0.1__d__single,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,"A(1,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.0450015500556283,0.04500155005562836,0.0,none
stage3-development__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__algorithm__K1__d2__rho0.1__d__single,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,"A(1,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.02339790976481131,0.023397909764811306,0.0,none
stage3-candidate__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K1__d2__rho0.1__d__single,round39_small_medium_V10_M2_Q20_slot05_seed968549317,"A(1,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.12152565367470174,0.1215256536747018,0.0,none
stage3-development__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__algorithm__K1__d2__rho0.1__d__single,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,"A(1,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.9216631288916919,0.921663128891689,0.0,none
stage3-candidate__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K1__d2__rho0.1__d__single,round39_small_hard_V10_M1_Q20_slot01_seed561355351,"A(1,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.8585174613256077,0.8585174613256055,0.0,none
stage3-candidate__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K1__d2__rho0.1__d__single,round39_small_hard_V12_M3_Q20_slot07_seed621538683,"A(1,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.6471163661350579,0.6471164334555021,0.0,none
stage3-candidate__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__algorithm__K1__d2__rho0.1__d__single,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,"A(1,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.5063433064299089,0.506343307565206,0.0,none
stage3-candidate__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K1__d2__rho0.1__d__single,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,"A(1,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.504543787493694,0.5045438521642074,0.0,none
stage3-development__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__algorithm__K4__d2__rho0.1__d__single,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,"A(4,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.0,0.0,0.0,none
stage3-development__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__algorithm__K4__d2__rho0.1__d__single,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,"A(4,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.021337006039780566,0.021337006039780566,0.0,none
stage3-candidate__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__algorithm__K4__d2__rho0.1__d__single,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,"A(4,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.04500155005562829,0.04500155005562836,0.0,none
stage3-development__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__algorithm__K4__d2__rho0.1__d__single,round39_small_medium_V8_M3_Q30_slot03_seed1177285734,"A(4,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.023397909764811306,0.023397909764811306,0.0,none
stage3-candidate__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K4__d2__rho0.1__d__single,round39_small_medium_V10_M2_Q20_slot05_seed968549317,"A(4,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.1215256460352884,0.1215256536747018,0.0,none
stage3-development__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__algorithm__K4__d2__rho0.1__d__single,round39_small_hard_V10_M1_Q30_slot02_seed1721447042,"A(4,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.921663128891689,0.921663128891689,0.0,none
stage3-candidate__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K4__d2__rho0.1__d__single,round39_small_hard_V10_M1_Q20_slot01_seed561355351,"A(4,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.8585174613256055,0.8585174613256055,0.0,none
stage3-candidate__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K4__d2__rho0.1__d__single,round39_small_hard_V12_M3_Q20_slot07_seed621538683,"A(4,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.647116433455502,0.6471164334555021,0.0,none
stage3-candidate__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__algorithm__K4__d2__rho0.1__d__single,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,"A(4,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.5063433075651865,0.506343307565206,0.0,none
stage3-candidate__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K4__d2__rho0.1__d__single,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,"A(4,2,0.1)",round43_candidate,optimal,True,False,True,False,True,0.504543787493694,0.5045438521642074,0.0,none
