instance_id,mode,run_id,reused_mechanism_row,executable_sha256,certified,right_censored,hard_failure,lifecycle_complete,valid_final_lower,verified_upper,relative_gap,root_native_bound,root_improvement_over_E0,total_work,solver_seconds,process_seconds,peak_memory_gb,run_dir
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,constant,stage2-development__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__algorithm__K1__d2__rho0.01__no-adaptive__constant,False,6d96a7c580b8af81cbbb50fba3a5ebece9b0873cb79ad4a4d592d153d6a97040,True,False,False,True,0.0,0.0,0.0,0.0,nan,0.0,0.0,2.5675267,0.0,results/gf_k1_k4_envelope_refinement_round43/runs/stage2-development__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__algorithm__K1__d2__rho0.01__no-adaptive__constant
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,constant,stage2-development__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__algorithm__K1__d2__rho0.01__no-adaptive__constant,False,6d96a7c580b8af81cbbb50fba3a5ebece9b0873cb79ad4a4d592d153d6a97040,True,False,False,True,0.02133700603978057,0.021337006039780566,0.0,0.01690628496207065,nan,27.733708622983176,12.59500002861023,19.2717585,0.122193573,results/gf_k1_k4_envelope_refinement_round43/runs/stage2-development__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__algorithm__K1__d2__rho0.01__no-adaptive__constant
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,constant,stage2-envelope__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__algorithm__K1__d2__rho0.01__no-adaptive__constant,True,6d96a7c580b8af81cbbb50fba3a5ebece9b0873cb79ad4a4d592d153d6a97040,True,False,False,True,0.04500155005562803,0.04500155005562836,7.247039559315152e-15,0.0326855911449808,-0.00038520564216940056,2170.7063735243414,1082.8340003490448,1086.6115958,0.215459473,results/gf_k1_k4_envelope_refinement_round43/runs/stage2-envelope__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__algorithm__K1__d2__rho0.01__no-adaptive__constant
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,constant,stage2-development__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__algorithm__K1__d2__rho0.01__no-adaptive__constant,False,6d96a7c580b8af81cbbb50fba3a5ebece9b0873cb79ad4a4d592d153d6a97040,True,False,False,True,0.02339790976481147,0.023397909764811306,0.0,0.014650267082702955,nan,2.044949979116467,1.383000135421753,2.7238345,0.014814899,results/gf_k1_k4_envelope_refinement_round43/runs/stage2-development__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__algorithm__K1__d2__rho0.01__no-adaptive__constant
round39_small_medium_V10_M2_Q20_slot05_seed968549317,constant,stage2-envelope__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K1__d2__rho0.01__no-adaptive__constant,True,6d96a7c580b8af81cbbb50fba3a5ebece9b0873cb79ad4a4d592d153d6a97040,True,False,False,True,0.12152565367470178,0.1215256536747018,2.2839272841868153e-16,0.06532518761483347,0.0002588473242802064,49.19208716906926,27.371000289916992,29.0894878,0.052718997,results/gf_k1_k4_envelope_refinement_round43/runs/stage2-envelope__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K1__d2__rho0.01__no-adaptive__constant
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,constant,stage2-development__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__algorithm__K1__d2__rho0.01__no-adaptive__constant,False,6d96a7c580b8af81cbbb50fba3a5ebece9b0873cb79ad4a4d592d153d6a97040,True,False,False,True,0.9216631288916903,0.921663128891689,0.0,0.9216631288916903,nan,1.114366722578334,0.995999813079834,1.6054612,0.012087991,results/gf_k1_k4_envelope_refinement_round43/runs/stage2-development__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__algorithm__K1__d2__rho0.01__no-adaptive__constant
round39_small_hard_V10_M1_Q20_slot01_seed561355351,constant,stage2-envelope__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K1__d2__rho0.01__no-adaptive__constant,True,6d96a7c580b8af81cbbb50fba3a5ebece9b0873cb79ad4a4d592d153d6a97040,True,False,False,True,0.8585174613256068,0.8585174613256055,0.0,0.8585174613256068,-2.55351295663786e-15,0.7732175917864988,0.6990001201629639,1.4093566,0.012213925,results/gf_k1_k4_envelope_refinement_round43/runs/stage2-envelope__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K1__d2__rho0.01__no-adaptive__constant
round39_small_hard_V12_M3_Q20_slot07_seed621538683,constant,stage2-envelope__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K1__d2__rho0.01__no-adaptive__constant,True,6d96a7c580b8af81cbbb50fba3a5ebece9b0873cb79ad4a4d592d153d6a97040,True,False,False,True,0.6471163411776922,0.6471164334555021,1.4259846461483383e-07,0.37466378921228344,0.0020021425042505148,281.88443123148744,147.74699997901917,151.588214,0.120880334,results/gf_k1_k4_envelope_refinement_round43/runs/stage2-envelope__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K1__d2__rho0.01__no-adaptive__constant
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,constant,stage2-envelope__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__algorithm__K1__d2__rho0.01__no-adaptive__constant,True,6d96a7c580b8af81cbbb50fba3a5ebece9b0873cb79ad4a4d592d153d6a97040,True,False,False,True,0.506343307565206,0.506343307565206,0.0,0.3457450708023699,0.0005829116337104923,392.30858417126916,233.89800000190735,237.5917872,0.172350555,results/gf_k1_k4_envelope_refinement_round43/runs/stage2-envelope__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__algorithm__K1__d2__rho0.01__no-adaptive__constant
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,constant,stage2-envelope__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K1__d2__rho0.01__no-adaptive__constant,True,6d96a7c580b8af81cbbb50fba3a5ebece9b0873cb79ad4a4d592d153d6a97040,True,False,False,True,0.5045438521642086,0.5045438521642074,0.0,0.336579879122931,0.002423835957031939,13.040353589573343,8.114999771118164,9.5510585,0.02332461,results/gf_k1_k4_envelope_refinement_round43/runs/stage2-envelope__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K1__d2__rho0.01__no-adaptive__constant
