mode,row_count,reused_mechanism_rows,new_rows,certified_count,right_censored_count,hard_failure_count,geomean_total_work,geomean_process_seconds,mean_relative_gap,major_regression_work,strong_control_work,max_peak_memory_gb,mean_mechanism_root_improvement_over_E0
single,10,6,4,10,0,0,1.2814307784402645,18.662848841153515,0.0,1545.8494704354425,392.30860746272197,0.216291548,0.0003292963347198118
constant,10,6,4,10,0,0,1.2236311092335554,17.867329696230478,0.0,2170.7063735243414,392.30858417126916,0.215459473,0.0008137552961835331
