instance_id,mechanism_role,arm,source,run_id,certified,right_censored,false_certificate,work,process_seconds,exact_phase_seconds,nodes,lp_jobs,terminal_mip_jobs,split_count,run_dir
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,envelope-D-score,round43_stage3_reuse,stage3-candidate__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__algorithm__K1__d2__rho0.1__d__single,True,False,False,230.93842781922072,154.2139515,152.18345390000002,11771.0,105,9,12,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__algorithm__K1__d2__rho0.1__d__single
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,C6,reference,reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6,True,False,False,133.73490192498448,81.35293,79.2869038,7878.0,10,3,0,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,K1-single,reference,k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_k1_single,True,False,False,739.7839003001452,432.4003684,430.3639507,24652.0,1,1,0,results/gf_regression_adaptive_round40/runs/k1__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6_k1_single
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,P-GRB,reference,reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__pgrb,True,False,False,3152.2339036687963,1980.4077826,1980.4077826,523511.0,0,0,0,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__pgrb
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,old-score-no-envelope,round43_ablation,stage3-ablation-old-no-envelope__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K1__d2__rho0.1__old__none,True,False,False,1.2003952384768435,2.1301288,1.7597932,1.0,20,2,2,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-ablation-old-no-envelope__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K1__d2__rho0.1__old__none
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,envelope-no-adaptive,round43_stage2_reuse,stage2-envelope__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K1__d2__rho0.01__no-adaptive__single,True,False,False,0.7923224495557765,1.5563219,1.075254,1.0,5,1,0,results/gf_k1_k4_envelope_refinement_round43/runs/stage2-envelope__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K1__d2__rho0.01__no-adaptive__single
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,envelope-old-score,round43_ablation,stage3-ablation-old-envelope__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K1__d2__rho0.1__old__single,True,False,False,1.0324401752861085,1.8758457,1.5085304,11.0,15,2,1,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-ablation-old-envelope__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K1__d2__rho0.1__old__single
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,envelope-D-score,round43_stage3_reuse,stage3-candidate__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K1__d2__rho0.1__d__single,True,False,False,2.040944750078581,3.4539202,3.0804198,1.0,40,2,6,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K1__d2__rho0.1__d__single
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,C6,reference,k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_hga_full_k4,True,False,False,0.989274344317732,1.6887786,1.3413479000000001,2.0,14,2,3,results/gf_regression_adaptive_round40/runs/k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_hga_full_k4
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,K1-single,reference,k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_k1_single,True,False,False,0.849163151506068,1.3068472,0.9666973,1.0,1,1,0,results/gf_regression_adaptive_round40/runs/k1__round39_small_hard_V10_M1_Q20_slot01_seed561355351__c6_k1_single
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,P-GRB,reference,reference__round39_small_hard_V10_M1_Q20_slot01_seed561355351__pgrb,True,False,False,0.6229244358140683,0.9694369,0.9694369,459.0,0,0,0,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_hard_V10_M1_Q20_slot01_seed561355351__pgrb
round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,old-score-no-envelope,round43_ablation,stage3-ablation-old-no-envelope__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K1__d2__rho0.1__old__none,True,False,False,176.33345531312548,111.4477345,110.0781645,8868.0,55,6,5,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-ablation-old-no-envelope__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K1__d2__rho0.1__old__none
round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,envelope-no-adaptive,round43_stage2_reuse,stage2-envelope__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K1__d2__rho0.01__no-adaptive__single,True,False,False,66.98362238615394,41.7686261,40.4459983,3070.0,5,1,0,results/gf_k1_k4_envelope_refinement_round43/runs/stage2-envelope__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K1__d2__rho0.01__no-adaptive__single
round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,envelope-old-score,round43_ablation,stage3-ablation-old-envelope__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K1__d2__rho0.1__old__single,True,False,False,91.14617404081665,57.4736026,56.1428169,5911.0,25,3,2,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-ablation-old-envelope__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K1__d2__rho0.1__old__single
round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,envelope-D-score,round43_stage3_reuse,stage3-candidate__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K1__d2__rho0.1__d__single,True,False,False,66.98362238615394,41.2768772,39.9509816,3070.0,5,1,0,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K1__d2__rho0.1__d__single
round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,C6,reference,k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_hga_full_k4,True,False,False,109.91515934198168,65.3808308,64.1180846,6507.0,12,4,0,results/gf_regression_adaptive_round40/runs/k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_hga_full_k4
round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,K1-single,reference,k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_k1_single,True,False,False,37.11258637258066,22.3720539,21.0918032,2140.0,1,1,0,results/gf_regression_adaptive_round40/runs/k1__round39_small_medium_V10_M2_Q20_slot05_seed968549317__c6_k1_single
round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,P-GRB,reference,reference__round39_small_medium_V10_M2_Q20_slot05_seed968549317__pgrb,True,False,False,326.4377944170663,217.85053,217.85053,77057.0,0,0,0,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_medium_V10_M2_Q20_slot05_seed968549317__pgrb
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,old-score-no-envelope,round43_ablation,stage3-ablation-old-no-envelope__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K1__d2__rho0.1__old__none,True,False,False,9.342954561935022,7.4883083,6.5605871,962.0,5,1,0,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-ablation-old-no-envelope__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K1__d2__rho0.1__old__none
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,envelope-no-adaptive,round43_stage2_reuse,stage2-envelope__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K1__d2__rho0.01__no-adaptive__single,True,False,False,13.040363594739457,9.7838521,8.8573755,1245.0,5,1,0,results/gf_k1_k4_envelope_refinement_round43/runs/stage2-envelope__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K1__d2__rho0.01__no-adaptive__single
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,envelope-old-score,round43_ablation,stage3-ablation-old-envelope__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K1__d2__rho0.1__old__single,True,False,False,13.040363594739457,9.8161556,8.8734656,1245.0,5,1,0,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-ablation-old-envelope__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K1__d2__rho0.1__old__single
