K0,rho,configuration,row_count,certified_count,right_censored_count,hard_failure_count,all_correctness_gates_valid,mean_final_gap,major_certified,major_gap,major_work,major_process_seconds,control_certified,control_gap,control_work,control_process_seconds,worst_mechanism_work,geomean_work,geomean_process_seconds,total_splits,total_facets
1,0.05,"A(1,2,0.05)",6,6,0,0,True,0.0,True,0.0,10493.024923878418,5228.9890306,True,0.0,402.25055276033,314.1631391,10493.024923878418,285.9777221915705,231.47613930228385,308,947
1,0.1,"A(1,2,0.1)",6,6,0,0,True,0.0,True,0.0,1545.8494704354425,743.2262529,True,0.0,230.93842781922072,154.2139515,1545.8494704354425,85.6248425036563,63.22564055107503,41,154
4,0.05,"A(4,2,0.05)",6,6,0,0,True,0.0,True,0.0,10778.649411696371,5357.5578241,True,0.0,394.5693675510386,308.1590455,10778.649411696371,284.97605006648246,231.3387841585625,293,912
4,0.1,"A(4,2,0.1)",6,6,0,0,True,0.0,True,0.0,1346.0503225176133,651.2814998,True,0.0,203.52532910564796,138.6772497,1346.0503225176133,75.6950864334762,59.002735511924946,58,213
