run_id,run_dir,artifact_count,published_file_count,artifact_manifest_sha256,completion_marker_sha256,command_sha256,result_sha256,executable_sha256,input_sha256,strict_certificate,verifier_passed,retention
reference__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6,20,34,f38e896d954e2d9073f94af72fb40b271990cf978bda44b3ca08df47b7e4c16f,b2ccc9d6f9ec8d7146f3e7c3a64d9da6af3b8fba91a9c8a1770fdadaa30b1a00,ce91fe085db3ed9ccfe153ba7eb44367e6cb579610ae609960144343cddd8f0b,92b237265e8bdadfc13047a6e29d222e96caf17dfc9ae267a44b627d33059817,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,14f4cca30de0990091cebdfd38bd9bb29b0998737fbfa8a2db8e096847ff6097,True,True,raw_run_local_compact_manifest_committed
reference__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6-implicit,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6-implicit,20,34,71f65b3151d1e0ed1fa53ae09466667d93698c26bdb91a0d93b33c69b013bfa5,474f5e444cda0ee13ea08f99933632bf7a9da5b28abb8b10171c7e7330a4785f,695f0a8ad38f991b9724082b4fa06399afbf8090cbf10424774f03f693922b88,94fcc8da512c1952fc2d2a0a958dd60f80b2092f68649dd92204440860f80e18,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,14f4cca30de0990091cebdfd38bd9bb29b0998737fbfa8a2db8e096847ff6097,True,True,raw_run_local_compact_manifest_committed
reference__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__pgrb,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__pgrb,20,24,8a70763c23eaacf12f54b47e6a859ecf1e656a1d286179e33e1a0944e356f830,a541a51ae0a41e6daa6a43f980d67e9e47f97140b7d6d8710dab34b3dcdd2eaf,feb440ab7778d2780412d5e8bb3f6c4b8ac23449f72bce1f3bb974882bfa0644,49b0b78dde97a0d85e5d0b68d5114a8a162115aaf6de564263e1587d93ee806c,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,14f4cca30de0990091cebdfd38bd9bb29b0998737fbfa8a2db8e096847ff6097,True,True,raw_run_local_compact_manifest_committed
reference__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__pgrb,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__pgrb,20,24,83ccd2179144d28b12081f8a8d00f588a4caad51e38ce82ee17caec5f6646570,f476b86fa2fb7d822327a3ea1629c29dd5e253fe99014e82d18ff36d296adcb2,cc662b739ac4be768e55daaed1cd8741eef0c71417d5ff6743e1ed28db0237e2,281ad559bd23cd32d48d2ab543c443a2652fa99769e6271d02b175a1c29fca2d,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,587737b9d000c1712220232a0fe957073f1f03ac649a63a4775abd9166603acd,True,True,raw_run_local_compact_manifest_committed
reference__round39_small_hard_V10_M1_Q20_slot01_seed561355351__pgrb,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_hard_V10_M1_Q20_slot01_seed561355351__pgrb,20,24,a61ac3d371eb21e280e2b22719c953ac809f5b1864b8d5279c6f9dacaafded68,b768229e1930f5c2ae537ed74741879a0f941708d6ed70eab4f90e34d75e636f,01af00e4b22e2f6c7ef303fb8425d486d83e9290cca797783531957051d71b2a,25336991be9a5680093f5ccfc9942fd34fa763773a65a80482961d9a29869056,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,08cc363f365dec28647189686a8f1d7081f922d88e40c1ccac9c42e1b696893c,True,True,raw_run_local_compact_manifest_committed
reference__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__pgrb,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__pgrb,20,24,009389e18b921d864a192a910c09c626822f58b6493042c6cd0018c70851b199,bde1dc61d0d2046f621aed4c5c57a58ef50aeebcce375534b509873e098ff240,0b55fc8aac6815bf088952b0595e68c95cae6d0276a4bb110f4869287214f5e8,f9fc149fc63b55fc219b45753f4f739179c5e82e33dd75f2f21db27aa457d71f,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,065d0f472f63fb8fe2f6e82c0834e9622db12c64af879f96bd576660c39272c9,True,True,raw_run_local_compact_manifest_committed
reference__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__pgrb,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__pgrb,20,24,eadb48ce5e4e9f7deb251b080a34c7aae8f2645278983cff2185868b89eb2d00,80b083a6c61c981d6568445b96bfc6b4013a7fb2fb503b2b0f74c6c2c7cfdb87,c57fa74388c1f88b10ac2a475e2313c912ca5c14b97b49541af80e62a75844ff,56907765abad6301b5ae65759d023f2f5fcd499c300b290491844b0d9746890d,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,7c4b46a1932e53e6ae193d01085bcc226236ffdc01c03a27bdbb6ebb483455a8,True,True,raw_run_local_compact_manifest_committed
reference__round39_small_hard_V12_M3_Q20_slot07_seed621538683__pgrb,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_hard_V12_M3_Q20_slot07_seed621538683__pgrb,20,24,4857e174754e63b98f8bb2bdd3de604a77dea962136f9b803d27612b0193f3e6,493501c9f58b95b221cb0bce87907827a393a7140b450cb155ebc89da844e751,e27efd6cf04cdcfa1f736b382c2599873fedf08df5f55f66a3bec4d75f4f5cce,aaca93c5d1914c491be1723b801a0bce26c78676d03c14826b6e78b1d9a6961f,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,963a8887d9c69a19824a0c250de4099a68b8c0e17288196b25cc46d74eb890b1,True,True,raw_run_local_compact_manifest_committed
reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6,20,61,f1b5dc53a79c42375907b56c96bf9caabca0c66508ca3bb4c520ca9543ee8646,c239c6e4e92aec0dd732dfe19dcd1683ab875212be2be09bed6d8919761a08c3,7a99a11d111788efcdbcda8f78b5a7b0386d921e5c3a12d8fc792364f432bf90,5b0d08cd71be23e753e456842f72ec294449c9e64fb3ecfd01e92362cec2a140,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,True,True,raw_run_local_compact_manifest_committed
reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6-implicit,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__c6-implicit,20,61,cdeec03e0a88277d6b9bee2b8393fee886f77f1d0fe21094d2feb2eb421f7854,9a4511b133540d12208b3d3bd545d565fca17ae463a9c5f0ac79043e2c0d4a5d,a718857ba31407216cd5706bf6dfd77668f4dd5415154ca7547faa5530b189d0,1001f71a8dd6af5d4b8861ac267d2f84fa1616c5dd6b407045638a516e60bb10,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,True,True,raw_run_local_compact_manifest_committed
