instance_id,mechanism_role,K0,rho,configuration,run_id,standard_run_id,symmetric_extension_used,process_cap_seconds,executable_sha256,status,certified,right_censored,hard_failure,failure_reason,verified_incumbent,lifecycle_complete,coverage_valid,global_bound_monotone,relative_gap,verified_upper,valid_lower,total_work,lp_work,terminal_mip_work,process_seconds,exact_phase_seconds,nodes,lp_jobs,terminal_mip_jobs,split_count,final_intervals,accepted_facets,decision_count,decision_reconstruction_valid,decision_sequence_sha256,run_dir
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,1,0.1,"A(1,2,0.1)",stage3-candidate__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K1__d2__rho0.1__d__single,stage3-candidate__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K1__d2__rho0.1__d__single,False,3600.0,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,optimal,True,False,False,none,True,True,True,True,0.0,0.5045438521642074,0.504543787493694,35.68105804398642,26.91954691005629,8.761511133930146,31.0284602,30.0872962,556.0,175,12,23,24,78,35,True,971baf65119f5ce79ef1ef971ade4ff4457b1e946310285407874740f36e3b6a,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K1__d2__rho0.1__d__single
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,1,0.1,"A(1,2,0.1)",stage3-candidate__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K1__d2__rho0.1__d__single,stage3-candidate__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K1__d2__rho0.1__d__single,False,3600.0,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,optimal,True,False,False,none,True,True,True,True,0.0,0.6471164334555021,0.6471163661350579,226.30685306541812,2.139798709306606,224.16705435611152,125.9897934,123.8154668,6998.0,5,1,0,1,3,1,True,cdd1946e599c2fa32aafee9868f87545bc8afea0100ac1a2bba29eb3c22f3fde,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K1__d2__rho0.1__d__single
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,4,0.05,"A(4,2,0.05)",x43e__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__algorithm__K4__d2__rho0.05__d__single,stage3-candidate__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__algorithm__K4__d2__rho0.05__d__single,True,7200.0,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,optimal,True,False,False,none,True,True,True,True,0.0,0.04500155005562836,0.04500155005562829,10778.649411696371,119.19429772355647,10659.45511397281,5357.5578241,5355.3629775,71126.0,338,31,36,40,118,67,True,8345fa7cef3abed99524aa293d4b78ddb674e73c75c20a03fee618089a7e2f95,results/gf_k1_k4_envelope_refinement_round43/runs/x43e__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__algorithm__K4__d2__rho0.05__d__single
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,4,0.05,"A(4,2,0.05)",stage3-candidate__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__algorithm__K4__d2__rho0.05__d__single,stage3-candidate__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__algorithm__K4__d2__rho0.05__d__single,False,3600.0,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,optimal,True,False,False,none,True,True,True,True,0.0,0.506343307565206,0.5063432087199102,394.5693675510386,224.60430659850644,169.96506095253244,308.1590455,306.1603477,8259.0,470,45,49,53,158,94,True,0ec7b5f10797eb1e677c388343d55c2c030df587e81e72e7cbb1ed5a2490620a,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__algorithm__K4__d2__rho0.05__d__single
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,4,0.05,"A(4,2,0.05)",stage3-candidate__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K4__d2__rho0.05__d__single,stage3-candidate__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K4__d2__rho0.05__d__single,False,3600.0,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,optimal,True,False,False,none,True,True,True,True,0.0,0.8585174613256055,0.8585174613256055,20.02390107565182,18.73200157586535,1.2918994997864732,30.2332338,29.8691174,2.0,464,41,51,55,158,92,True,b77d8583542f84f870c6325a48232d5a17f5d68b8a658ccd883b889497bc2f10,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K4__d2__rho0.05__d__single
round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,4,0.05,"A(4,2,0.05)",stage3-candidate__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K4__d2__rho0.05__d__single,stage3-candidate__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K4__d2__rho0.05__d__single,False,3600.0,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,optimal,True,False,False,none,True,True,True,True,0.0,0.1215256536747018,0.1215256460352884,193.96031397432623,41.8882961438862,152.0720178304402,142.4251203,141.0943734,5632.0,478,42,53,57,156,95,True,35aa71eb5b6eaa6fe8149c253f222840b12fa1e2faa3850e72e100c344381396,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K4__d2__rho0.05__d__single
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,4,0.05,"A(4,2,0.05)",stage3-candidate__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K4__d2__rho0.05__d__single,stage3-candidate__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K4__d2__rho0.05__d__single,False,3600.0,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,optimal,True,False,False,none,True,True,True,True,0.0,0.5045438521642074,0.504543787493694,96.00084649681902,85.07969767597227,10.92114882084674,76.9517878,76.0219849,467.0,496,45,54,58,167,99,True,add71a13b4a6b24b3b418667494439fdfb3e1aa3d06e069f75475306a9a10b6b,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K4__d2__rho0.05__d__single
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,4,0.05,"A(4,2,0.05)",stage3-candidate__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K4__d2__rho0.05__d__single,stage3-candidate__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K4__d2__rho0.05__d__single,False,3600.0,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,optimal,True,False,False,none,True,True,True,True,0.0,0.6471164334555021,0.647116433455502,337.7737003918856,184.3130213519979,153.4606790398873,280.1941047,278.03210090000005,3434.0,459,41,50,54,155,91,True,21a09fc70666d9ddd8145c9ccd9154d60f1cd472ed468b7cf7d60daa868bb26b,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K4__d2__rho0.05__d__single
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,4,0.1,"A(4,2,0.1)",x43e__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__algorithm__K4__d2__rho0.1__d__single,stage3-candidate__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__algorithm__K4__d2__rho0.1__d__single,True,7200.0,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,optimal,True,False,False,none,True,True,True,True,0.0,0.04500155005562836,0.04500155005562829,1346.0503225176133,5.836869683067073,1340.213452834546,651.2814998,649.0984034,13940.0,16,3,0,4,12,3,True,117e187c4c184a9c171a3599e51aa456b068198ab91c60eb9d61eb2311683a56,results/gf_k1_k4_envelope_refinement_round43/runs/x43e__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__algorithm__K4__d2__rho0.1__d__single
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,4,0.1,"A(4,2,0.1)",stage3-candidate__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__algorithm__K4__d2__rho0.1__d__single,stage3-candidate__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__algorithm__K4__d2__rho0.1__d__single,False,3600.0,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,optimal,True,False,False,none,True,True,True,True,0.0,0.506343307565206,0.5063433075651865,203.52532910564796,48.47604438655489,155.04928471909295,138.6772497,136.6543824,8339.0,100,10,10,14,42,20,True,8d68ea09c2578993698d48e8992b62469cd1d9c494a5a9c622b26ec122a0709b,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__algorithm__K4__d2__rho0.1__d__single
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win_guard,4,0.1,"A(4,2,0.1)",stage3-candidate__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K4__d2__rho0.1__d__single,stage3-candidate__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K4__d2__rho0.1__d__single,False,3600.0,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,optimal,True,False,False,none,True,True,True,True,0.0,0.8585174613256055,0.8585174613256055,1.27673636871181,1.0827448501681676,0.1939915185436426,2.2615156,1.9026664000000002,1.0,27,2,3,7,12,5,True,e4c2d81919b6e848ad31b9eae9610ad91dff061814bfac888e6c9ecb2766b124,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_hard_V10_M1_Q20_slot01_seed561355351__algorithm__K4__d2__rho0.1__d__single
round39_small_medium_V10_M2_Q20_slot05_seed968549317,medium_c6_win_guard,4,0.1,"A(4,2,0.1)",stage3-candidate__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K4__d2__rho0.1__d__single,stage3-candidate__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K4__d2__rho0.1__d__single,False,3600.0,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,optimal,True,False,False,none,True,True,True,True,0.0,0.1215256536747018,0.1215256460352884,113.48485345988566,16.259609361177212,97.22524409870846,79.1781929,77.8250269,4029.0,182,13,23,27,64,36,True,1be1964fcae1ec8c54c39f0b2f34943e02a1bb39aa5e93a9c3e53a90f2a27f51,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_medium_V10_M2_Q20_slot05_seed968549317__algorithm__K4__d2__rho0.1__d__single
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,4,0.1,"A(4,2,0.1)",stage3-candidate__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K4__d2__rho0.1__d__single,stage3-candidate__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K4__d2__rho0.1__d__single,False,3600.0,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,optimal,True,False,False,none,True,True,True,True,0.0,0.5045438521642074,0.504543787493694,33.5947513170117,24.833476397980537,8.761274919031159,29.2024567,28.270917999999998,556.0,160,12,20,24,68,32,True,4b86acf172837fe607ff7e27e592ced94a772175c028b48e6bf130edd653eeb6,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K4__d2__rho0.1__d__single
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,4,0.1,"A(4,2,0.1)",stage3-candidate__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K4__d2__rho0.1__d__single,stage3-candidate__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K4__d2__rho0.1__d__single,False,3600.0,52fa775e9be5d3b37686d95aaffc3d965d107ae7a3692dd1a9521df3d5877fe1,optimal,True,False,False,none,True,True,True,True,0.0,0.6471164334555021,0.647116433455502,141.06387565681803,13.299944424790628,127.76393123202739,89.3376159,87.1321377,2918.0,35,5,2,6,15,7,True,6d13f3593b45dd400168ca3229f470cc33093d2f2ca344e7a5eb29cd801cea9b,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K4__d2__rho0.1__d__single
