instance_id,arm,provenance,input_sha256_match,canonical_model_identity_available,zero_range_no_model_expected,historical_solver_contract_valid,historical_strict_certificate,historical_outcome_honest,same_machine,round43_default_off_equivalence_valid,hga_start_contract_valid,hga_start_requested,hga_start_incumbent_found,hga_start_mapping_complete,hga_start_submitted,hga_start_status,hga_start_verified_objective,hga_start_safe_mapping_rejection,historical_reuse_eligible,disposition
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6,round43_contemporaneous,True,True,True,True,True,True,True,True,True,True,True,True,True,verified_hga_full_incumbent_inherited_from_c6_path,0.0,False,False,mandatory_contemporaneous_c6
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,K1-old,frozen_round40,True,True,True,True,True,True,True,True,True,True,True,True,True,verified_hga_full_incumbent_inherited_from_c6_path,0.0,False,True,audited_historical_reuse
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,K1-single,frozen_round40,True,True,True,True,True,True,True,True,True,True,True,True,True,verified_hga_full_incumbent_inherited_from_c6_path,0.0,False,True,audited_historical_reuse
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,K1-adaptive-decisive,frozen_round40,True,True,True,True,True,True,True,True,True,True,True,True,True,verified_hga_full_incumbent_inherited_from_c6_path,0.0,False,True,audited_historical_reuse
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,P-GRB,round43_contemporaneous,True,True,False,True,True,True,True,True,True,True,True,True,True,submitted_complete_independently_verified_start,0.0,False,False,contemporaneous_fair_hga_start
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6,frozen_round40,True,True,False,True,True,True,True,True,True,True,True,True,True,verified_hga_full_incumbent_inherited_from_c6_path,0.021337006039780566,False,True,audited_historical_reuse
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,K1-old,frozen_round40,True,True,False,True,True,True,True,True,True,True,True,True,True,verified_hga_full_incumbent_inherited_from_c6_path,0.021337006039780566,False,True,audited_historical_reuse
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,K1-single,frozen_round40,True,True,False,True,True,True,True,True,True,True,True,True,True,verified_hga_full_incumbent_inherited_from_c6_path,0.021337006039780566,False,True,audited_historical_reuse
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,K1-adaptive-decisive,frozen_round40,True,True,False,True,True,True,True,True,True,True,True,True,True,verified_hga_full_incumbent_inherited_from_c6_path,0.021337006039780566,False,True,audited_historical_reuse
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,P-GRB,round43_contemporaneous,True,True,False,True,True,True,True,True,True,True,True,False,False,mapping_rejected:noncanonical_equal_capacity_vehicle_symmetry,0.021337006039780566,True,False,contemporaneous_fair_hga_start
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6,round43_contemporaneous,True,True,False,True,True,True,True,True,True,True,True,True,True,verified_hga_full_incumbent_inherited_from_c6_path,0.04500155005562836,False,False,mandatory_contemporaneous_c6
