arm,row_count,certified_count,right_censored_count,false_certificate_count,work_geomean,process_seconds_geomean,total_terminal_mip_jobs,total_splits
old-score-no-envelope,6,5,1,0,125.90861559074165,91.1997442445895,28,24
envelope-no-adaptive,6,6,0,0,67.54743146049236,50.04385818475344,6,0
envelope-old-score,6,6,0,0,90.51353750105918,65.74812555859464,12,7
envelope-D-score,6,6,0,0,85.6248425036563,63.632241220100326,26,41
C6,6,5,1,0,67.24690821650921,48.87419230504396,20,10
K1-single,6,5,1,0,69.7990073201311,47.87877369615354,6,0
P-GRB,6,6,0,0,327.21264199350634,252.7006102176705,0,0
