mode,row_count,certified_count,right_censored_count,hard_failure_count,all_engineering_gates_valid,mean_final_relative_gap,geomean_total_work,geomean_process_seconds,max_peak_memory_gb,accepted_facet_rows,max_envelope_iterations,work_ratio_vs_none,gap_delta_vs_none
none,6,5,1,0,True,4.108235781975865e-08,73.02123200586563,50.75881031894659,0.216099029,0,0,1.0,0.0
constant,6,6,0,0,True,2.3766412015044352e-08,70.13977811084666,49.838306676089815,0.215459473,6,0,0.9605395058962097,-1.73159458047143e-08
single,6,6,0,0,True,1.7338571006831244e-08,67.54743146049236,50.04385818475344,0.216291548,21,0,0.9250382334697727,-2.374378681292741e-08
iterated,6,5,1,0,True,4.040740009391536e-08,94.47641966369704,63.21823104976971,0.214918516,8,1,1.2938212225193348,-6.74957725843292e-10
