leaf_id,attempt,time_limit_seconds,solver_runtime_seconds,work,nodes,simplex_iterations,barrier_iterations,cumulative_runtime,cumulative_work,cumulative_nodes,cumulative_simplex_iterations,cumulative_barrier_iterations,optimize_return_code
L0,0,30,0.253,0.437063,1,425,0,0.253,0.437063,1,425,0,0
L1,0,30,0.585,1.27926,1,4643,0,0.585,1.27926,1,4643,0,0
L2,0,30,30.002,61.0457,84,97934,0,30.002,61.0457,84,97934,0,0
L3,0,30,0.349,0.637957,1,1444,0,0.349,0.637957,1,1444,0,0
L2,1,60,60.015,111.295,572,273706,0,90.017,172.341,656,371640,0,0
L2.0,0,30,30,61.6276,470,156282,0,30,61.6276,470,156282,0,0
L2.1,0,30,2.182,4.24638,1,12989,0,2.182,4.24638,1,12989,0,0
L2.0,1,60,60.001,112.834,750,336200,0,90.001,174.461,1220,492482,0,0
L2.0.0,0,30,30.001,64.7,206,140890,0,30.001,64.7,206,140890,0,0
L2.0.1,0,30,30,63.272,738,211494,0,30,63.272,738,211494,0,0
L2.0.0,1,23.9361,23.944,52.2081,563,290598,0,53.945,116.908,769,431488,0,0
