stage,instance,family,V,M,arm,repetition,horizon_seconds,return_code,runner_wall_seconds,emergency_timeout,sensitive_marker_scan_passed,result_exists,status,completed_process,authoritative,verified_witness,correctness_gates,strict_certificate,certificate_class,certificate_rejection_reason,verified_ub,valid_final_lb,common_ub,common_ub_gap,bound_progress_auc,normalized_gap_auc,bound_observations,process_wall_seconds,hga_wall_time_seconds,exact_phase_seconds,work,lp_work,terminal_mip_work,lp_optimize_count,terminal_mip_leaf_count,terminal_mip_optimize_count,split_count,unconditional_split_count,replaced_parent_count,lp_pruned_leaf_count,lp_infeasible_leaf_count,initial_leaf_count,final_leaf_count,open_leaf_count,closed_leaf_count,max_depth,optimize_count,model_count,model_read_count,model_build_count,model_free_count,environment_count,environment_free_count,presolve_count,root_relaxation_count,simplex_iterations,barrier_iterations,native_nodes,peak_memory_gb,model_build_seconds,model_read_seconds,solver_seconds,final_stagnation_seconds,selector_variable_count,global_row_family_count,interval_row_family_count,global_deadline_interruptions,same_leaf_restarts,fresh_restarts,child_restarts,attempt_count,internal_budget_scheduling,warm_start_enabled,hga_stop_mode,hga_generations,hga_no_improve_generations,hga_improvement_count,hga_decoder_calls,hga_final_fitness,hga_verified_objective,result_path,run_path
stage3,high_imbalance_seed3202,high_imbalance,20,3,C2-PAPER,0,300,0,294.0779999997467,False,True,True,paper_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,1.7493134520506337,1.6100919655396664,1.7493134520506337,0.07958635792102603,0.8627550581069398,0.13724494189306022,57,294.0465222,16.2172007,277.82932150000005,535.2495952313006,43.65362547956751,491.5959697517332,66,23,23,31,0,0,0,0,4,35,10,25,0,89,89,89,66,89,1,1,89,23,1395121,0,1619,0.095879255,7.233575600000001,1.8972549,250.1079981327057,25.177236099999988,0,0,0,1,0,0,0,0,False,False,generation-stagnation,2083,2000,14,32545,-1.7493134520506333,1.7493134520506337,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__high_imbalance_seed3202__c2_paper__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__high_imbalance_seed3202__c2_paper__300s
stage3,high_imbalance_seed3202,high_imbalance,20,3,C3-REPLICA,0,300,0,294.0779999997467,False,True,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,1.7493134520506337,1.609967450778375,1.7493134520506337,0.07965753713773269,0.8687517907829185,0.13124820921708152,130,294.0467805,15.9153899,278.13139060000003,534.2129189767437,44.13672921379331,490.0761897629504,66,23,23,41,41,41,0,2,4,42,18,24,10,89,89,89,66,89,1,1,89,23,1397006,0,1619,0.09587926,7.2046543,1.8926111999999997,249.5290002822876,25.07987080000001,0,6,9,1,0,0,0,89,False,False,generation-stagnation,2083,2000,14,32545,-1.7493134520506333,1.7493134520506337,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__high_imbalance_seed3202__c3_replica__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__high_imbalance_seed3202__c3_replica__300s
stage3,high_imbalance_seed3202,high_imbalance,20,3,S0-CPLEX,0,300,0,294.23400000017136,False,True,True,global_gini_tree_time_limit,True,True,True,True,False,time_limit_valid_bound,none,1.7493134520506337,1.6805879593515818,1.7493134520506337,0.03928712296729236,0.9003509460626776,0.09964905393732235,2817,294.2086231,16.3208285,277.8877946,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,generation-stagnation,2083,2000,14,32545,-1.7493134520506333,1.7493134520506337,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__high_imbalance_seed3202__s0_cplex__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__high_imbalance_seed3202__s0_cplex__300s
stage3,moderate_seed3302,moderate,20,3,C2-PAPER,0,300,0,294.0779999997467,False,True,True,paper_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,0.19563620654901237,0.13951573914498416,0.19563620654901237,0.28686135554345077,0.6583552451533133,0.34164475484668666,88,294.049427,20.3220818,273.7273452,467.6628563424964,95.74578113585508,371.91707520664136,139,18,18,68,0,0,0,0,4,72,55,17,0,157,157,157,139,157,1,1,157,18,1119049,0,20,0.087584863,15.790030699999999,3.3622989999999993,229.8850016593933,5.9172636000000125,0,0,0,1,0,0,0,0,False,False,generation-stagnation,2282,2000,21,23373,-0.19563620654901193,0.19563620654901237,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__moderate_seed3302__c2_paper__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__moderate_seed3302__c2_paper__300s
stage3,moderate_seed3302,moderate,20,3,C3-REPLICA,0,300,0,294.094000000041,False,True,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,0.19563620654901237,0.1394169181016961,0.19563620654901237,0.2873664820996811,0.6605817653356862,0.33941823466431376,230,294.0572794,20.0331055,274.02417390000005,466.0256747428309,81.31945946304744,384.70621527978335,115,18,18,97,97,97,0,0,4,98,81,17,10,133,133,133,115,133,1,1,133,18,1076076,0,20,0.08758487,13.059535800000003,2.8472172000000002,231.95799946784973,39.11043470000001,0,6,9,1,0,0,0,133,False,False,generation-stagnation,2282,2000,21,23373,-0.19563620654901193,0.19563620654901237,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__moderate_seed3302__c3_replica__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__moderate_seed3302__c3_replica__300s
stage3,moderate_seed3302,moderate,20,3,S0-CPLEX,0,300,0,294.2650000001304,False,True,True,global_gini_tree_time_limit,True,True,True,True,False,time_limit_valid_bound,none,0.19563620654901237,0.14140646704917867,0.19563620654901237,0.27719684641425324,0.6639218974988472,0.33607810250115283,4153,294.2482695,20.0262036,274.2220659,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,generation-stagnation,2282,2000,21,23373,-0.19563620654901193,0.19563620654901237,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__moderate_seed3302__s0_cplex__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__moderate_seed3302__s0_cplex__300s
stage3,tight_T_seed3101,tight_T,20,3,C2-PAPER,0,300,0,294.094000000041,False,True,True,paper_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,0.10725273413394144,0.05362636706697072,0.10725273413394144,0.5,0.24116698577317508,0.7588330142268249,19,294.0574524,15.3073692,278.7500832,507.16627283367313,23.46352216663424,483.7027506670389,30,9,9,9,0,0,0,0,4,13,3,10,0,39,39,39,30,39,1,1,39,9,726792,0,964,0.18316261,3.4081305000000004,0.8527571999999997,259.5779993534088,248.16980420000002,0,0,0,1,0,0,0,0,False,False,generation-stagnation,2952,2000,26,37338,-0.10725273413394168,0.10725273413394144,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__tight_T_seed3101__c2_paper__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__tight_T_seed3101__c2_paper__300s
stage3,tight_T_seed3101,tight_T,20,3,C3-REPLICA,0,300,0,294.0779999997467,False,True,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,0.10725273413394144,0.023431236229689643,0.10725273413394144,0.7815325043329172,0.13228360854353738,0.8677163914564626,720,294.0460517,14.9945213,279.05153040000005,470.6151745367018,289.1262809439777,181.48889359272422,361,174,174,185,185,185,0,2,4,186,11,175,10,535,535,535,361,535,1,1,535,173,1632982,0,173,0.055520851,41.12408509999998,11.534517299999992,199.16899871826172,2.689947399999994,0,6,9,1,0,0,0,535,False,False,generation-stagnation,2952,2000,26,37338,-0.10725273413394168,0.10725273413394144,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__tight_T_seed3101__c3_replica__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__tight_T_seed3101__c3_replica__300s
stage3,tight_T_seed3101,tight_T,20,3,S0-CPLEX,0,300,0,294.2349999998696,False,True,True,global_gini_tree_time_limit,True,True,True,True,False,time_limit_valid_bound,none,0.10725273413394144,0.039548146402267864,0.10725273413394144,0.6312621144662048,0.3190003517606036,0.6809996482393964,1501,294.2005652,15.4741156,278.7264496,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,generation-stagnation,2952,2000,26,37338,-0.10725273413394168,0.10725273413394144,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__tight_T_seed3101__s0_cplex__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__tight_T_seed3101__s0_cplex__300s
stage3,V12_M1,v12,12,1,C2-PAPER,0,300,0,143.07799999974668,False,True,True,optimal,True,True,True,True,True,engineering_exact_original_problem_optimal,none,0.3572005832084155,0.3572005832084146,0.3572005832084155,2.641903779817653e-15,0.9188039660484268,0.08119603395157314,150,143.0560062,6.2267847,136.82922150000002,172.85109000753008,30.732874329038196,142.1182156784919,164,69,69,77,0,0,0,0,4,81,0,81,0,233,233,233,164,233,1,1,233,69,282398,0,2326,0.066071979,13.2351062,3.583704,111.2749993801117,0.0024862999999868407,0,0,0,0,0,0,0,0,False,False,generation-stagnation,2374,2000,4,23089,-0.35720058320841563,0.3572005832084155,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__V12_M1__c2_paper__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage3__V12_M1__c2_paper__300s
