family,scope,S0_active,C3_active,shared_factory,factory_version,equivalent
inventory_conservation,global,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
movement_reachability_domains,global,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
visit_inventory_linking,global,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
global_handling_capacity,global,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
support_duration,global,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
transfer_compat,global,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
direct_gini_cap_floor,interval_local,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
interval_tight_mccormick,interval_local,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
objective_estimator_cutoff,interval_local,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
penalty_lb_closure,interval_local,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
gini_spread,interval_local,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
required_movement,interval_local,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
low_gini_centering,interval_local,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
variable_s_centering,interval_local,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
sp_product_estimator,interval_local,True,True,buildRound18StaticIntervalRows,round19_v2_projected_centering,True
