stage,instance,family,V,M,arm,repetition,horizon_seconds,return_code,runner_wall_seconds,emergency_timeout,sensitive_marker_scan_passed,result_exists,status,completed_process,authoritative,verified_witness,correctness_gates,strict_certificate,certificate_class,certificate_rejection_reason,verified_ub,valid_final_lb,common_ub,common_ub_gap,bound_progress_auc,normalized_gap_auc,bound_observations,process_wall_seconds,hga_wall_time_seconds,exact_phase_seconds,work,lp_work,terminal_mip_work,lp_optimize_count,terminal_mip_leaf_count,terminal_mip_optimize_count,split_count,unconditional_split_count,replaced_parent_count,lp_pruned_leaf_count,lp_infeasible_leaf_count,initial_leaf_count,final_leaf_count,open_leaf_count,closed_leaf_count,max_depth,optimize_count,model_count,model_read_count,model_build_count,model_free_count,environment_count,environment_free_count,presolve_count,root_relaxation_count,simplex_iterations,barrier_iterations,native_nodes,peak_memory_gb,model_build_seconds,model_read_seconds,solver_seconds,final_stagnation_seconds,selector_variable_count,global_row_family_count,interval_row_family_count,global_deadline_interruptions,same_leaf_restarts,fresh_restarts,child_restarts,attempt_count,internal_budget_scheduling,warm_start_enabled,hga_stop_mode,hga_generations,hga_no_improve_generations,hga_improvement_count,hga_decoder_calls,hga_final_fitness,hga_verified_objective,result_path,run_path
stage2,high_imbalance_seed3202,high_imbalance,20,3,C3-REPLICA,0,300,0,294.06300000008196,False,True,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,1.7493134520506337,1.609967450778375,1.7493134520506337,0.07965753713773269,0.8689602451192528,0.1310397548807471,130,294.0469415,15.8446971,278.2022444,534.2559880516362,44.13672921379331,490.11925883784295,66,23,23,41,41,41,0,2,4,42,18,24,10,89,89,89,66,89,1,1,89,23,1397006,0,1619,0.09587926,7.273787800000003,1.8809576999999997,249.61699986457825,25.153960899999987,0,6,9,1,0,0,0,89,False,False,generation-stagnation,2083,2000,14,32545,-1.7493134520506333,1.7493134520506337,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed3202__c3_replica__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed3202__c3_replica__300s
stage2,high_imbalance_seed3202,high_imbalance,20,3,P-GRB,0,300,0,294.10900000017136,False,True,True,time_limit,True,True,True,True,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,1.7630423841732887,1.074658780762213,1.7493134520506337,0.385668257737089,0.6048863996798348,0.39511360032016524,2163,294.078716,0,294.078716,581.9976989121426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,8492,0.0837908,0,0,0,0,0,0,0,0,0,0,0,0,False,False,not_run,0,0,0,0,0,0,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed3202__p_grb__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed3202__p_grb__300s
stage2,high_imbalance_seed4201,high_imbalance,20,3,C3-REPLICA,0,300,0,294.0779999997467,False,True,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,2.784107571242904,2.6892378230914074,2.784107571242904,0.0340754607082744,0.910341549482792,0.08965845051720799,85,294.048347,16.6734671,277.3748799,497.17079370171706,30.07435268774823,467.09644101396884,44,3,3,38,38,38,0,3,4,39,34,5,10,47,47,47,44,47,1,1,47,3,1138456,0,4261,0.139866659,4.7609062,0.9851603999999998,253.87800073623657,4.328747899999996,0,6,9,1,0,0,0,47,False,False,generation-stagnation,2292,2000,12,36662,-2.784107571242906,2.784107571242904,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed4201__c3_replica__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed4201__c3_replica__300s
stage2,high_imbalance_seed4201,high_imbalance,20,3,P-GRB,0,300,0,294.09299999987707,False,True,True,time_limit,True,True,True,True,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,2.784107571242904,2.0042580270669403,2.784107571242904,0.2801075476504728,0.7083994199595923,0.2916005800404077,1935,294.0789641,0,294.0789641,549.9724196247716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,10623,0.114684656,0,0,0,0,0,0,0,0,0,0,0,0,False,False,not_run,0,0,0,0,0,0,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed4201__p_grb__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed4201__p_grb__300s
stage2,high_imbalance_seed5202,high_imbalance,20,3,C3-REPLICA,0,300,0,294.0779999997467,False,True,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,1.1542456900998876,1.0151175975564048,1.1542456900998876,0.12053594285584271,0.8365970966755278,0.16340290332447222,54,294.0547949,13.7939177,280.2608772,484.8874434850693,19.025516678098825,465.8619268069705,28,1,1,25,25,25,0,2,4,26,24,2,10,29,29,29,28,29,1,1,29,1,766582,0,1440,0.167772086,3.076770099999999,0.6240645999999997,253.78099942207336,258.2710253,0,6,9,1,0,0,0,29,False,False,generation-stagnation,2801,2000,14,37075,-1.1543377051882162,1.1543377051882164,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed5202__c3_replica__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed5202__c3_replica__300s
stage2,high_imbalance_seed5202,high_imbalance,20,3,P-GRB,0,300,0,294.10900000017136,False,True,True,time_limit,True,True,True,True,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,1.192010805952623,0.9252150909251404,1.1542456900998876,0.19842447854834708,0.7963682531192882,0.20363174688071187,1633,294.0871294,0,294.0871294,568.7427493162174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,10794,0.133578906,0,0,0,0,0,0,0,0,0,0,0,0,False,False,not_run,0,0,0,0,0,0,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed5202__p_grb__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed5202__p_grb__300s
stage2,high_imbalance_seed5203,high_imbalance,20,3,C3-REPLICA,0,300,0,294.0779999997467,False,True,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,2.3524097575828193,2.0254288773385505,2.3524097575828193,0.1389982672832699,0.8170679266766249,0.18293207332337513,106,294.0534386,14.3849226,279.668516,503.0548462068426,35.16226213161695,467.8925840752256,53,16,16,37,37,37,0,0,4,38,23,15,10,69,69,69,53,69,1,1,69,16,1035298,0,2916,0.135849073,5.778589899999999,1.4466231999999999,260.8669991493225,70.9136153,0,6,9,1,0,0,0,69,False,False,generation-stagnation,2622,2000,21,38299,-2.352409757582818,2.3524097575828193,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed5203__c3_replica__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed5203__c3_replica__300s
stage2,high_imbalance_seed5203,high_imbalance,20,3,P-GRB,0,300,0,294.09299999987707,False,True,True,time_limit,True,True,True,True,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,2.355629122487788,1.9903564132248892,2.3524097575828193,0.15390743181151917,0.8362318553969615,0.16376814460303843,1987,294.0782395,0,294.0782395,545.690867350785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,11291,0.113807789,0,0,0,0,0,0,0,0,0,0,0,0,False,False,not_run,0,0,0,0,0,0,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed5203__p_grb__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed5203__p_grb__300s
stage2,high_imbalance_seed6202,high_imbalance,50,3,C3-REPLICA,0,300,0,294.344000000041,False,True,True,cplex_replica_external_gini_tree_time_limit,True,True,True,True,False,certificate_rejected,relevant_leaf_open,9.820664665302525,7.487138546071088,9.820664665302525,0.23761386818104466,0.6964296549064501,0.3035703450935499,39,294.3031945,21.5165162,272.7866783,561.1188501982878,187.75964378175433,373.3592064165334,20,1,1,18,18,18,0,1,4,19,18,1,10,21,21,21,20,21,1,1,21,1,327760,0,305,0.566828763,21.840507700000003,4.3592452999999995,220.94199967384338,251.9268486,0,6,9,1,0,0,0,21,False,False,generation-stagnation,3137,2000,14,44283,-9.820664665302523,9.820664665302525,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed6202__c3_replica__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed6202__c3_replica__300s
stage2,high_imbalance_seed6202,high_imbalance,50,3,P-GRB,0,300,0,294.2960000000894,False,True,True,time_limit,True,True,True,True,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,10.051557504392527,7.8574233767331165,9.820664665302525,0.1999092073172759,0.7969604064693634,0.2030395935306366,1187,294.2724327,0,294.2724327,660.86509954727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1765,0.329304589,0,0,0,0,0,0,0,0,0,0,0,0,False,False,not_run,0,0,0,0,0,0,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed6202__p_grb__300s/result.json,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage2__high_imbalance_seed6202__p_grb__300s
