stage,instance,arm,common_ub,gap_threshold,reached,first_observed_seconds,observation_policy
stage1,high_imbalance_seed3202,C3-REPLICA,1.7493134520506337,0.25,True,17.0737169,recorded_valid_bounds_only
stage1,high_imbalance_seed3202,C3-REPLICA,1.7493134520506337,0.1,True,17.6949169,recorded_valid_bounds_only
stage1,high_imbalance_seed3202,C3-REPLICA,1.7493134520506337,0.05,False,,recorded_valid_bounds_only
stage1,high_imbalance_seed3202,C3-REPLICA,1.7493134520506337,0.01,False,,recorded_valid_bounds_only
stage1,high_imbalance_seed3202,C3-REPLICA,1.7493134520506337,0.001,False,,recorded_valid_bounds_only
stage1,high_imbalance_seed3202,C3-REPLICA,1.7493134520506337,0.0001,False,,recorded_valid_bounds_only
stage1,high_imbalance_seed3202,S0-CPLEX,1.7493134520506337,0.25,True,16.9625255,recorded_valid_bounds_only
stage1,high_imbalance_seed3202,S0-CPLEX,1.7493134520506337,0.1,True,22.3970686,recorded_valid_bounds_only
stage1,high_imbalance_seed3202,S0-CPLEX,1.7493134520506337,0.05,True,32.7130705,recorded_valid_bounds_only
stage1,high_imbalance_seed3202,S0-CPLEX,1.7493134520506337,0.01,False,,recorded_valid_bounds_only
stage1,high_imbalance_seed3202,S0-CPLEX,1.7493134520506337,0.001,False,,recorded_valid_bounds_only
stage1,high_imbalance_seed3202,S0-CPLEX,1.7493134520506337,0.0001,False,,recorded_valid_bounds_only
stage1,moderate_seed4301,C3-REPLICA,0.019278051143257303,0.25,False,,recorded_valid_bounds_only
stage1,moderate_seed4301,C3-REPLICA,0.019278051143257303,0.1,False,,recorded_valid_bounds_only
stage1,moderate_seed4301,C3-REPLICA,0.019278051143257303,0.05,False,,recorded_valid_bounds_only
stage1,moderate_seed4301,C3-REPLICA,0.019278051143257303,0.01,False,,recorded_valid_bounds_only
stage1,moderate_seed4301,C3-REPLICA,0.019278051143257303,0.001,False,,recorded_valid_bounds_only
stage1,moderate_seed4301,C3-REPLICA,0.019278051143257303,0.0001,False,,recorded_valid_bounds_only
stage1,moderate_seed4301,S0-CPLEX,0.019278051143257303,0.25,False,,recorded_valid_bounds_only
stage1,moderate_seed4301,S0-CPLEX,0.019278051143257303,0.1,False,,recorded_valid_bounds_only
stage1,moderate_seed4301,S0-CPLEX,0.019278051143257303,0.05,False,,recorded_valid_bounds_only
stage1,moderate_seed4301,S0-CPLEX,0.019278051143257303,0.01,False,,recorded_valid_bounds_only
stage1,moderate_seed4301,S0-CPLEX,0.019278051143257303,0.001,False,,recorded_valid_bounds_only
stage1,moderate_seed4301,S0-CPLEX,0.019278051143257303,0.0001,False,,recorded_valid_bounds_only
stage1,toy,C3-REPLICA,0.0,0.25,True,0.0468446,recorded_valid_bounds_only
stage1,toy,C3-REPLICA,0.0,0.1,True,0.0468446,recorded_valid_bounds_only
stage1,toy,C3-REPLICA,0.0,0.05,True,0.0468446,recorded_valid_bounds_only
stage1,toy,C3-REPLICA,0.0,0.01,True,0.0468446,recorded_valid_bounds_only
stage1,toy,C3-REPLICA,0.0,0.001,True,0.0468446,recorded_valid_bounds_only
stage1,toy,C3-REPLICA,0.0,0.0001,True,0.0468446,recorded_valid_bounds_only
stage1,toy,S0-CPLEX,0.0,0.25,True,0.0386197,recorded_valid_bounds_only
stage1,toy,S0-CPLEX,0.0,0.1,True,0.0386197,recorded_valid_bounds_only
stage1,toy,S0-CPLEX,0.0,0.05,True,0.0386197,recorded_valid_bounds_only
stage1,toy,S0-CPLEX,0.0,0.01,True,0.0386197,recorded_valid_bounds_only
stage1,toy,S0-CPLEX,0.0,0.001,True,0.0386197,recorded_valid_bounds_only
stage1,toy,S0-CPLEX,0.0,0.0001,True,0.0386197,recorded_valid_bounds_only
stage1,V12_M1,C3-REPLICA,0.3572005832084155,0.25,True,7.0511418,recorded_valid_bounds_only
stage1,V12_M1,C3-REPLICA,0.3572005832084155,0.1,False,,recorded_valid_bounds_only
stage1,V12_M1,C3-REPLICA,0.3572005832084155,0.05,False,,recorded_valid_bounds_only
stage1,V12_M1,C3-REPLICA,0.3572005832084155,0.01,False,,recorded_valid_bounds_only
stage1,V12_M1,C3-REPLICA,0.3572005832084155,0.001,False,,recorded_valid_bounds_only
stage1,V12_M1,C3-REPLICA,0.3572005832084155,0.0001,False,,recorded_valid_bounds_only
stage1,V12_M1,S0-CPLEX,0.3572005832084155,0.25,True,7.716620000000001,recorded_valid_bounds_only
stage1,V12_M1,S0-CPLEX,0.3572005832084155,0.1,True,16.8009286,recorded_valid_bounds_only
stage1,V12_M1,S0-CPLEX,0.3572005832084155,0.05,True,54.5187032,recorded_valid_bounds_only
stage1,V12_M1,S0-CPLEX,0.3572005832084155,0.01,True,182.70765790000002,recorded_valid_bounds_only
stage1,V12_M1,S0-CPLEX,0.3572005832084155,0.001,False,,recorded_valid_bounds_only
stage1,V12_M1,S0-CPLEX,0.3572005832084155,0.0001,False,,recorded_valid_bounds_only
stage1,V12_M2,C3-REPLICA,0.7185040707549709,0.25,True,7.7118427,recorded_valid_bounds_only
stage1,V12_M2,C3-REPLICA,0.7185040707549709,0.1,True,17.8911067,recorded_valid_bounds_only
stage1,V12_M2,C3-REPLICA,0.7185040707549709,0.05,False,,recorded_valid_bounds_only
stage1,V12_M2,C3-REPLICA,0.7185040707549709,0.01,False,,recorded_valid_bounds_only
stage1,V12_M2,C3-REPLICA,0.7185040707549709,0.001,False,,recorded_valid_bounds_only
stage1,V12_M2,C3-REPLICA,0.7185040707549709,0.0001,False,,recorded_valid_bounds_only
stage1,V12_M2,S0-CPLEX,0.7185040707549709,0.25,True,11.0763792,recorded_valid_bounds_only
stage1,V12_M2,S0-CPLEX,0.7185040707549709,0.1,True,12.1202498,recorded_valid_bounds_only
stage1,V12_M2,S0-CPLEX,0.7185040707549709,0.05,True,63.415853999999996,recorded_valid_bounds_only
stage1,V12_M2,S0-CPLEX,0.7185040707549709,0.01,False,,recorded_valid_bounds_only
stage1,V12_M2,S0-CPLEX,0.7185040707549709,0.001,False,,recorded_valid_bounds_only
stage1,V12_M2,S0-CPLEX,0.7185040707549709,0.0001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed3202,C3-REPLICA,1.7493134520506337,0.25,True,17.0571271,recorded_valid_bounds_only
stage2,high_imbalance_seed3202,C3-REPLICA,1.7493134520506337,0.1,True,17.680737099999998,recorded_valid_bounds_only
stage2,high_imbalance_seed3202,C3-REPLICA,1.7493134520506337,0.05,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed3202,C3-REPLICA,1.7493134520506337,0.01,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed3202,C3-REPLICA,1.7493134520506337,0.001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed3202,C3-REPLICA,1.7493134520506337,0.0001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed3202,P-GRB,1.7493134520506337,0.25,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed3202,P-GRB,1.7493134520506337,0.1,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed3202,P-GRB,1.7493134520506337,0.05,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed3202,P-GRB,1.7493134520506337,0.01,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed3202,P-GRB,1.7493134520506337,0.001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed3202,P-GRB,1.7493134520506337,0.0001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed4201,C3-REPLICA,2.784107571242904,0.25,True,17.0795831,recorded_valid_bounds_only
stage2,high_imbalance_seed4201,C3-REPLICA,2.784107571242904,0.1,True,17.9056071,recorded_valid_bounds_only
stage2,high_imbalance_seed4201,C3-REPLICA,2.784107571242904,0.05,True,18.5689671,recorded_valid_bounds_only
stage2,high_imbalance_seed4201,C3-REPLICA,2.784107571242904,0.01,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed4201,C3-REPLICA,2.784107571242904,0.001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed4201,C3-REPLICA,2.784107571242904,0.0001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed4201,P-GRB,2.784107571242904,0.25,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed4201,P-GRB,2.784107571242904,0.1,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed4201,P-GRB,2.784107571242904,0.05,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed4201,P-GRB,2.784107571242904,0.01,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed4201,P-GRB,2.784107571242904,0.001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed4201,P-GRB,2.784107571242904,0.0001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5202,C3-REPLICA,1.1542456900998876,0.25,True,15.608077699999999,recorded_valid_bounds_only
stage2,high_imbalance_seed5202,C3-REPLICA,1.1542456900998876,0.1,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5202,C3-REPLICA,1.1542456900998876,0.05,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5202,C3-REPLICA,1.1542456900998876,0.01,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5202,C3-REPLICA,1.1542456900998876,0.001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5202,C3-REPLICA,1.1542456900998876,0.0001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5202,P-GRB,1.1542456900998876,0.25,True,0.3210000991821289,recorded_valid_bounds_only
stage2,high_imbalance_seed5202,P-GRB,1.1542456900998876,0.1,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5202,P-GRB,1.1542456900998876,0.05,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5202,P-GRB,1.1542456900998876,0.01,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5202,P-GRB,1.1542456900998876,0.001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5202,P-GRB,1.1542456900998876,0.0001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5203,C3-REPLICA,2.3524097575828193,0.25,True,15.5969626,recorded_valid_bounds_only
stage2,high_imbalance_seed5203,C3-REPLICA,2.3524097575828193,0.1,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5203,C3-REPLICA,2.3524097575828193,0.05,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5203,C3-REPLICA,2.3524097575828193,0.01,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5203,C3-REPLICA,2.3524097575828193,0.001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5203,C3-REPLICA,2.3524097575828193,0.0001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5203,P-GRB,2.3524097575828193,0.25,True,0.3970000743865967,recorded_valid_bounds_only
stage2,high_imbalance_seed5203,P-GRB,2.3524097575828193,0.1,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5203,P-GRB,2.3524097575828193,0.05,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5203,P-GRB,2.3524097575828193,0.01,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5203,P-GRB,2.3524097575828193,0.001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed5203,P-GRB,2.3524097575828193,0.0001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed6202,C3-REPLICA,9.820664665302525,0.25,True,46.407116200000004,recorded_valid_bounds_only
stage2,high_imbalance_seed6202,C3-REPLICA,9.820664665302525,0.1,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed6202,C3-REPLICA,9.820664665302525,0.05,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed6202,C3-REPLICA,9.820664665302525,0.01,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed6202,C3-REPLICA,9.820664665302525,0.001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed6202,C3-REPLICA,9.820664665302525,0.0001,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed6202,P-GRB,9.820664665302525,0.25,True,1.5850000381469727,recorded_valid_bounds_only
stage2,high_imbalance_seed6202,P-GRB,9.820664665302525,0.1,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed6202,P-GRB,9.820664665302525,0.05,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed6202,P-GRB,9.820664665302525,0.01,False,,recorded_valid_bounds_only
stage2,high_imbalance_seed6202,P-GRB,9.820664665302525,0.001,False,,recorded_valid_bounds_only
