stage,instance,arm,status,strict_certificate,certificate_class,rejection_reason,all_relevant_leaves_closed,verified_ub,valid_global_lb,verifier_passed,certificate_consistent
stage1,high_imbalance_seed3202,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,1.7493134520506337,1.609967450778375,True,True
stage1,high_imbalance_seed3202,S0-CPLEX,global_gini_tree_time_limit,False,time_limit_valid_bound,none,False,1.7493134520506337,1.6806038349356158,True,True
stage1,moderate_seed4301,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.019278051143257303,0.006501138569610162,True,True
stage1,moderate_seed4301,S0-CPLEX,global_gini_tree_time_limit,False,time_limit_valid_bound,none,False,0.019278051143257303,0.005295853980993268,True,True
stage1,toy,C3-REPLICA,optimal,True,engineering_exact_original_problem_optimal,none,True,0,0,True,True
stage1,toy,S0-CPLEX,optimal,True,native_engineering_exact_optimal,none,False,0,0,True,False
stage1,V12_M1,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.3572005832084155,0.31663236056917027,True,True
stage1,V12_M1,S0-CPLEX,global_gini_tree_time_limit,False,time_limit_valid_bound,none,False,0.3572005832084155,0.3565331434864763,True,True
stage1,V12_M2,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.7185040707549709,0.6552496903260966,True,True
stage1,V12_M2,S0-CPLEX,global_gini_tree_time_limit,False,time_limit_valid_bound,none,False,0.7185040707549709,0.7067843822648028,True,True
stage2,high_imbalance_seed3202,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,1.7493134520506337,1.609967450778375,True,True
stage2,high_imbalance_seed3202,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,1.7630423841732887,1.074658780762213,True,True
stage2,high_imbalance_seed4201,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,2.784107571242904,2.6892378230914074,True,True
stage2,high_imbalance_seed4201,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,2.784107571242904,2.0042580270669403,True,True
stage2,high_imbalance_seed5202,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,1.1542456900998876,1.0151175975564048,True,True
stage2,high_imbalance_seed5202,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,1.192010805952623,0.9252150909251404,True,True
stage2,high_imbalance_seed5203,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,2.3524097575828193,2.0254288773385505,True,True
stage2,high_imbalance_seed5203,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,2.355629122487788,1.9903564132248892,True,True
stage2,high_imbalance_seed6202,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,9.820664665302525,7.487138546071088,True,True
stage2,high_imbalance_seed6202,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,10.051557504392527,7.8574233767331165,True,True
stage2,moderate_seed3302,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.19563620654901237,0.1394169181016961,True,True
stage2,moderate_seed3302,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,0.219953022089018,0.12930891517259988,True,True
stage2,moderate_seed4302,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.04854285887126694,0.006826339528771914,True,True
stage2,moderate_seed4302,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,0.05457724328859062,8.816848156789071e-08,True,True
stage2,moderate_seed5301,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.16885733659692667,0.08263319999845456,True,True
stage2,moderate_seed5301,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,0.18314472499185203,0.07245428297814198,True,True
stage2,moderate_seed5302,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.10573533268303861,0.01610829051859732,True,True
stage2,moderate_seed5302,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,0.109681593369203,0.026346485760173625,True,True
stage2,moderate_seed6301,C3-REPLICA,missing,False,,,not_applicable,,,False,True
stage2,moderate_seed6301,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,1.042133065991235,0.4334604561007951,True,True
stage2,tight_T_seed3101,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.10725273413394144,0.023431236229689643,True,True
stage2,tight_T_seed3101,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,0.11608225228456553,0.01937849707503963,True,True
stage2,tight_T_seed4101,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.562981400559009,0.4194737161392273,True,True
stage2,tight_T_seed4101,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,0.5859776641086627,0.36326075806486424,True,True
stage2,tight_T_seed5102,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.3623546627845846,0.2552055634582377,True,True
stage2,tight_T_seed5102,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,0.41866710699519083,0.2258845704217254,True,True
stage2,tight_T_seed5103,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.2849628509699851,0.18308999717010382,True,True
stage2,tight_T_seed5103,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,0.2978986323156426,0.15202339601727297,True,True
stage2,tight_T_seed6102,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.6855974831044359,0.5528118497098944,True,True
stage2,tight_T_seed6102,P-GRB,time_limit,False,certificate_rejected,unsupported_strict_status:TIME_LIMIT,False,0.7043455740789398,0.5114077669336669,True,True
stage2,V12_M1,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.3572005832084155,0.31663236056917027,True,True
stage2,V12_M1,P-GRB,optimal,True,engineering_exact_original_problem_optimal,none,False,0.3572005832084155,0.3572005832084151,True,True
stage2,V12_M2,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.7185040707549709,0.6552496903260966,True,True
stage2,V12_M2,P-GRB,optimal,True,engineering_exact_original_problem_optimal,none,False,0.7185040707549709,0.7185040707549712,True,True
stage3,high_imbalance_seed3202,C2-PAPER,paper_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,1.7493134520506337,1.6100919655396664,True,True
stage3,high_imbalance_seed3202,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,1.7493134520506337,1.609967450778375,True,True
stage3,high_imbalance_seed3202,S0-CPLEX,global_gini_tree_time_limit,False,time_limit_valid_bound,none,False,1.7493134520506337,1.6805879593515818,True,True
stage3,moderate_seed3302,C2-PAPER,paper_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.19563620654901237,0.13951573914498416,True,True
stage3,moderate_seed3302,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.19563620654901237,0.1394169181016961,True,True
stage3,moderate_seed3302,S0-CPLEX,global_gini_tree_time_limit,False,time_limit_valid_bound,none,False,0.19563620654901237,0.14140646704917867,True,True
stage3,tight_T_seed3101,C2-PAPER,paper_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.10725273413394144,0.05362636706697072,True,True
stage3,tight_T_seed3101,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.10725273413394144,0.023431236229689643,True,True
