stage,instance,arm,coverage_rows,ledger_exact_and_atomic,evidence_source,root_coverage_valid,parent_child_coverage_valid,open_leaves,closed_leaves,passed
stage1,high_imbalance_seed3202,C3-REPLICA,42,True,C3 coverage_ledger.csv,True,True,18,24,True
stage1,moderate_seed4301,C3-REPLICA,61,True,C3 coverage_ledger.csv,True,True,6,55,True
stage1,toy,C3-REPLICA,1,True,C3 coverage_ledger.csv,True,True,1,0,True
stage1,V12_M1,C3-REPLICA,121,True,C3 coverage_ledger.csv,True,True,11,110,True
stage1,V12_M2,C3-REPLICA,59,True,C3 coverage_ledger.csv,True,True,6,53,True
stage2,high_imbalance_seed3202,C3-REPLICA,42,True,C3 coverage_ledger.csv,True,True,18,24,True
stage2,high_imbalance_seed4201,C3-REPLICA,39,True,C3 coverage_ledger.csv,True,True,34,5,True
stage2,high_imbalance_seed5202,C3-REPLICA,26,True,C3 coverage_ledger.csv,True,True,24,2,True
stage2,high_imbalance_seed5203,C3-REPLICA,38,True,C3 coverage_ledger.csv,True,True,23,15,True
stage2,high_imbalance_seed6202,C3-REPLICA,19,True,C3 coverage_ledger.csv,True,True,18,1,True
stage2,moderate_seed3302,C3-REPLICA,98,True,C3 coverage_ledger.csv,True,True,81,17,True
stage2,moderate_seed4302,C3-REPLICA,84,True,C3 coverage_ledger.csv,True,True,11,73,True
stage2,moderate_seed5301,C3-REPLICA,147,True,C3 coverage_ledger.csv,True,True,16,131,True
stage2,moderate_seed5302,C3-REPLICA,38,True,C3 coverage_ledger.csv,True,True,33,5,True
stage2,moderate_seed6301,C3-REPLICA,0,False,C3 coverage_ledger.csv,False,False,0,0,False
stage2,tight_T_seed3101,C3-REPLICA,186,True,C3 coverage_ledger.csv,True,True,11,175,True
stage2,tight_T_seed4101,C3-REPLICA,108,True,C3 coverage_ledger.csv,True,True,14,94,True
stage2,tight_T_seed5102,C3-REPLICA,132,True,C3 coverage_ledger.csv,True,True,14,118,True
stage2,tight_T_seed5103,C3-REPLICA,137,True,C3 coverage_ledger.csv,True,True,8,129,True
stage2,tight_T_seed6102,C3-REPLICA,18,True,C3 coverage_ledger.csv,True,True,16,2,True
stage2,V12_M1,C3-REPLICA,121,True,C3 coverage_ledger.csv,True,True,11,110,True
stage2,V12_M2,C3-REPLICA,59,True,C3 coverage_ledger.csv,True,True,6,53,True
stage3,high_imbalance_seed3202,C2-PAPER,0,True,C2 serialized root/parent-child coverage gates,True,True,10,25,True
stage3,high_imbalance_seed3202,C3-REPLICA,42,True,C3 coverage_ledger.csv,True,True,18,24,True
stage3,moderate_seed3302,C2-PAPER,0,True,C2 serialized root/parent-child coverage gates,True,True,55,17,True
stage3,moderate_seed3302,C3-REPLICA,98,True,C3 coverage_ledger.csv,True,True,81,17,True
stage3,tight_T_seed3101,C2-PAPER,0,True,C2 serialized root/parent-child coverage gates,True,True,3,10,True
stage3,tight_T_seed3101,C3-REPLICA,186,True,C3 coverage_ledger.csv,True,True,11,175,True
stage3,V12_M1,C2-PAPER,0,True,C2 serialized root/parent-child coverage gates,True,True,0,81,True
stage3,V12_M1,C3-REPLICA,121,True,C3 coverage_ledger.csv,True,True,11,110,True
stage3,V12_M2,C2-PAPER,0,True,C2 serialized root/parent-child coverage gates,True,True,4,53,True
stage3,V12_M2,C3-REPLICA,59,True,C3 coverage_ledger.csv,True,True,7,52,True
stage4,moderate_seed3302,C3-REPLICA,98,True,C3 coverage_ledger.csv,True,True,81,17,True
stage4,moderate_seed3302,C3-REPLICA,98,True,C3 coverage_ledger.csv,True,True,81,17,True
stage4,moderate_seed6301,C3-REPLICA,0,False,C3 coverage_ledger.csv,False,False,0,0,False
stage4,moderate_seed6301,C3-REPLICA,0,False,C3 coverage_ledger.csv,False,False,0,0,False
stage4,V12_M2,C3-REPLICA,59,True,C3 coverage_ledger.csv,True,True,7,52,True
stage4,V12_M2,C3-REPLICA,59,True,C3 coverage_ledger.csv,True,True,7,52,True
