instance,arm,process_return_code,emergency_timeout,status,objective,lower_bound,verifier_passed,strict_certificate,certificate_rejection,coverage_valid,feasibility_consistency,lifecycle_complete,passed,result_path
moderate_seed4301,P-GRB,0,False,time_limit,0.08432198435873457,0.0056925513371461275,True,False,unsupported_strict_status:TIME_LIMIT,False,False,False,True,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage0_sentinel__moderate_seed4301__p_grb__120s/result.json
moderate_seed4301,S0-CPLEX,0,False,global_gini_tree_time_limit,0.019278051143257303,0.005285993137191872,True,False,none,False,False,False,True,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage0_sentinel__moderate_seed4301__s0_cplex__120s/result.json
moderate_seed4301,C2-PAPER,0,False,paper_external_gini_tree_time_limit,0.019278051143257303,0.004865733712173765,True,False,relevant_leaf_open,True,True,True,True,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage0_sentinel__moderate_seed4301__c2_paper__120s/result.json
moderate_seed4301,C3-REPLICA,0,False,cplex_replica_external_gini_tree_time_limit,0.019278051143257303,0.006178868654049888,True,False,relevant_leaf_open,True,True,True,True,results/gf_cplex_equivalent_gurobi_replica_round28/runs/stage0_sentinel__moderate_seed4301__c3_replica__120s/result.json
