stage,instance,family,V,arm,common_ub,valid_final_lb,common_ub_gap,normalized_gap_auc,bound_progress_auc,bound_observations,process_wall_seconds
stage1,high_imbalance_seed3202,high_imbalance,20,C3-REPLICA,1.7493134520506337,1.609967450778375,0.07965753713773269,0.13106723621140937,0.8689327637885906,130,294.0455229
stage1,high_imbalance_seed3202,high_imbalance,20,S0-CPLEX,1.7493134520506337,1.6806038349356158,0.03927804764461909,0.09827265289411552,0.9017273471058844,2843,294.2076148
stage1,moderate_seed4301,correctness_sentinel,20,C3-REPLICA,0.019278051143257303,0.006501138569610162,0.6627699282827143,0.7056524602912254,0.2943475397087746,231,294.0473269
stage1,moderate_seed4301,correctness_sentinel,20,S0-CPLEX,0.019278051143257303,0.005295853980993268,0.7252910088452822,0.7534469749415225,0.24655302505847754,1146,294.1580048
stage1,toy,mechanical,2,C3-REPLICA,0.0,0,0.0,0.0,1.0,1,0.0909411
stage1,toy,mechanical,2,S0-CPLEX,0.0,0,0.0,0.0,1.0,3,0.0886589
stage1,V12_M1,v12,12,C3-REPLICA,0.3572005832084155,0.31663236056917027,0.11357266630098123,0.14996046566394658,0.8500395343360534,454,294.0372188
stage1,V12_M1,v12,12,S0-CPLEX,0.3572005832084155,0.3565331434864763,0.001868529205479466,0.046511380782901846,0.9534886192170982,10968,294.2460462
stage1,V12_M2,v12,12,C3-REPLICA,0.7185040707549709,0.6552496903260966,0.088036217195554,0.11774870978140875,0.8822512902185913,218,294.0520397
stage1,V12_M2,v12,12,S0-CPLEX,0.7185040707549709,0.7067843822648028,0.016311234643185287,0.06365425490228332,0.9363457450977166,9578,294.3538531
stage2,high_imbalance_seed3202,high_imbalance,20,C3-REPLICA,1.7493134520506337,1.609967450778375,0.07965753713773269,0.1310397548807471,0.8689602451192528,130,294.0469415
stage2,high_imbalance_seed3202,high_imbalance,20,P-GRB,1.7493134520506337,1.074658780762213,0.385668257737089,0.39511360032016524,0.6048863996798348,2163,294.078716
stage2,high_imbalance_seed4201,high_imbalance,20,C3-REPLICA,2.784107571242904,2.6892378230914074,0.0340754607082744,0.08965845051720799,0.910341549482792,85,294.048347
stage2,high_imbalance_seed4201,high_imbalance,20,P-GRB,2.784107571242904,2.0042580270669403,0.2801075476504728,0.2916005800404077,0.7083994199595923,1935,294.0789641
stage2,high_imbalance_seed5202,high_imbalance,20,C3-REPLICA,1.1542456900998876,1.0151175975564048,0.12053594285584271,0.16340290332447222,0.8365970966755278,54,294.0547949
stage2,high_imbalance_seed5202,high_imbalance,20,P-GRB,1.1542456900998876,0.9252150909251404,0.19842447854834708,0.20363174688071187,0.7963682531192882,1633,294.0871294
stage2,high_imbalance_seed5203,high_imbalance,20,C3-REPLICA,2.3524097575828193,2.0254288773385505,0.1389982672832699,0.18293207332337513,0.8170679266766249,106,294.0534386
stage2,high_imbalance_seed5203,high_imbalance,20,P-GRB,2.3524097575828193,1.9903564132248892,0.15390743181151917,0.16376814460303843,0.8362318553969615,1987,294.0782395
stage2,high_imbalance_seed6202,high_imbalance,50,C3-REPLICA,9.820664665302525,7.487138546071088,0.23761386818104466,0.3035703450935499,0.6964296549064501,39,294.3031945
stage2,high_imbalance_seed6202,high_imbalance,50,P-GRB,9.820664665302525,7.8574233767331165,0.1999092073172759,0.2030395935306366,0.7969604064693634,1187,294.2724327
stage2,moderate_seed3302,moderate,20,C3-REPLICA,0.19563620654901237,0.1394169181016961,0.2873664820996811,0.33924013872233494,0.6607598612776651,230,294.0519246
stage2,moderate_seed3302,moderate,20,P-GRB,0.19563620654901237,0.12930891517259988,0.3390338248037724,0.34587579783253614,0.6541242021674638,1788,294.0791413
stage2,moderate_seed4302,moderate,20,C3-REPLICA,0.04854285887126694,0.006826339528771914,0.859375,0.904354076203835,0.09564592379616499,314,294.0462974
stage2,moderate_seed4302,moderate,20,P-GRB,0.04854285887126694,8.816848156789071e-08,0.9999981836982077,0.9999982689130337,1.7310869663278439e-06,1740,294.0757669
stage2,moderate_seed5301,moderate,20,C3-REPLICA,0.16885733659692667,0.08263319999845456,0.5106330487984344,0.5630379480075879,0.4369620519924121,555,294.0415581
stage2,moderate_seed5301,moderate,20,P-GRB,0.16885733659692667,0.07245428297814198,0.5709142141031455,0.5764959876671153,0.4235040123328847,1725,294.0763388
stage2,moderate_seed5302,moderate,20,C3-REPLICA,0.10573533268303861,0.01610829051859732,0.847654609770937,0.8594019844215647,0.14059801557843532,86,294.0478801
stage2,moderate_seed5302,moderate,20,P-GRB,0.10573533268303861,0.026346485760173625,0.7508260948196747,0.7688183310448664,0.2311816689551336,1785,294.1057307
stage2,moderate_seed6301,moderate,50,C3-REPLICA,,,,,,,315.030999999959
stage2,moderate_seed6301,moderate,50,P-GRB,1.042133065991235,0.4334604561007951,0.5840641946347753,0.5943652149270235,0.40563478507297646,416,294.2825587
stage2,tight_T_seed3101,tight_T,20,C3-REPLICA,0.10725273413394144,0.023431236229689643,0.7815325043329172,0.8677202966593146,0.1322797033406854,720,294.0543783
stage2,tight_T_seed3101,tight_T,20,P-GRB,0.10725273413394144,0.01937849707503963,0.8193193186959785,0.8341991783968739,0.16580082160312615,1690,294.0809834
stage2,tight_T_seed4101,tight_T,20,C3-REPLICA,0.562981400559009,0.4194737161392273,0.25490661730083203,0.3017301257266517,0.6982698742733483,400,294.0479378
stage2,tight_T_seed4101,tight_T,20,P-GRB,0.562981400559009,0.36326075806486424,0.3547553121574414,0.372216009465277,0.627783990534723,1772,294.0800316
stage2,tight_T_seed5102,tight_T,20,C3-REPLICA,0.3623546627845846,0.2552055634582377,0.2957022782677582,0.37739209049335043,0.6226079095066496,497,294.0437725
stage2,tight_T_seed5102,tight_T,20,P-GRB,0.3623546627845846,0.2258845704217254,0.3766202187495763,0.3876571839570061,0.6123428160429939,1818,294.0809819
stage2,tight_T_seed5103,tight_T,20,C3-REPLICA,0.2849628509699851,0.18308999717010382,0.3574952084214354,0.4687543300545444,0.5312456699454555,529,294.0460783
stage2,tight_T_seed5103,tight_T,20,P-GRB,0.2849628509699851,0.15202339601727297,0.466515036960781,0.4822864910146463,0.5177135089853537,2006,294.0778026
stage2,tight_T_seed6102,tight_T,50,C3-REPLICA,0.6855974831044359,0.5528118497098944,0.193678706043783,0.472996921468579,0.527003078531421,38,294.3158592
stage2,tight_T_seed6102,tight_T,50,P-GRB,0.6855974831044359,0.5114077669336669,0.25406994696366914,0.2707916516083365,0.7292083483916635,901,294.2791476
stage2,V12_M1,v12,12,C3-REPLICA,0.3572005832084155,0.31663236056917027,0.11357266630098123,0.14961079869411156,0.8503892013058885,454,294.0351589
stage2,V12_M1,v12,12,P-GRB,0.3572005832084155,0.3572005832084151,1.2432488375612486e-15,0.008666543736157285,0.9913334562638427,5096,34.7559244
stage2,V12_M2,v12,12,C3-REPLICA,0.7185040707549709,0.6552496903260966,0.088036217195554,0.11797921097504727,0.8820207890249527,218,294.0534575
stage2,V12_M2,v12,12,P-GRB,0.7185040707549709,0.7185040707549712,0.0,0.02571247583044358,0.9742875241695564,17595,170.7387927
stage3,high_imbalance_seed3202,high_imbalance,20,C2-PAPER,1.7493134520506337,1.6100919655396664,0.07958635792102603,0.13724494189306022,0.8627550581069398,57,294.0465222
stage3,high_imbalance_seed3202,high_imbalance,20,C3-REPLICA,1.7493134520506337,1.609967450778375,0.07965753713773269,0.13124820921708152,0.8687517907829185,130,294.0467805
stage3,high_imbalance_seed3202,high_imbalance,20,S0-CPLEX,1.7493134520506337,1.6805879593515818,0.03928712296729236,0.09964905393732235,0.9003509460626776,2817,294.2086231
stage3,moderate_seed3302,moderate,20,C2-PAPER,0.19563620654901237,0.13951573914498416,0.28686135554345077,0.34164475484668666,0.6583552451533133,88,294.049427
stage3,moderate_seed3302,moderate,20,C3-REPLICA,0.19563620654901237,0.1394169181016961,0.2873664820996811,0.33941823466431376,0.6605817653356862,230,294.0572794
stage3,moderate_seed3302,moderate,20,S0-CPLEX,0.19563620654901237,0.14140646704917867,0.27719684641425324,0.33607810250115283,0.6639218974988472,4153,294.2482695
stage3,tight_T_seed3101,tight_T,20,C2-PAPER,0.10725273413394144,0.05362636706697072,0.5,0.7588330142268249,0.24116698577317508,19,294.0574524
stage3,tight_T_seed3101,tight_T,20,C3-REPLICA,0.10725273413394144,0.023431236229689643,0.7815325043329172,0.8677163914564626,0.13228360854353738,720,294.0460517
stage3,tight_T_seed3101,tight_T,20,S0-CPLEX,0.10725273413394144,0.039548146402267864,0.6312621144662048,0.6809996482393964,0.3190003517606036,1501,294.2005652
stage3,V12_M1,v12,12,C2-PAPER,0.3572005832084155,0.3572005832084146,2.641903779817653e-15,0.08119603395157314,0.9188039660484268,150,143.0560062
stage3,V12_M1,v12,12,C3-REPLICA,0.3572005832084155,0.31663236056917027,0.11357266630098123,0.14960263154225126,0.8503973684577487,454,294.0375676
stage3,V12_M1,v12,12,S0-CPLEX,0.3572005832084155,0.3564504596888608,0.002100006424449341,0.047140953874777465,0.9528590461252225,10879,294.2408165
stage3,V12_M2,v12,12,C2-PAPER,0.7185040707549709,0.6552496903260966,0.088036217195554,0.11945447307325918,0.8805455269267408,103,294.0501045
stage3,V12_M2,v12,12,C3-REPLICA,0.7185040707549709,0.6552496903260966,0.088036217195554,0.1182671137287123,0.8817328862712877,216,294.0535787
stage3,V12_M2,v12,12,S0-CPLEX,0.7185040707549709,0.7071386322459102,0.015818196405092612,0.06412100770998987,0.9358789922900101,9783,294.3278234
stage4,moderate_seed3302,moderate,20,C3-REPLICA,0.19563620654901237,0.1394169181016961,0.2873664820996811,0.34059984465710597,0.6594001553428941,230,294.0475492
stage4,moderate_seed3302,moderate,20,C3-REPLICA,0.19563620654901237,0.1394169181016961,0.2873664820996811,0.3397674249666774,0.6602325750333227,230,294.0469991
stage4,moderate_seed6301,moderate,50,C3-REPLICA,,,,,,,315.030999999959
stage4,moderate_seed6301,moderate,50,C3-REPLICA,,,,,,,315.030999999959
stage4,V12_M2,v12,12,C3-REPLICA,0.7185040707549709,0.6552496903260966,0.088036217195554,0.11820515307618784,0.8817948469238122,216,294.0527586
stage4,V12_M2,v12,12,C3-REPLICA,0.7185040707549709,0.6552496903260966,0.088036217195554,0.11805323778122194,0.8819467622187781,216,294.0569
