stage,instance,arm,inheritance_rows,all_valid,evidence_source,leaf_bounds_monotone,passed
stage1,high_imbalance_seed3202,C3-REPLICA,82,True,C3 bound_inheritance_ledger.csv,True,True
stage1,moderate_seed4301,C3-REPLICA,120,True,C3 bound_inheritance_ledger.csv,True,True
stage1,toy,C3-REPLICA,0,True,C3 bound_inheritance_ledger.csv,True,True
stage1,V12_M1,C3-REPLICA,240,True,C3 bound_inheritance_ledger.csv,True,True
stage1,V12_M2,C3-REPLICA,116,True,C3 bound_inheritance_ledger.csv,True,True
stage2,high_imbalance_seed3202,C3-REPLICA,82,True,C3 bound_inheritance_ledger.csv,True,True
stage2,high_imbalance_seed4201,C3-REPLICA,76,True,C3 bound_inheritance_ledger.csv,True,True
stage2,high_imbalance_seed5202,C3-REPLICA,50,True,C3 bound_inheritance_ledger.csv,True,True
stage2,high_imbalance_seed5203,C3-REPLICA,74,True,C3 bound_inheritance_ledger.csv,True,True
stage2,high_imbalance_seed6202,C3-REPLICA,36,True,C3 bound_inheritance_ledger.csv,True,True
stage2,moderate_seed3302,C3-REPLICA,194,True,C3 bound_inheritance_ledger.csv,True,True
stage2,moderate_seed4302,C3-REPLICA,166,True,C3 bound_inheritance_ledger.csv,True,True
stage2,moderate_seed5301,C3-REPLICA,292,True,C3 bound_inheritance_ledger.csv,True,True
stage2,moderate_seed5302,C3-REPLICA,74,True,C3 bound_inheritance_ledger.csv,True,True
stage2,moderate_seed6301,C3-REPLICA,0,True,C3 bound_inheritance_ledger.csv,False,False
stage2,tight_T_seed3101,C3-REPLICA,370,True,C3 bound_inheritance_ledger.csv,True,True
stage2,tight_T_seed4101,C3-REPLICA,214,True,C3 bound_inheritance_ledger.csv,True,True
stage2,tight_T_seed5102,C3-REPLICA,262,True,C3 bound_inheritance_ledger.csv,True,True
stage2,tight_T_seed5103,C3-REPLICA,272,True,C3 bound_inheritance_ledger.csv,True,True
stage2,tight_T_seed6102,C3-REPLICA,34,True,C3 bound_inheritance_ledger.csv,True,True
stage2,V12_M1,C3-REPLICA,240,True,C3 bound_inheritance_ledger.csv,True,True
stage2,V12_M2,C3-REPLICA,116,True,C3 bound_inheritance_ledger.csv,True,True
stage3,high_imbalance_seed3202,C2-PAPER,31,True,C2 parent_child_bound_ledger.csv,True,True
stage3,high_imbalance_seed3202,C3-REPLICA,82,True,C3 bound_inheritance_ledger.csv,True,True
stage3,moderate_seed3302,C2-PAPER,68,True,C2 parent_child_bound_ledger.csv,True,True
stage3,moderate_seed3302,C3-REPLICA,194,True,C3 bound_inheritance_ledger.csv,True,True
stage3,tight_T_seed3101,C2-PAPER,14,True,C2 parent_child_bound_ledger.csv,True,True
stage3,tight_T_seed3101,C3-REPLICA,370,True,C3 bound_inheritance_ledger.csv,True,True
stage3,V12_M1,C2-PAPER,80,True,C2 parent_child_bound_ledger.csv,True,True
stage3,V12_M1,C3-REPLICA,240,True,C3 bound_inheritance_ledger.csv,True,True
stage3,V12_M2,C2-PAPER,53,True,C2 parent_child_bound_ledger.csv,True,True
stage3,V12_M2,C3-REPLICA,116,True,C3 bound_inheritance_ledger.csv,True,True
stage4,moderate_seed3302,C3-REPLICA,194,True,C3 bound_inheritance_ledger.csv,True,True
stage4,moderate_seed3302,C3-REPLICA,194,True,C3 bound_inheritance_ledger.csv,True,True
stage4,moderate_seed6301,C3-REPLICA,0,True,C3 bound_inheritance_ledger.csv,False,False
stage4,moderate_seed6301,C3-REPLICA,0,True,C3 bound_inheritance_ledger.csv,False,False
stage4,V12_M2,C3-REPLICA,116,True,C3 bound_inheritance_ledger.csv,True,True
stage4,V12_M2,C3-REPLICA,116,True,C3 bound_inheritance_ledger.csv,True,True
